"key","English (en)","Spanish (es)","Chinese (Simplified) (zh-CN)"
"console.rpc","Electrum RPC","RPC de Electrum","Electrum RPC"
"console.send","Send","Enviar","发送"
"console.sending","…","…","…"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","Escribe: método parámetro1 parámetro2 — p. ej., server.version o blockchain.headers.subscribe","输入：方法 参数1 参数2 — 例如 server.version 或 blockchain.headers.subscribe"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","Árbitro: persona de confianza que autoriza la liberación de fondos.","仲裁者：授权释放资金的可信方。"
"contract.available","Available Contracts","Contratos disponibles","可用合约"
"contract.bip38","BIP38 (Password-Protected Private Keys)","BIP38 (claves privadas protegidas por contraseña)","BIP38（密码保护的私钥）"
"contract.bip38Desc","The BIP38 contract secures private keys with a password. Its UTXOs require both the correct password and a valid signature.","El contrato BIP38 protege las claves privadas con una contraseña. Sus UTXO requieren la contraseña correcta y una firma válida.","BIP38 合约使用密码保护私钥。其 UTXO 需要正确密码和有效签名才能使用。"
"contract.bip38Spending","Spending Requirements: Provide a valid owner signature and a data signature verifying the password.","Requisitos de gasto: proporciona una firma válida del propietario y una firma de datos que verifique la contraseña.","支出要求：提供有效的所有者签名和验证密码的数据签名。"
"contract.bip38UseCase","Use Case: Ideal for protecting private keys against theft or unauthorized access, especially for long-term storage.","Uso: ideal para proteger claves privadas contra robos o accesos no autorizados, especialmente para almacenamiento a largo plazo.","用途：适合防止私钥被盗或未经授权访问，尤其适用于长期存储。"
"contract.enhancedTrust","Enhanced Trust: Useful for transactions requiring multiple trusted parties.","Confianza reforzada: útil para transacciones que requieren varias partes de confianza.","增强信任：适合需要多方可信参与者的复杂交易。"
"contract.escrow","Escrow","Custodia","托管"
"contract.escrowDesc","The Escrow contract supports secure transactions between a buyer and seller with a trusted arbiter. Funds are released only with the arbiter’s approval.","El contrato de custodia permite transacciones seguras entre comprador y vendedor con un árbitro de confianza. Los fondos solo se liberan con su aprobación.","托管合约在买方、卖方和可信仲裁者之间提供安全交易。只有仲裁者批准后资金才会释放。"
"contract.escrowMS2","EscrowMS2 (Multi-Party Escrow)","EscrowMS2 (custodia multipartita)","EscrowMS2（多方托管）"
"contract.escrowMS2Desc","EscrowMS2 extends escrow with two arbiters. Funds can be released with one arbiter’s approval or both arbiters’ combined approval.","EscrowMS2 amplía la custodia con dos árbitros. Los fondos pueden liberarse con la aprobación de uno o con la aprobación conjunta de ambos.","EscrowMS2 在基础托管上支持两名仲裁者。资金可以由一名仲裁者批准，或由两名仲裁者共同批准后释放。"
"contract.escrowMS2Spending","Spending Requirements: One arbiter or both arbiters provide valid signatures, and the full amount goes to the buyer or seller.","Requisitos de gasto: uno o ambos árbitros proporcionan firmas válidas y el importe completo se envía al comprador o vendedor.","支出要求：一名或两名仲裁者提供有效签名，全部金额发送给买方或卖方。"
"contract.escrowSecurity","Security: Funds remain locked until the arbiter approves, helping prevent fraud or disputes.","Seguridad: los fondos permanecen bloqueados hasta la aprobación del árbitro, lo que ayuda a prevenir fraudes o disputas.","安全性：资金在仲裁者批准前保持锁定，有助于防止欺诈或争议。"
"contract.escrowSpending","Spending Requirements: The arbiter provides a valid signature and the full amount goes to the buyer’s or seller’s public-key-hash address.","Requisitos de gasto: el árbitro proporciona una firma válida y el importe completo se envía a la dirección hash de clave pública del comprador o vendedor.","支出要求：仲裁者提供有效签名，全部金额发送到买方或卖方的公钥哈希地址。"
"contract.howToUse","How to Use Covenant Contracts","Cómo usar contratos covenant","如何使用 Covenant 合约"
"contract.howToUseText","Open the Contracts section, choose a contract type, configure its conditions, and deploy it. To spend from contract UTXOs, meet the specific spending requirements above. Detailed instructions and examples are available in the app documentation.","Abre la sección Contratos, elige un tipo, configura sus condiciones y despliégalo. Para gastar desde los UTXO de un contrato, cumple los requisitos anteriores. La documentación de la aplicación contiene instrucciones y ejemplos detallados.","打开“合约”部分，选择合约类型，配置条件并部署。要从合约 UTXO 支出，请满足上述具体要求。应用文档提供了详细说明和示例。"
"contract.intro","Covenant contracts in the OPTN Wallet are smart contracts that enforce rules for spending digital assets. Each contract locks funds in UTXOs that can only be spent by meeting predefined conditions.","Los contratos covenant de OPTN Wallet son contratos inteligentes que imponen reglas para gastar activos digitales. Cada contrato bloquea fondos en UTXO que solo pueden gastarse al cumplir condiciones predefinidas.","OPTN Wallet 中的 covenant 合约是对数字资产支出规则进行约束的智能合约。每个合约都会将资金锁定在 UTXO 中，只有满足预定义条件才能使用。"
"contract.msvault","MSVault (Multi-Signature Vault)","MSVault (bóveda multifirma)","MSVault（多签金库）"
"contract.msvaultDesc","MSVault creates a secure shared or long-term vault requiring multiple signatures and a password. It enforces a minimum balance and time lock.","MSVault crea una bóveda compartida o de largo plazo que requiere varias firmas y una contraseña. Impone un saldo mínimo y un bloqueo temporal.","MSVault 创建用于长期或共享存储的安全金库，需要多重签名和密码，并强制最低余额和时间锁。"
"contract.msvaultSpending","Spending Requirements: Provide a valid signature and password-verified data signature while maintaining at least 4000 satoshis, or use a valid signature after the time lock expires.","Requisitos de gasto: proporciona una firma válida y una firma de datos verificada por contraseña manteniendo al menos 4000 satoshis, o usa una firma válida cuando expire el bloqueo temporal.","支出要求：提供有效签名和密码验证的数据签名，同时金库保持至少 4000 satoshis；或在时间锁到期后使用有效签名。"
"contract.msvaultUseCase","Use Case: Suitable for shared ownership or long-term storage with strict access controls.","Uso: adecuada para propiedad compartida o almacenamiento a largo plazo con controles estrictos.","用途：适合共享所有权或具有严格访问控制的长期存储。"
"contract.multipleArbiters","Multiple Arbiters: Two arbiters can authorize release of funds.","Varios árbitros: dos árbitros pueden autorizar la liberación de fondos.","多名仲裁者：两名仲裁者可以授权释放资金。"
"contract.multiSignature","Multi-Signature: Requires signatures from multiple authorized parties.","Multifirma: requiere firmas de varias partes autorizadas.","多重签名：需要多名授权方的签名。"
"contract.p2pkh","P2PKH (Pay-to-Public-Key-Hash)","P2PKH (pago a hash de clave pública)","P2PKH（支付到公钥哈希）"
"contract.p2pkhDesc","P2PKH is a standard Bitcoin script that protects UTXOs by requiring a signature from the owner of a specified public-key hash.","P2PKH es un script Bitcoin estándar que protege UTXO exigiendo una firma del propietario del hash de clave pública especificado.","P2PKH 是一种标准 Bitcoin 脚本，要求指定公钥哈希所有者签名，从而保护 UTXO 中的资金。"
"contract.p2pkhSecurity","Security: A proven and reliable method for protecting digital assets.","Seguridad: método probado y fiable para proteger activos digitales.","安全性：保护数字资产的成熟可靠方法。"
"contract.p2pkhSpending","Spending Requirements: Provide a valid signature matching the public-key hash in the contract.","Requisitos de gasto: proporciona una firma válida que coincida con el hash de clave pública del contrato.","支出要求：提供与合约中公钥哈希匹配的有效签名。"
"contract.passwordProtection","Password Protection: Encrypts your private key with a user-defined password.","Protección por contraseña: cifra la clave privada con una contraseña definida por el usuario.","密码保护：使用用户定义的密码加密私钥。"
"contract.simplicity","Simplicity: Easy to use and compatible with most Bitcoin wallets.","Simplicidad: fácil de usar y compatible con la mayoría de las billeteras Bitcoin.","简单：易于使用，并兼容大多数 Bitcoin 钱包。"
"contract.timeControl","Time-Based Control: Sets a deadline for the recipient to claim funds.","Control temporal: establece un plazo para que el destinatario reclame los fondos.","时间控制：为收款方领取资金设置期限。"
"contract.transfer","TransferWithTimeout","TransferWithTimeout","TransferWithTimeout"
"contract.transferDesc","TransferWithTimeout enables conditional transfers with a deadline. The recipient can claim funds before the timeout; the sender can reclaim them afterward.","TransferWithTimeout permite transferencias condicionales con un plazo. El destinatario puede reclamar los fondos antes del plazo y el remitente recuperarlos después.","TransferWithTimeout 支持带期限的条件转账。收款方可在超时前领取资金，发送方可在超时后收回资金。"
"contract.transferSpending","Spending Requirements: The recipient signs before the timeout; afterward, the sender can reclaim funds with a valid signature.","Requisitos de gasto: el destinatario firma antes del plazo; después, el remitente puede recuperar los fondos con una firma válida.","支出要求：收款方在超时前签名；超时后发送方可以使用有效签名收回资金。"
"contract.transferUseCase","Use Cases: Useful for subscriptions, conditional payments, or escrow-like scenarios.","Usos: útil para suscripciones, pagos condicionales o situaciones similares a una custodia.","用途：适合订阅、条件付款或类似托管的场景。"
"contractPopup.back","Back","Atrás","返回"
"contractPopup.chooseFunction","Select a function","Seleccionar una función","选择函数"
"contractPopup.enterData","Please enter data to generate the message.","Introduce datos para generar el mensaje.","请输入用于生成消息的数据。"
"contractPopup.enterMessage","Enter message for {name}","Introduce el mensaje para {name}","输入 {name} 的消息"
"contractPopup.enterValue","Enter {name}","Introduce {name}","输入 {name}"
"contractPopup.fetchFailed","Failed to fetch keys.","No se pudieron obtener las claves.","获取密钥失败。"
"contractPopup.generated","Message generated successfully!","¡Mensaje generado correctamente!","消息生成成功！"
"contractPopup.generateMessage","Generate Message","Generar mensaje","生成消息"
"contractPopup.generationFailed","Failed to generate message.","No se pudo generar el mensaje.","生成消息失败。"
"contractPopup.invalidFormat","Invalid {type} format. Please scan a valid QR code.","Formato de {type} no válido. Escanea un código QR válido.","{type} 格式无效。请扫描有效的二维码。"
"contractPopup.message","Message","Mensaje","消息"
"contractPopup.messageForCheck","message for checkdatasig","mensaje para checkdatasig","checkdatasig 消息"
"contractPopup.noKeys","No keys found for address: {address}","No se encontraron claves para la dirección: {address}","未找到地址对应的密钥：{address}"
"contractPopup.noQr","No QR code detected. Please try again.","No se detectó ningún código QR. Inténtalo de nuevo.","未检测到二维码，请重试。"
"contractPopup.scanFor","Scan QR Code for {name}","Escanear código QR para {name}","扫描 {name} 的二维码"
"contractPopup.select","Select","Seleccionar","选择"
"contractPopup.selectAddress","Select Address","Seleccionar dirección","选择地址"
"contractPopup.selected","Selected {type}","{type} seleccionado","已选择 {type}"
"contractPopup.title","Select a Function","Seleccionar una función","选择函数"
"contractView.address","Address","Dirección","地址"
"contractView.addressCopied","Address copied to clipboard!","¡Dirección copiada al portapapeles!","地址已复制到剪贴板！"
"contractView.argumentTypeInfo","Argument type info","Información del tipo de argumento","参数类型信息"
"contractView.back","Back","Atrás","返回"
"contractView.balance","Balance","Saldo","余额"
"contractView.blockHeight","Current Block Height","Altura del bloque actual","当前区块高度"
"contractView.blockHeightInfo","Blocks increment on an average interval of 10 minutes.","Los bloques aumentan en intervalos medios de 10 minutos.","区块平均每 10 分钟增加一次。"
"contractView.constructorArgs","Constructor Arguments","Argumentos del constructor","构造函数参数"
"contractView.copyFailed","Failed to copy address.","No se pudo copiar la dirección.","复制地址失败。"
"contractView.create","Create Contract","Crear contrato","创建合约"
"contractView.created","Contract created successfully!","¡Contrato creado correctamente!","合约创建成功！"
"contractView.createStep","3. Create the contract","3. Crea el contrato","3. 创建合约"
"contractView.datasigInfo","Data signature info","Información de firma de datos","数据签名信息"
"contractView.delete","Delete","Eliminar","删除"
"contractView.deleted","Contract deleted successfully!","¡Contrato eliminado correctamente!","合约删除成功！"
"contractView.deleteFailed","Failed to delete contract.","No se pudo eliminar el contrato.","删除合约失败。"
"contractView.enterMessage","Enter message for {name}","Introduce el mensaje para {name}","输入 {name} 的消息"
"contractView.enterType","Enter a value matching type: {type}.","Introduce un valor del tipo: {type}.","输入符合类型的值：{type}。"
"contractView.error","Error","Error","错误"
"contractView.fillInputs","2. Fill constructor inputs","2. Completa los argumentos del constructor","2. 填写构造函数输入"
"contractView.fillRequired","Fill in each required value before creating the contract.","Completa cada valor obligatorio antes de crear el contrato.","创建合约前请填写每个必填值。"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","Hash de 20 bytes (hex) de una dirección/clave pública. Usa “Seleccionar dirección”.","地址/公钥的 20 字节哈希（十六进制）。使用“选择地址”。"
"contractView.howWorks","How this works","Cómo funciona","工作原理"
"contractView.instantiated","Instantiated Contracts","Contratos instanciados","已实例化合约"
"contractView.noInputs","This contract template has no constructor inputs.","Esta plantilla no tiene entradas de constructor.","此合约模板没有构造函数输入。"
"contractView.noInstances","No contract instances yet.","Aún no hay instancias de contratos.","暂无合约实例。"
"contractView.noQr","No QR code detected. Please try again.","No se detectó ningún código QR. Inténtalo de nuevo.","未检测到二维码，请重试。"
"contractView.pickTemplate","1. Pick a template","1. Elige una plantilla","1. 选择模板"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","Clave pública en hexadecimal. Usa “Seleccionar dirección” para rellenarla automáticamente.","十六进制公钥。使用“选择地址”自动填写。"
"contractView.scanQr","Scan QR Code for {name}","Escanear código QR para {name}","扫描 {name} 的二维码"
"contractView.selectAddress","Select Address","Seleccionar dirección","选择地址"
"contractView.selectContract","Select a contract","Seleccionar un contrato","选择合约"
"contractView.selectData","Please select an address and enter data to sign.","Selecciona una dirección e introduce los datos que firmarás.","请选择地址并输入要签名的数据。"
"contractView.selected","Selected {type}","{type} seleccionado","已选择 {type}"
"contractView.signature","Signature","Firma","签名"
"contractView.signatureFailed","Failed to generate signature.","No se pudo generar la firma.","生成签名失败。"
"contractView.signatureGenerated","Signature generated successfully!","¡Firma generada correctamente!","签名生成成功！"
"contractView.signingAddress","Signing address","Dirección de firma","签名地址"
"contractView.signMessage","Sign Message","Firmar mensaje","签名消息"
"contractView.title","Contracts","Contratos","合约"
"contractView.tokenAddress","Token address","Dirección del token","代币地址"
"contractView.unavailable","Unavailable","No disponible","不可用"
"contractView.update","Update","Actualizar","更新"
"contractView.updated","Contract updated successfully!","¡Contrato actualizado correctamente!","合约更新成功！"
"contractView.updateFailed","Failed to update contract.","No se pudo actualizar el contrato.","更新合约失败。"
"derivation.accountIndex","Account index","Índice de cuenta","账户索引"
"derivation.addressDerivation","Address derivation","Derivación de direcciones","地址派生"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","Ruta de cuenta BIP44 usada para derivar esta billetera.","用于派生此钱包的 BIP44 账户路径。"
"derivation.bip44AccountIndex","BIP44 account index","Índice de cuenta BIP44","BIP44 账户索引"
"derivation.bip44CoinType","BIP44 coin type","Tipo de moneda BIP44","BIP44 币种类型"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","Los marcadores endurecidos son fijos. Las direcciones de recepción y cambio se derivan automáticamente de las ramas /0/index y /1/index.","硬化标记固定不变。接收地址和找零地址会自动从 /0/index 和 /1/index 分支派生。"
"derivation.coinType","Coin type","Tipo de moneda","币种类型"
"derivation.customize","Customize","Personalizar","自定义"
"derivation.invalidActive","The active derivation path is invalid.","La ruta de derivación activa no es válida.","当前派生路径无效。"
"derivation.invalidValues","Invalid BIP44 path values.","Los valores de la ruta BIP44 no son válidos.","BIP44 路径值无效。"
"derivation.networkDefault","Network default: {value}","Predeterminado de la red: {value}","网络默认值：{value}"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","La ruta de cuenta BIP44 fija que usa esta billetera.","此钱包使用的固定 BIP44 账户路径。"
"derivation.pathPreview","Path preview","Vista previa de la ruta","路径预览"
"derivation.range","Enter whole numbers from 0 to {max}.","Introduce números enteros de 0 a {max}.","请输入 0 到 {max} 之间的整数。"
"derivation.required","{field} is required.","Se requiere {field}.","{field}为必填项。"
"derivation.usuallyZero","Usually 0","Normalmente 0","通常为 0"
"derivation.walletNetwork","Wallet network","Red de la billetera","钱包网络"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","Elige si esta billetera se conecta a fondos reales en Mainnet o a fondos de prueba en Chipnet.","选择此钱包连接主网中的真实资金，还是 Chipnet 中的测试资金。"
"desktopMenu.about","About OPTN Wallet","Acerca de OPTN Wallet","关于 OPTN Wallet"
"desktopMenu.cannotExport","This wallet cannot be exported.","No se puede exportar esta billetera.","无法导出此钱包。"
"desktopMenu.exported","Wallet exported.","Billetera exportada.","钱包已导出。"
"desktopMenu.exportFailed","Could not export the wallet.","No se pudo exportar la billetera.","钱包导出失败。"
"desktopMenu.exportWallet","Export Wallet…","Exportar billetera…","导出钱包…"
"desktopMenu.file","File","Archivo","文件"
"desktopMenu.help","Help","Ayuda","帮助"
"desktopMenu.history","Transaction History","Historial de transacciones","交易历史"
"desktopMenu.importNewWallet","Import New Wallet","Importar billetera nueva","导入新钱包"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","Ese no es un archivo de billetera OPTN válido.","这不是有效的 OPTN 钱包文件。"
"desktopMenu.lockWallet","Lock Wallet","Bloquear billetera","锁定钱包"
"desktopMenu.noSavedWallets","No saved wallets","No hay billeteras guardadas","没有已保存的钱包"
"desktopMenu.openWallet","Open Wallet","Abrir billetera","打开钱包"
"desktopMenu.openWalletFile","Open Wallet File…","Abrir archivo de billetera…","打开钱包文件…"
"desktopMenu.quit","Quit","Salir","退出"
"desktopMenu.receive","Receive","Recibir","收款"
"desktopMenu.refreshWallet","Refresh Wallet","Actualizar billetera","刷新钱包"
"desktopMenu.send","Send","Enviar","发送"
"desktopMenu.settings","Settings","Configuración","设置"
"desktopMenu.toggleTheme","Toggle Theme","Cambiar tema","切换主题"
"desktopMenu.view","View","Ver","视图"
"desktopMenu.wallet","Wallet","Billetera","钱包"
"desktopSecurity.authenticating","Authenticating…","Autenticando…","验证中…"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","Falló el desbloqueo biométrico. Usa tu contraseña.","生物识别解锁失败。请使用密码。"
"desktopSecurity.confirmPassword","Confirm password","Confirmar contraseña","确认密码"
"desktopSecurity.continue","Continue","Continuar","继续"
"desktopSecurity.enterPassword","Enter your password to unlock.","Introduce tu contraseña para desbloquearla.","输入密码以解锁钱包。"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","¿Olvidaste tu contraseña? Elimina la billetera y vuelve a importar tu frase semilla.","忘记密码？移除钱包后重新导入种子短语。"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","La contraseña es incorrecta. Inténtalo de nuevo.","密码不正确，请重试。"
"desktopSecurity.loading","Loading wallet…","Cargando la billetera…","正在加载钱包…"
"desktopSecurity.mismatch","Passphrases do not match.","Las contraseñas no coinciden.","两次输入的密码不一致。"
"desktopSecurity.password","Password","Contraseña","密码"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","Tu contraseña nunca se almacena; se usa localmente para derivar la clave de cifrado.","密码不会被存储，只会在本地派生加密密钥。"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","Contraseña (o déjala vacía)","密码（可留空）"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","No se pudo guardar la contraseña. Inténtalo de nuevo.","保存密码失败，请重试。"
"desktopSecurity.secureWallet","Secure your wallet","Protege tu billetera","保护钱包"
"desktopSecurity.securing","Securing…","Protegiendo…","保护中…"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","Establece una contraseña para cifrar tu billetera. La necesitarás cada vez que abras la aplicación. Déjala vacía para usar solo la protección de la cuenta del sistema.","设置密码来加密钱包。每次打开应用都需要输入。留空则仅使用操作系统账户保护。"
"desktopSecurity.unlock","Unlock","Desbloquear","解锁"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","No se pudo desbloquear. Inténtalo de nuevo.","解锁失败，请重试。"
"desktopSecurity.unlocking","Unlocking…","Desbloqueando…","解锁中…"
"desktopSecurity.useBiometric","Use {label}","Usar {label}","使用 {label}"
"desktopSecurity.walletLocked","Wallet locked","Billetera bloqueada","钱包已锁定"
"desktopWallet.addAnother","Add another wallet","Añadir otra billetera","添加另一个钱包"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","La billetera ya está abierta en otra ventana.","该钱包已在另一个窗口中打开。"
"desktopWallet.backToWallets","Back to wallets","Volver a las billeteras","返回钱包列表"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","Falló el desbloqueo biométrico: {message}","生物识别解锁失败：{message}"
"desktopWallet.biometricUnlock","Biometric unlock","Desbloqueo biométrico","生物识别解锁"
"desktopWallet.cancel","Cancel","Cancelar","取消"
"desktopWallet.delete","Delete","Eliminar","删除"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","¿Eliminar “{name}” ({network}, n.º {id})? El archivo .optn guardado se conserva para poder importarlo de nuevo.","删除“{name}”（{network}，#{id}）？保存的 .optn 文件会保留，以便稍后重新导入。"
"desktopWallet.deleteLabel","Delete {name}","Eliminar {name}","删除 {name}"
"desktopWallet.deleting","Deleting…","Eliminando…","删除中…"
"desktopWallet.device","Device","Dispositivo","设备"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","Introduce la contraseña de este archivo de billetera.","请输入此钱包文件的密码。"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","Se usará automáticamente para firmar envíos desde billeteras de software mientras esté conectado. Las billeteras exclusivamente físicas con sus propias direcciones de recepción aún no son compatibles.","连接期间，它会自动用于为软件钱包发送交易签名。暂不支持拥有独立收款地址的纯硬件钱包。"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","Conectar billetera física","连接硬件钱包"
"desktopWallet.importFailed","Could not import this wallet file.","No se pudo importar este archivo de billetera.","无法导入此钱包文件。"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","Contraseña incorrecta para este archivo de billetera.","钱包文件密码不正确。"
"desktopWallet.open","Open","Abrir","打开"
"desktopWallet.openButton","Open","Abrir","打开"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","No se pudo abrir esta billetera. Inténtalo de nuevo.","无法打开此钱包，请重试。"
"desktopWallet.openFile","Open “{name}”","Abrir “{name}”","打开“{name}”"
"desktopWallet.opening","Opening…","Abriendo…","打开中…"
"desktopWallet.password","Password","Contraseña","密码"
"desktopWallet.unlock","Unlock","Desbloquear","解锁"
"desktopWallet.unlocking","Unlocking…","Desbloqueando…","解锁中…"
"desktopWallet.useBiometric","Use {label}","Usar {label}","使用 {label}"
"desktopWallet.walletNumber","Wallet #{id}","Billetera #{id}","钱包 #{id}"
"desktopWallet.yourWallets","Your wallets","Tus billeteras","你的钱包"
"error.somethingWrong","Something went wrong.","Algo salió mal.","出现问题。"
"experimental.cashFusionDescription","CashFusion is a non-custodial privacy protocol that combines your UTXOs with those of other users in a way that breaks transaction history linkage. Connect to a CashFusion server to participate. Your funds are never at risk — the protocol is trustless.","CashFusion es un protocolo de privacidad sin custodia que combina tus UTXO con los de otros usuarios para romper los vínculos del historial entre entradas y salidas. Conéctate a un servidor CashFusion para participar. Tus fondos nunca están en riesgo: el protocolo no requiere confianza.","CashFusion 是一种非托管隐私协议，将你的 UTXO 与其他用户的 UTXO 组合，以打断输入与输出之间的交易历史关联。连接 CashFusion 服务器即可参与。协议无需信任，资金不会面临托管风险。"
"experimental.cashFusionWarning","Requires an active CashFusion server connection. Coming soon — toggle currently reserved.","Requiere una conexión activa a un servidor CashFusion. Próximamente; el interruptor está reservado por ahora.","需要有效的 CashFusion 服务器连接。即将推出；此开关目前仅作预留。"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","Estas funciones están en desarrollo activo. Actívalas para probar nuevas capacidades; pueden cambiar o estar incompletas en futuras versiones.","这些功能正在积极开发中。启用它们可以测试新能力，但未来版本中可能变化或不完整。"
"experimental.disable","Disable","Desactivar","禁用"
"experimental.enable","Enable","Activar","启用"
"experimental.features","Experimental Features","Funciones experimentales","实验性功能"
"experimental.privacy","Privacy","Privacidad","隐私"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","Las bóvedas Quantumroot protegen los fondos con un esquema Schnorr LM-OTS resistente a la computación cuántica. Están activadas por defecto. Desactívalas para ocultar Quantumroot si no lo usas.","Quantumroot 金库使用抗量子 Schnorr LM-OTS 方案保护资金。默认启用；如果不使用，可关闭以隐藏 Quantumroot。"
"experimental.quantumSafe","Quantum-safe","Resistente a cuántica","抗量子"
"experimental.rpaBadge","BCH RPA","BCH RPA","BCH RPA"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","Genera un código de pago estático (paycode:q...) que puedes compartir públicamente. Los remitentes derivan una dirección única de un solo uso para cada pago mediante ECDH, sin transacción de notificación ni sobrecarga en la cadena. Los fondos ocultos recibidos aparecen aparte como 'BCH oculto'. El escaneo requiere un servidor compatible con Fulcrum-RPA.","生成可公开分享的静态支付码（paycode:q...）。发送方通过 ECDH 为每笔付款推导唯一的一次性地址，不需要通知交易，也不会增加链上负担。收到的隐匿资金会单独显示为“隐匿 BCH”。扫描需要支持 Fulcrum-RPA 的服务器。"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","Direcciones de pago reutilizables (RPA)","可复用支付地址（RPA）"
"experimental.rpaWarning","Sending to paycodes requires signature grinding (not yet implemented). Receiving and scanning are available.","Enviar a códigos de pago requiere búsqueda de firmas (aún no implementada). Recibir y escanear están disponibles.","向支付码发送需要签名穷举（尚未实现）。接收和扫描功能可用。"
"faucet.captcha","Answer the captcha question","Responde la pregunta de captcha","回答验证码问题"
"faucet.clickLink","Click the Chipnet Faucet link","Haz clic en el enlace del grifo de Chipnet","点击 Chipnet 水龙头链接"
"faucet.copyAddress","Copy a BCH Chipnet address","Copia una dirección BCH de Chipnet","复制 BCH Chipnet 地址"
"faucet.getCoins","Press ""Get Coins""","Pulsa ""Get Coins""","点击“Get Coins”"
"faucet.instructions","Instructions","Instrucciones","使用说明"
"faucet.name","Chipnet Faucet","Grifo de Chipnet","Chipnet 水龙头"
"faucet.pasteAddress","Paste your address","Pega tu dirección","粘贴你的地址"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","Selecciona ""chipnet"" en el campo NETWORK","在 NETWORK 框中选择“chipnet”"
"faucet.tooltip","Get Chipnet BCH","Obtener BCH de Chipnet","获取 Chipnet BCH"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","Añadir servidor — host:puerto (p. ej., fusion.example.com:8789)","添加服务器 — 主机:端口（例如 fusion.example.com:8789）"
"fusion.autoTry","Auto — try each until one responds","Automático — probar hasta que uno responda","自动 — 依次尝试直到有服务器响应"
"fusion.busy","A fusion round is already running for this wallet.","Ya hay una ronda de fusión ejecutándose para esta billetera.","此钱包已有融合轮次正在运行。"
"fusion.choose","Choose how to fuse:","Elige cómo fusionar:","选择融合方式："
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Some wallet-hardening items are still pending, but each round verifies your own outputs before signing, so it fails safely.","Tanto la ruta del servidor como P2P Fusion ejecutan CoinJoins reales en cualquier red. Aún hay elementos de endurecimiento pendientes, pero cada ronda verifica tus salidas antes de firmar y falla de forma segura.","服务器路径和 P2P Fusion 都会在任何网络上运行真实 CoinJoin。部分钱包强化项目仍在完善，但每轮都会在签名前验证您自己的输出，因此会安全失败。"
"fusion.coinjoinBoth","Both run a real CoinJoin.","Ambos ejecutan un CoinJoin real.","两种方式都会运行真实的 CoinJoin。"
"fusion.componentFeeRate","Component fee rate","Tarifa del componente","组件费率"
"fusion.componentsPlayer","Components / player","Componentes / participante","组件数 / 参与者"
"fusion.connectingTor","Connecting via Tor{port}.","Conectando mediante Tor{port}.","正在通过 Tor 连接{port}。"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","Esperando el intervalo de fusión automática.","正在等待自动融合冷却时间。"
"fusion.disable","Disable","Desactivar","禁用"
"fusion.donation","Donation","Donación","捐赠"
"fusion.enable","Enable","Activar","启用"
"fusion.enabled","CashFusion Enabled","CashFusion activado","CashFusion 已启用"
