"key","English (en)","Chinese (Traditional) (zh-TW)","Status"
"contract.intro","Covenant contracts in the OPTN Wallet are smart contracts that enforce rules for spending digital assets. Each contract locks funds in UTXOs that can only be spent by meeting predefined conditions.","OPTN Wallet 中的 covenant 合約是用來強制執行數位資產花費規則的智慧合約。每個合約都會將資金鎖在 UTXO 中，只有符合預先定義的條件才能花費。","translated"
"contract.msvault","MSVault (Multi-Signature Vault)","MSVault（多重簽章保管庫）","stable-term"
"contract.msvaultDesc","MSVault creates a secure shared or long-term vault requiring multiple signatures and a password. It enforces a minimum balance and time lock.","MSVault 建立需要多重簽章與密碼的共享或長期保管庫，並強制執行最低餘額與時間鎖定。","translated"
"contract.msvaultSpending","Spending Requirements: Provide a valid signature and password-verified data signature while maintaining at least 4000 satoshis, or use a valid signature after the time lock expires.","花費條件：提供有效簽章與經密碼驗證的資料簽章，同時維持至少 4000 satoshis；或在時間鎖定到期後使用有效簽章。","translated"
"contract.msvaultUseCase","Use Case: Suitable for shared ownership or long-term storage with strict access controls.","用途：適合共享所有權或具有嚴格存取控制的長期儲存。","translated"
"contract.multipleArbiters","Multiple Arbiters: Two arbiters can authorize release of funds.","多位仲裁者：兩位仲裁者可以授權釋放資金。","translated"
"contract.multiSignature","Multi-Signature: Requires signatures from multiple authorized parties.","多重簽章：需要多位授權方的簽章。","translated"
"contract.p2pkh","P2PKH (Pay-to-Public-Key-Hash)","P2PKH（Pay-to-Public-Key-Hash）","stable-term"
"contract.p2pkhDesc","P2PKH is a standard Bitcoin script that protects UTXOs by requiring a signature from the owner of a specified public-key hash.","P2PKH 是標準 Bitcoin script，要求指定公鑰雜湊擁有者簽章，以保護 UTXO。","translated"
"contract.p2pkhSecurity","Security: A proven and reliable method for protecting digital assets.","安全性：保護數位資產的成熟可靠方法。","translated"
"contract.p2pkhSpending","Spending Requirements: Provide a valid signature matching the public-key hash in the contract.","花費條件：提供與合約中公鑰雜湊相符的有效簽章。","translated"
"contract.passwordProtection","Password Protection: Encrypts your private key with a user-defined password.","密碼保護：使用使用者設定的密碼加密私鑰。","translated"
"contract.simplicity","Simplicity: Easy to use and compatible with most Bitcoin wallets.","簡單：容易使用，且與大多數 Bitcoin 錢包相容。","translated"
"contract.timeControl","Time-Based Control: Sets a deadline for the recipient to claim funds.","時間控制：設定接收者領取資金的期限。","translated"
"contract.transfer","TransferWithTimeout","TransferWithTimeout","stable-term"
"contract.transferDesc","TransferWithTimeout enables conditional transfers with a deadline. The recipient can claim funds before the timeout; the sender can reclaim them afterward.","TransferWithTimeout 允許附帶期限的條件式轉帳。接收者可在逾時前領取資金；之後寄件者可以取回資金。","translated"
"contract.transferSpending","Spending Requirements: The recipient signs before the timeout; afterward, the sender can reclaim funds with a valid signature.","花費條件：接收者在逾時前簽署；之後寄件者可用有效簽章取回資金。","translated"
"contract.transferUseCase","Use Cases: Useful for subscriptions, conditional payments, or escrow-like scenarios.","用途：適合訂閱、條件式付款或類似託管的情境。","translated"
"contractPopup.back","Back","返回","translated"
"contractPopup.chooseFunction","Select a function","選取函式","translated"
"contractPopup.enterData","Please enter data to generate the message.","請輸入資料以產生訊息。","translated"
"contractPopup.enterMessage","Enter message for {name}","輸入 {name} 的訊息","translated"
"contractPopup.enterValue","Enter {name}","輸入 {name}","translated"
"contractPopup.fetchFailed","Failed to fetch keys.","取得金鑰失敗。","translated"
"contractPopup.generated","Message generated successfully!","訊息產生成功！","translated"
"contractPopup.generateMessage","Generate Message","產生訊息","translated"
"contractPopup.generationFailed","Failed to generate message.","訊息產生失敗。","translated"
"contractPopup.invalidFormat","Invalid {type} format. Please scan a valid QR code.","{type} 格式無效。請掃描有效的 QR。","translated"
"contractPopup.message","Message","訊息","stable-term"
"contractPopup.messageForCheck","message for checkdatasig","checkdatasig 的訊息","translated"
"contractPopup.noKeys","No keys found for address: {address}","找不到地址的金鑰：{address}","translated"
"contractPopup.noQr","No QR code detected. Please try again.","未偵測到 QR 碼。請再試一次。","translated"
"contractPopup.scanFor","Scan QR Code for {name}","掃描 {name} 的 QR","translated"
"contractPopup.select","Select","選取","translated"
"contractPopup.selectAddress","Select Address","選取地址","translated"
"contractPopup.selected","Selected {type}","已選取 {type}","translated"
"contractPopup.title","Select a Function","選取函式","translated"
"contractView.address","Address","地址","translated"
"contractView.addressCopied","Address copied to clipboard!","地址已複製到剪貼簿！","translated"
"contractView.argumentTypeInfo","Argument type info","引數類型資訊","translated"
"contractView.back","Back","返回","translated"
"contractView.balance","Balance","餘額","translated"
"contractView.blockHeight","Current Block Height","目前區塊高度","translated"
"contractView.blockHeightInfo","Blocks increment on an average interval of 10 minutes.","區塊平均每 10 分鐘增加一次。","translated"
"contractView.constructorArgs","Constructor Arguments","建構函式引數","translated"
"contractView.copyFailed","Failed to copy address.","複製地址失敗。","translated"
"contractView.create","Create Contract","建立合約","translated"
"contractView.created","Contract created successfully!","合約已成功建立！","translated"
"contractView.createFailed","Failed to create contract: {message}","建立合約失敗：{message}","translated"
"contractView.createStep","3. Create the contract","3. 建立合約","translated"
"contractView.datasigInfo","Data signature info","資料簽章資訊","translated"
"contractView.delete","Delete","刪除","translated"
"contractView.deleted","Contract deleted successfully!","合約已成功刪除！","translated"
"contractView.deleteFailed","Failed to delete contract.","刪除合約失敗。","translated"
"contractView.deleteFailedFallback","Failed to delete contract.","刪除合約失敗。","translated"
"contractView.enterMessage","Enter message for {name}","輸入給 {name} 的訊息","translated"
"contractView.enterType","Enter a value matching type: {type}.","輸入符合類型的值：{type}。","translated"
"contractView.error","Error","錯誤","translated"
"contractView.errorPrefix","Error: {message}","錯誤：{message}","translated"
"contractView.fillInputs","2. Fill constructor inputs","2. 填寫建構函式輸入","translated"
"contractView.fillRequired","Fill in each required value before creating the contract.","建立合約前請填寫每個必要值。","translated"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","地址／公鑰的 20 位元組雜湊（十六進位）。使用「選擇地址」。","translated"
"contractView.howWorks","How this works","運作方式","translated"
"contractView.instantiated","Instantiated Contracts","已實例化的合約","translated"
"contractView.loadContractsFailed","Failed to load available contracts.","載入可用合約失敗。","translated"
"contractView.loadDetailsFailed","Failed to load contract details.","載入合約詳細資料失敗。","translated"
"contractView.loadInstancesFailed","Failed to load contract instances.","載入合約實例失敗。","translated"
"contractView.noInputs","This contract template has no constructor inputs.","此合約範本沒有建構函式輸入。","translated"
"contractView.noInstances","No contract instances yet.","尚無合約實例。","translated"
"contractView.noQr","No QR code detected. Please try again.","未偵測到 QR 碼。請再試一次。","translated"
"contractView.pickTemplate","1. Pick a template","1. 選擇範本","translated"
"contractView.privateKeyUnavailable","Private key unavailable for this address.","此地址的私鑰無法使用。","translated"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","十六進位公鑰。使用「選擇地址」自動填入。","translated"
"contractView.scanQr","Scan QR Code for {name}","掃描 {name} 的 QR 碼","translated"
"contractView.selectAddress","Select Address","選擇地址","translated"
"contractView.selectContract","Select a contract","選擇合約","translated"
"contractView.selectData","Please select an address and enter data to sign.","請選擇地址並輸入要簽署的資料。","translated"
"contractView.selected","Selected {type}","已選擇 {type}","translated"
"contractView.signature","Signature","簽章","stable-term"
"contractView.signatureFailed","Failed to generate signature.","產生簽章失敗。","translated"
"contractView.signatureGenerated","Signature generated successfully!","簽章已成功產生！","translated"
"contractView.signingAddress","Signing address","簽署地址","translated"
"contractView.signMessage","Sign Message","簽署訊息","translated"
"contractView.title","Contracts","合約","translated"
"contractView.tokenAddress","Token address","代幣地址","translated"
"contractView.unavailable","Unavailable","無法使用","translated"
"contractView.unknownError","Unknown error","未知錯誤","translated"
"contractView.update","Update","更新","translated"
"contractView.updated","Contract updated successfully!","合約已成功更新！","translated"
"contractView.updateFailed","Failed to update contract.","更新合約失敗。","translated"
"contractView.updateFailedFallback","Failed to update contract.","更新合約失敗。","translated"
"derivation.accountIndex","Account index","帳戶索引","translated"
"derivation.addressDerivation","Address derivation","地址衍生","translated"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","用來衍生此錢包的 BIP44 帳戶路徑。","translated"
"derivation.bip44AccountIndex","BIP44 account index","BIP44 帳戶索引","translated"
"derivation.bip44CoinType","BIP44 coin type","BIP44 coin 類型","translated"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","Hardened 標記固定。接收與找零地址會從 /0/index 與 /1/index 分支自動導出。","translated"
"derivation.coinType","Coin type","Coin 類型","translated"
"derivation.customize","Customize","自訂","translated"
"derivation.invalidActive","The active derivation path is invalid.","作用中的衍生路徑無效。","translated"
"derivation.invalidValues","Invalid BIP44 path values.","BIP44 路徑值無效。","translated"
"derivation.networkDefault","Network default: {value}","網路預設值：{value}","translated"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","此錢包使用的固定 BIP44 帳戶路徑。","translated"
"derivation.pathPreview","Path preview","路徑預覽","translated"
"derivation.range","Enter whole numbers from 0 to {max}.","輸入 0 到 {max} 的整數。","translated"
"derivation.required","{field} is required.","{field} 為必填。","translated"
"derivation.usuallyZero","Usually 0","通常為 0","translated"
"derivation.walletNetwork","Wallet network","錢包網路","translated"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","選擇此錢包連線至 Mainnet 的真實資金或 Chipnet 的測試資金。","translated"
"desktopMenu.about","About OPTN Wallet","關於 OPTN Wallet","translated"
"desktopMenu.cannotExport","This wallet cannot be exported.","無法匯出此錢包。","translated"
"desktopMenu.exported","Wallet exported.","錢包已匯出。","translated"
"desktopMenu.exportFailed","Could not export the wallet.","無法匯出錢包。","translated"
"desktopMenu.exportWallet","Export Wallet…","匯出錢包…","translated"
"desktopMenu.file","File","檔案","translated"
"desktopMenu.help","Help","說明","translated"
"desktopMenu.history","Transaction History","交易歷史","translated"
"desktopMenu.importNewWallet","Import New Wallet","匯入新錢包","translated"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","這不是有效的 OPTN 錢包檔案。","translated"
"desktopMenu.lockWallet","Lock Wallet","鎖定錢包","translated"
"desktopMenu.noSavedWallets","No saved wallets","沒有已儲存的錢包","translated"
"desktopMenu.openWallet","Open Wallet","開啟錢包","translated"
"desktopMenu.openWalletFile","Open Wallet File…","開啟錢包檔案…","translated"
"desktopMenu.quit","Quit","結束","translated"
"desktopMenu.receive","Receive","接收","translated"
"desktopMenu.refreshWallet","Refresh Wallet","重新整理錢包","translated"
"desktopMenu.send","Send","傳送","translated"
"desktopMenu.settings","Settings","設定","translated"
"desktopMenu.toggleTheme","Toggle Theme","切換主題","translated"
"desktopMenu.view","View","檢視","translated"
"desktopMenu.wallet","Wallet","錢包","translated"
"desktopSecurity.authenticating","Authenticating…","驗證中…","translated"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","生物辨識解鎖失敗。請使用密碼。","translated"
"desktopSecurity.confirmPassword","Confirm password","確認密碼","translated"
"desktopSecurity.continue","Continue","繼續","translated"
"desktopSecurity.enterPassword","Enter your password to unlock.","輸入密碼以解除鎖定。","translated"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","忘記密碼？移除錢包後重新匯入復原片語。","translated"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","密碼不正確。請再試一次。","translated"
"desktopSecurity.loading","Loading wallet…","正在載入錢包…","translated"
"desktopSecurity.mismatch","Passphrases do not match.","密碼不一致。","translated"
"desktopSecurity.password","Password","密碼","translated"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","密碼永不儲存 — 加密金鑰會在本機衍生。","translated"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","密碼（或留白）","translated"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","儲存密碼失敗。請再試一次。","translated"
"desktopSecurity.secureWallet","Secure your wallet","保護您的錢包","translated"
"desktopSecurity.securing","Securing…","保護中…","translated"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","設定密碼以加密錢包。每次開啟應用程式都需要此密碼。留白則僅使用作業系統帳戶保護。","translated"
"desktopSecurity.unlock","Unlock","解除鎖定","translated"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","解鎖失敗。請再試一次。","translated"
"desktopSecurity.unlocking","Unlocking…","解除鎖定中…","translated"
"desktopSecurity.useBiometric","Use {label}","使用 {label}","translated"
"desktopSecurity.walletLocked","Wallet locked","錢包已鎖定","translated"
"desktopWallet.addAnother","Add another wallet","新增另一個錢包","translated"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","此錢包已在另一個視窗中開啟。","translated"
"desktopWallet.backToWallets","Back to wallets","返回錢包","translated"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","生物辨識解鎖失敗：{message}","translated"
"desktopWallet.biometricUnlock","Biometric unlock","生物辨識解鎖","translated"
"desktopWallet.cancel","Cancel","取消","translated"
"desktopWallet.delete","Delete","刪除","translated"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","刪除「{name}」（{network}，#{id}）？已儲存的 .optn 檔案會保留，之後可以重新匯入。","translated"
"desktopWallet.deleteLabel","Delete {name}","刪除 {name}","translated"
"desktopWallet.deleting","Deleting…","刪除中…","translated"
"desktopWallet.device","Device","裝置","translated"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","輸入此錢包檔案的密碼。","translated"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","連線時會自動用來簽署軟體錢包的傳送。尚不支援具有自己接收地址的純硬體錢包。","translated"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","連線硬體錢包","translated"
"desktopWallet.importFailed","Could not import this wallet file.","無法匯入此錢包檔案。","translated"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","此錢包檔案的密碼不正確。","translated"
"desktopWallet.open","Open","開啟","translated"
"desktopWallet.openButton","Open","開啟","translated"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","無法開啟此錢包。請再試一次。","translated"
"desktopWallet.openFile","Open “{name}”","開啟「{name}」","translated"
"desktopWallet.opening","Opening…","開啟中…","translated"
"desktopWallet.password","Password","密碼","translated"
"desktopWallet.unlock","Unlock","解鎖","translated"
"desktopWallet.unlocking","Unlocking…","解鎖中…","translated"
"desktopWallet.useBiometric","Use {label}","使用 {label}","translated"
"desktopWallet.walletNumber","Wallet #{id}","錢包 #{id}","stable-term"
"desktopWallet.yourWallets","Your wallets","您的錢包","translated"
"error.somethingWrong","Something went wrong.","發生錯誤。","translated"
"experimental.cashFusionDescription","CashFusion is a non-custodial CoinJoin. Desktop supports P2P (Nostr + Tor) and a classic fusion server. Enable it on the CashFusion card under Servers. The per-wallet master switch defaults off.","CashFusion 是非託管隱私協定，將您的 UTXO 與其他使用者的 UTXO 結合，以打破交易歷史連結。連線至 CashFusion 伺服器即可參與。資金不會承受風險，協定不需要信任。","translated"
"experimental.cashFusionWarning","Desktop only. Open Servers → CashFusion. Not an Experimental toggle.","需要作用中的 CashFusion 伺服器連線。即將推出，目前保留此切換開關。","translated"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","這些功能正在積極開發中。啟用它們以測試新能力；未來更新可能會變更或尚未完整。","translated"
"experimental.disable","Disable","停用","translated"
"experimental.enable","Enable","啟用","translated"
"experimental.features","Experimental Features","實驗性功能","translated"
"experimental.privacy","Privacy","隱私","translated"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","Quantumroot 保管庫使用抗量子的 Schnorr LM-OTS 方案保護資金。預設啟用。不使用時可關閉以隱藏 Quantumroot。","translated"
"experimental.quantumSafe","Quantum-safe","量子安全","translated"
"experimental.rpaBadge","BCH RPA","BCH RPA","stable-term"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","產生可公開分享的靜態 Paycode（paycode:q...）。寄件者透過 ECDH 為每筆付款導出唯一的一次性地址，不需通知交易，也不會增加鏈上負擔。收到的隱密資金會單獨顯示為「隱密 BCH」。掃描需要支援 Fulcrum-RPA 的伺服器。","translated"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","可重複使用的付款地址（RPA）","translated"
"experimental.rpaWarning","Sending grinds input-0 nSequence and keeps it ≥ 0x80000000 (BIP68). Scanning needs a Fulcrum server with blockchain.rpa.* (for example chipnet.bch.ninja).","傳送至 Paycode 需要簽章 grinding（尚未實作）。接收與掃描可用。","translated"
"faucet.captcha","Answer the captcha question","回答 captcha 問題","translated"
"faucet.clickLink","Click the Chipnet Faucet link","點擊 Chipnet Faucet 連結","translated"
"faucet.copyAddress","Copy a BCH Chipnet address","複製 BCH Chipnet 地址","translated"
"faucet.getCoins","Press ""Get Coins""","按下「Get Coins」","translated"
"faucet.instructions","Instructions","說明","stable-term"
"faucet.name","Chipnet Faucet","Chipnet Faucet","stable-term"
"faucet.pasteAddress","Paste your address","貼上您的地址","translated"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","在 NETWORK 方塊中選取「chipnet」","translated"
"faucet.tooltip","Get Chipnet BCH","取得 Chipnet BCH","translated"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","新增伺服器 — 主機:連接埠（例如 fusion.example.com:8789）","translated"
"fusion.autoTry","Auto — try each until one responds","自動 — 依序嘗試直到伺服器回應","translated"
"fusion.busy","A fusion round is already running for this wallet.","此錢包已有 Fusion 回合正在執行。","translated"
"fusion.choose","Choose how to fuse:","選擇融合方式：","translated"
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Each round verifies your own outputs before signing, so an invalid round fails safely.","伺服器路徑與 P2P Fusion 都能在任何網路上執行真正的 CoinJoin。部分錢包強化項目仍在等待，但每回合都會在簽署前驗證自己的輸出，因此會安全失敗。","translated"
"fusion.coinjoinBoth","Both run a real CoinJoin.","兩者都會執行真正的 CoinJoin。","translated"
"fusion.componentFeeRate","Component fee rate","元件費率","translated"
"fusion.componentsPlayer","Components / player","元件／參與者","translated"
"fusion.connectingTor","Connecting via Tor{port}.","透過 Tor{port} 連線。","translated"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","正在等待自動融合冷卻時間。","translated"
"fusion.disable","Disable","停用","translated"
"fusion.donation","Donation","捐款","translated"
"fusion.enable","Enable","啟用","translated"
"fusion.enabled","CashFusion Enabled","CashFusion 已啟用","translated"
"fusion.enableP2p","Enable P2P Fusion","啟用 P2P Fusion","translated"
"fusion.enableServer","Enable Server Fusion","啟用伺服器 Fusion","translated"
"fusion.excessFeeRange","Excess fee range","額外費用範圍","translated"
"fusion.experimentalPending","Experimental — still pending: {items}.","實驗性功能 — 尚待完成：{items}。","translated"
"fusion.failed","Failed ✗","失敗 ✗","translated"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","CashFusion 刻意維持少量公開伺服器 — 在較少伺服器上形成更大的匿名集合，比過度分散更好。請在上方新增自己的伺服器或社群伺服器。","translated"
"fusion.fused","Fused ✓ — txid {txid}","已融合 ✓ — txid {txid}","translated"
"fusion.fusing","Fusing…","融合中…","translated"
"fusion.handshakeOk","Handshake OK ✓","交握成功 ✓","translated"
"fusion.handshaking","Handshaking…","交握中…","translated"
"fusion.hide","Hide","隱藏","translated"
"fusion.howWorks","How does it work?","如何運作？","translated"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","CashFusion 需要行動／網頁瀏覽器無法開啟的原始 TCP 連線。桌面應用程式可使用。","translated"
"fusion.more","more","更多","translated"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","目前沒有符合融合條件的硬幣。","translated"
"fusion.now","Fuse Now","立即融合","translated"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","透過「伺服器」中設定的伺服器執行 CoinJoin。需要 Tor，以及同一層級至少 2 位參與者。","translated"
"fusion.openWallet","Open a wallet to run a P2P round.","開啟錢包以執行 P2P 回合。","translated"
"fusion.or","or","或","translated"
"fusion.p2pMode","P2P Fusion","P2P Fusion","stable-term"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","無伺服器 — 透過 Nostr + Tor 連線節點。開啟後會自動融合；開啟此項會關閉伺服器 Fusion。","translated"
"fusion.p2pModeLabel","P2P Fusion","P2P Fusion","stable-term"
"fusion.poolTiers","Pool tiers","池層級","translated"
"fusion.privacy","Privacy","隱私","translated"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Your own outputs are verified before signing, so an invalid round fails safely.","步驟 1–4 會在伺服器路徑上完整執行：錢包加入池、交換盲簽章、透過 Tor 提交，並廣播組合後的 CoinJoin。P2P Fusion 透過 Nostr 與 Tor 在沒有伺服器的情況下執行相同回合。部分實驗性的錢包強化項目仍在等待，但簽署前會驗證您自己的輸出，因此無效回合會安全失敗。","translated"
"fusion.queryAuto","Query (Auto)","查詢（自動）","translated"
"fusion.queryServer","Query Server","查詢伺服器","translated"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","這是遠端伺服器，因此需要 Tor — 但找不到 Tor Proxy。請在上方啟動 Tor，否則查詢會被拒絕。","translated"
"fusion.selected","● selected","● 已選取","translated"
"fusion.serverMode","Fuse Now using CashFusion server","使用 CashFusion 伺服器立即融合","translated"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","透過 CashFusion 伺服器融合。開啟後會自動融合。","translated"
"fusion.serverModeLabel","Server Fusion","伺服器 Fusion","translated"
"fusion.serverParameters","Server parameters (live)","伺服器參數（即時）","translated"
"fusion.servers","Fusion servers","Fusion 伺服器","stable-term"
"fusion.step1","1. Pool joining.","1. 加入池。","translated"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","您的錢包會向伺服器公告要融合的 UTXO。","translated"
"fusion.step2","2. Blind signing.","2. 盲簽章。","translated"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","參與者產生盲化輸出地址並交換盲簽章 — 沒有人能得知輸入到輸出的對應關係。","translated"
"fusion.step3","3. Covert submission.","3. 隱密提交。","translated"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","每位參與者透過 Tor 或直接連線提交交易。伺服器會組合最終交易。","translated"
"fusion.step4","4. Broadcast.","4. 廣播。","translated"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","所有參與者廣播共同建立的交易。","translated"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","CashFusion 將多位參與者的 UTXO 結合成一筆交易，打破區塊鏈歷史中輸入與輸出之間的連結。這是非託管協定，資金始終由您控制。","translated"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","正在同步錢包硬幣 — 請稍後再試。","translated"
"fusion.tiers","Tiers","層級","translated"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","Tor 已關閉。遠端 Fusion 查詢會被拒絕 — 請在上方啟用 Tor，或使用 localhost 伺服器。","translated"
"hardware.active","active","使用中","translated"
"hardware.advanced","Advanced (derivation path)","進階（衍生路徑）","translated"
"hardware.airGap","air-gap","隔離","translated"
"hardware.beforeConnecting","Before connecting","連線前","translated"
"hardware.bip44Path","BIP44 path","BIP44 路徑","translated"
"hardware.comingSoon","Coming soon","即將推出","translated"
"hardware.connect","Connect {device}","連線 {device}","translated"
"hardware.connecting","Connecting…","連線中…","translated"
"hardware.connectionType","Connection type","連線類型","translated"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","裝置保管您的私密金鑰。金鑰不會離開硬體。","translated"
"hardware.disconnect","Disconnect","中斷連線","translated"
"hardware.enableKeystone","Enable Keystone (QR mode)","啟用 Keystone（QR 模式）","translated"
"hardware.howItWorks","How it works","運作方式","translated"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","Keystone 的隔離 QR 簽署尚未準備好處理真實資金。","translated"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","隔離 QR 簽署 — 尚未支援","translated"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","USB：插入 → 輸入 PIN → 開啟 Bitcoin Cash 應用程式","translated"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","Bluetooth（Nano X）：啟用 BLE → 開啟 Bitcoin Cash 應用程式","translated"
"hardware.ledgerStep3","The browser will show a device picker prompt","瀏覽器會顯示裝置選擇器","translated"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","USB (WebHID) 或 Bluetooth (Nano X)","translated"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","{device} 支援尚未完成。請選擇其他裝置或使用軟體錢包。","translated"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","若需要，請安裝 OneKey Bridge","translated"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","用 USB 連接 OneKey 或透過 Bluetooth 配對","translated"
"hardware.onekeyStep3","Unlock your device with your PIN","使用 PIN 解鎖裝置","translated"
"hardware.onekeyStep4","Allow the connection when requested","收到要求時允許連線","translated"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","透過 OneKey Bridge 使用 USB 或 Bluetooth","translated"
"hardware.path","Path","路徑","translated"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","錢包建立未簽署交易；裝置顯示詳細資料，您確認後只回傳簽章。","translated"
"hardware.softwareLabel","Software Wallet","軟體錢包","translated"
"hardware.softwareSubtitle","Encrypted keys stored on this device","儲存在此裝置上的加密金鑰","translated"
"hardware.title","Hardware Wallet","硬體錢包","translated"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","安裝 Trezor Suite — 內含 Bridge daemon","translated"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","用 USB 連接 Trezor 或透過 Bluetooth 配對","translated"
"hardware.trezorStep3","Unlock your device with your PIN","使用 PIN 解鎖裝置","translated"
"hardware.trezorStep4","Allow the connection popup when it appears","出現連線彈窗時允許連線","translated"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","透過 Trezor Bridge 使用 USB 或 Bluetooth","translated"
"history.awaitingConfirmation","Awaiting confirmation","等待確認","translated"
"history.block","Block","區塊","translated"
"history.closeDetails","Close details","關閉詳細資料","translated"
"history.confirmations","{count} confirmations","{count} 次確認","stable-term"
"history.confirmed","Confirmed","已確認","translated"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","Electrum 目前無法提供交易詳細資料。","translated"
"history.fee","Fee","費用","translated"
"history.first","First","第一頁","translated"
"history.last","Last","最後一頁","translated"
"history.loadDetailsFailed","Failed to load transaction details.","載入交易詳細資料失敗。","translated"
