"key","English (en)","Spanish (es)","Status"
"contractView.enterMessage","Enter message for {name}","Introduce el mensaje para {name}","translated"
"contractView.enterType","Enter a value matching type: {type}.","Introduce un valor del tipo: {type}.","translated"
"contractView.error","Error","Error","needs-review"
"contractView.errorPrefix","Error: {message}","Error: {message}","needs-review"
"contractView.fillInputs","2. Fill constructor inputs","2. Completa los argumentos del constructor","translated"
"contractView.fillRequired","Fill in each required value before creating the contract.","Completa cada valor obligatorio antes de crear el contrato.","translated"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","Hash de 20 bytes (hex) de una dirección/clave pública. Usa “Seleccionar dirección”.","translated"
"contractView.howWorks","How this works","Cómo funciona","translated"
"contractView.instantiated","Instantiated Contracts","Contratos instanciados","translated"
"contractView.loadContractsFailed","Failed to load available contracts.","No se pudieron cargar los contratos disponibles.","translated"
"contractView.loadDetailsFailed","Failed to load contract details.","No se pudieron cargar los detalles del contrato.","translated"
"contractView.loadInstancesFailed","Failed to load contract instances.","No se pudieron cargar las instancias de contratos.","translated"
"contractView.noInputs","This contract template has no constructor inputs.","Esta plantilla no tiene entradas de constructor.","translated"
"contractView.noInstances","No contract instances yet.","Aún no hay instancias de contratos.","translated"
"contractView.noQr","No QR code detected. Please try again.","No se detectó ningún código QR. Inténtalo de nuevo.","translated"
"contractView.pickTemplate","1. Pick a template","1. Elige una plantilla","translated"
"contractView.privateKeyUnavailable","Private key unavailable for this address.","La clave privada no está disponible para esta dirección.","translated"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","Clave pública en hexadecimal. Usa “Seleccionar dirección” para rellenarla automáticamente.","translated"
"contractView.scanQr","Scan QR Code for {name}","Escanear código QR para {name}","translated"
"contractView.selectAddress","Select Address","Seleccionar dirección","translated"
"contractView.selectContract","Select a contract","Seleccionar un contrato","translated"
"contractView.selectData","Please select an address and enter data to sign.","Selecciona una dirección e introduce los datos que firmarás.","translated"
"contractView.selected","Selected {type}","{type} seleccionado","translated"
"contractView.signature","Signature","Firma","stable-term"
"contractView.signatureFailed","Failed to generate signature.","No se pudo generar la firma.","translated"
"contractView.signatureGenerated","Signature generated successfully!","¡Firma generada correctamente!","translated"
"contractView.signingAddress","Signing address","Dirección de firma","translated"
"contractView.signMessage","Sign Message","Firmar mensaje","translated"
"contractView.title","Contracts","Contratos","translated"
"contractView.tokenAddress","Token address","Dirección del token","translated"
"contractView.unavailable","Unavailable","No disponible","translated"
"contractView.unknownError","Unknown error","Error desconocido","translated"
"contractView.update","Update","Actualizar","translated"
"contractView.updated","Contract updated successfully!","¡Contrato actualizado correctamente!","translated"
"contractView.updateFailed","Failed to update contract.","No se pudo actualizar el contrato.","translated"
"contractView.updateFailedFallback","Failed to update contract.","No se pudo actualizar el contrato.","translated"
"derivation.accountIndex","Account index","Índice de cuenta","translated"
"derivation.addressDerivation","Address derivation","Derivación de direcciones","translated"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","Ruta de cuenta BIP44 usada para derivar esta billetera.","translated"
"derivation.bip44AccountIndex","BIP44 account index","Índice de cuenta BIP44","translated"
"derivation.bip44CoinType","BIP44 coin type","Tipo de moneda BIP44","translated"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","Los marcadores endurecidos son fijos. Las direcciones de recepción y cambio se derivan automáticamente de las ramas /0/index y /1/index.","translated"
"derivation.coinType","Coin type","Tipo de moneda","translated"
"derivation.customize","Customize","Personalizar","translated"
"derivation.invalidActive","The active derivation path is invalid.","La ruta de derivación activa no es válida.","translated"
"derivation.invalidValues","Invalid BIP44 path values.","Los valores de la ruta BIP44 no son válidos.","translated"
"derivation.networkDefault","Network default: {value}","Predeterminado de la red: {value}","translated"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","La ruta de cuenta BIP44 fija que usa esta billetera.","translated"
"derivation.pathPreview","Path preview","Vista previa de la ruta","translated"
"derivation.range","Enter whole numbers from 0 to {max}.","Introduce números enteros de 0 a {max}.","translated"
"derivation.required","{field} is required.","Se requiere {field}.","translated"
"derivation.usuallyZero","Usually 0","Normalmente 0","translated"
"derivation.walletNetwork","Wallet network","Red de la billetera","translated"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","Elige si esta billetera se conecta a fondos reales en Mainnet o a fondos de prueba en Chipnet.","translated"
"desktopMenu.about","About OPTN Wallet","Acerca de OPTN Wallet","translated"
"desktopMenu.cannotExport","This wallet cannot be exported.","No se puede exportar esta billetera.","translated"
"desktopMenu.exported","Wallet exported.","Billetera exportada.","translated"
"desktopMenu.exportFailed","Could not export the wallet.","No se pudo exportar la billetera.","translated"
"desktopMenu.exportWallet","Export Wallet…","Exportar billetera…","translated"
"desktopMenu.file","File","Archivo","translated"
"desktopMenu.help","Help","Ayuda","translated"
"desktopMenu.history","Transaction History","Historial de transacciones","translated"
"desktopMenu.importNewWallet","Import New Wallet","Importar billetera nueva","translated"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","Ese no es un archivo de billetera OPTN válido.","translated"
"desktopMenu.lockWallet","Lock Wallet","Bloquear billetera","translated"
"desktopMenu.noSavedWallets","No saved wallets","No hay billeteras guardadas","translated"
"desktopMenu.openWallet","Open Wallet","Abrir billetera","translated"
"desktopMenu.openWalletFile","Open Wallet File…","Abrir archivo de billetera…","translated"
"desktopMenu.quit","Quit","Salir","translated"
"desktopMenu.receive","Receive","Recibir","translated"
"desktopMenu.refreshWallet","Refresh Wallet","Actualizar billetera","translated"
"desktopMenu.send","Send","Enviar","translated"
"desktopMenu.settings","Settings","Configuración","translated"
"desktopMenu.toggleTheme","Toggle Theme","Cambiar tema","translated"
"desktopMenu.view","View","Ver","translated"
"desktopMenu.wallet","Wallet","Billetera","translated"
"desktopSecurity.authenticating","Authenticating…","Autenticando…","translated"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","Falló el desbloqueo biométrico. Usa tu contraseña.","translated"
"desktopSecurity.confirmPassword","Confirm password","Confirmar contraseña","translated"
"desktopSecurity.continue","Continue","Continuar","translated"
"desktopSecurity.enterPassword","Enter your password to unlock.","Introduce tu contraseña para desbloquearla.","translated"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","¿Olvidaste tu contraseña? Elimina la billetera y vuelve a importar tu frase semilla.","translated"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","La contraseña es incorrecta. Inténtalo de nuevo.","translated"
"desktopSecurity.loading","Loading wallet…","Cargando la billetera…","translated"
"desktopSecurity.mismatch","Passphrases do not match.","Las contraseñas no coinciden.","translated"
"desktopSecurity.password","Password","Contraseña","translated"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","Tu contraseña nunca se almacena; se usa localmente para derivar la clave de cifrado.","translated"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","Contraseña (o déjala vacía)","translated"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","No se pudo guardar la contraseña. Inténtalo de nuevo.","translated"
"desktopSecurity.secureWallet","Secure your wallet","Protege tu billetera","translated"
"desktopSecurity.securing","Securing…","Protegiendo…","translated"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","Establece una contraseña para cifrar tu billetera. La necesitarás cada vez que abras la aplicación. Déjala vacía para usar solo la protección de la cuenta del sistema.","translated"
"desktopSecurity.unlock","Unlock","Desbloquear","translated"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","No se pudo desbloquear. Inténtalo de nuevo.","translated"
"desktopSecurity.unlocking","Unlocking…","Desbloqueando…","translated"
"desktopSecurity.useBiometric","Use {label}","Usar {label}","translated"
"desktopSecurity.walletLocked","Wallet locked","Billetera bloqueada","translated"
"desktopWallet.addAnother","Add another wallet","Añadir otra billetera","translated"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","La billetera ya está abierta en otra ventana.","translated"
"desktopWallet.backToWallets","Back to wallets","Volver a las billeteras","translated"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","Falló el desbloqueo biométrico: {message}","translated"
"desktopWallet.biometricUnlock","Biometric unlock","Desbloqueo biométrico","translated"
"desktopWallet.cancel","Cancel","Cancelar","translated"
"desktopWallet.delete","Delete","Eliminar","translated"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","¿Eliminar “{name}” ({network}, n.º {id})? El archivo .optn guardado se conserva para poder importarlo de nuevo.","translated"
"desktopWallet.deleteLabel","Delete {name}","Eliminar {name}","translated"
"desktopWallet.deleting","Deleting…","Eliminando…","translated"
"desktopWallet.device","Device","Dispositivo","translated"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","Introduce la contraseña de este archivo de billetera.","translated"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","Se usará automáticamente para firmar envíos desde billeteras de software mientras esté conectado. Las billeteras exclusivamente físicas con sus propias direcciones de recepción aún no son compatibles.","translated"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","Conectar billetera física","translated"
"desktopWallet.importFailed","Could not import this wallet file.","No se pudo importar este archivo de billetera.","translated"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","Contraseña incorrecta para este archivo de billetera.","translated"
"desktopWallet.open","Open","Abrir","translated"
"desktopWallet.openButton","Open","Abrir","translated"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","No se pudo abrir esta billetera. Inténtalo de nuevo.","translated"
"desktopWallet.openFile","Open “{name}”","Abrir “{name}”","translated"
"desktopWallet.opening","Opening…","Abriendo…","translated"
"desktopWallet.password","Password","Contraseña","translated"
"desktopWallet.unlock","Unlock","Desbloquear","translated"
"desktopWallet.unlocking","Unlocking…","Desbloqueando…","translated"
"desktopWallet.useBiometric","Use {label}","Usar {label}","translated"
"desktopWallet.walletNumber","Wallet #{id}","Billetera #{id}","stable-term"
"desktopWallet.yourWallets","Your wallets","Tus billeteras","translated"
"error.somethingWrong","Something went wrong.","Algo salió mal.","translated"
"experimental.cashFusionDescription","CashFusion is a non-custodial privacy protocol that combines your UTXOs with those of other users in a way that breaks transaction history linkage. Connect to a CashFusion server to participate. Your funds are never at risk — the protocol is trustless.","CashFusion es un protocolo de privacidad sin custodia que combina tus UTXO con los de otros usuarios para romper los vínculos del historial entre entradas y salidas. Conéctate a un servidor CashFusion para participar. Tus fondos nunca están en riesgo: el protocolo no requiere confianza.","translated"
"experimental.cashFusionWarning","Requires an active CashFusion server connection. Coming soon — toggle currently reserved.","Requiere una conexión activa a un servidor CashFusion. Próximamente; el interruptor está reservado por ahora.","translated"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","Estas funciones están en desarrollo activo. Actívalas para probar nuevas capacidades; pueden cambiar o estar incompletas en futuras versiones.","translated"
"experimental.disable","Disable","Desactivar","translated"
"experimental.enable","Enable","Activar","translated"
"experimental.features","Experimental Features","Funciones experimentales","translated"
"experimental.privacy","Privacy","Privacidad","translated"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","Las bóvedas Quantumroot protegen los fondos con un esquema Schnorr LM-OTS resistente a la computación cuántica. Están activadas por defecto. Desactívalas para ocultar Quantumroot si no lo usas.","translated"
"experimental.quantumSafe","Quantum-safe","Resistente a cuántica","translated"
"experimental.rpaBadge","BCH RPA","BCH RPA","stable-term"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","Genera un código de pago estático (paycode:q...) que puedes compartir públicamente. Los remitentes derivan una dirección única de un solo uso para cada pago mediante ECDH, sin transacción de notificación ni sobrecarga en la cadena. Los fondos ocultos recibidos aparecen aparte como 'BCH oculto'. El escaneo requiere un servidor compatible con Fulcrum-RPA.","translated"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","Direcciones de pago reutilizables (RPA)","translated"
"experimental.rpaWarning","Sending to paycodes requires signature grinding (not yet implemented). Receiving and scanning are available.","Enviar a códigos de pago requiere búsqueda de firmas (aún no implementada). Recibir y escanear están disponibles.","translated"
"faucet.captcha","Answer the captcha question","Responde la pregunta de captcha","translated"
"faucet.clickLink","Click the Chipnet Faucet link","Haz clic en el enlace del grifo de Chipnet","translated"
"faucet.copyAddress","Copy a BCH Chipnet address","Copia una dirección BCH de Chipnet","translated"
"faucet.getCoins","Press ""Get Coins""","Pulsa ""Get Coins""","translated"
"faucet.instructions","Instructions","Instrucciones","stable-term"
"faucet.name","Chipnet Faucet","Grifo de Chipnet","stable-term"
"faucet.pasteAddress","Paste your address","Pega tu dirección","translated"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","Selecciona ""chipnet"" en el campo NETWORK","translated"
"faucet.tooltip","Get Chipnet BCH","Obtener BCH de Chipnet","translated"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","Añadir servidor — host:puerto (p. ej., fusion.example.com:8789)","translated"
"fusion.autoTry","Auto — try each until one responds","Automático — probar hasta que uno responda","translated"
"fusion.busy","A fusion round is already running for this wallet.","Ya hay una ronda de fusión ejecutándose para esta billetera.","translated"
"fusion.choose","Choose how to fuse:","Elige cómo fusionar:","translated"
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Some wallet-hardening items are still pending, but each round verifies your own outputs before signing, so it fails safely.","Tanto la ruta del servidor como P2P Fusion ejecutan CoinJoins reales en cualquier red. Aún hay elementos de endurecimiento pendientes, pero cada ronda verifica tus salidas antes de firmar y falla de forma segura.","translated"
"fusion.coinjoinBoth","Both run a real CoinJoin.","Ambos ejecutan un CoinJoin real.","translated"
"fusion.componentFeeRate","Component fee rate","Tarifa del componente","translated"
"fusion.componentsPlayer","Components / player","Componentes / participante","translated"
"fusion.connectingTor","Connecting via Tor{port}.","Conectando mediante Tor{port}.","translated"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","Esperando el intervalo de fusión automática.","translated"
"fusion.disable","Disable","Desactivar","translated"
"fusion.donation","Donation","Donación","translated"
"fusion.enable","Enable","Activar","translated"
"fusion.enabled","CashFusion Enabled","CashFusion activado","translated"
"fusion.enableP2p","Enable P2P Fusion","Activar fusión P2P","translated"
"fusion.enableServer","Enable Server Fusion","Activar fusión por servidor","translated"
"fusion.excessFeeRange","Excess fee range","Rango de tarifa excedente","translated"
"fusion.experimentalPending","Experimental — still pending: {items}.","Experimental; pendiente: {items}.","translated"
"fusion.failed","Failed ✗","Falló ✗","translated"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","CashFusion mantiene intencionadamente pocos servidores públicos: un conjunto de anonimato mayor en menos servidores es mejor que dispersarlo. Añade arriba tu propio servidor o uno de la comunidad.","translated"
"fusion.fused","Fused ✓ — txid {txid}","Fusionado ✓ — txid {txid}","translated"
"fusion.fusing","Fusing…","Fusionando…","translated"
"fusion.handshakeOk","Handshake OK ✓","Negociación correcta ✓","translated"
"fusion.handshaking","Handshaking…","Negociando…","translated"
"fusion.hide","Hide","Ocultar","translated"
"fusion.howWorks","How does it work?","¿Cómo funciona?","translated"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","CashFusion necesita una conexión TCP directa, que un navegador móvil/web no puede abrir. Disponible en la aplicación de escritorio.","translated"
"fusion.more","more","más","translated"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","No hay monedas aptas para fusionar ahora.","translated"
"fusion.now","Fuse Now","Fusionar ahora","translated"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","CoinJoin mediante el servidor configurado en Servidores. Requiere Tor y al menos 2 participantes en un nivel.","translated"
"fusion.openWallet","Open a wallet to run a P2P round.","Abre una billetera para ejecutar una ronda P2P.","translated"
"fusion.or","or","o","translated"
"fusion.p2pMode","P2P Fusion","Fusión P2P","stable-term"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","Sin servidor: pares mediante Nostr + Tor. Se fusiona automáticamente al activarlo; desactiva la fusión por servidor.","translated"
"fusion.p2pModeLabel","P2P Fusion","Fusión P2P","stable-term"
"fusion.poolTiers","Pool tiers","Niveles del grupo","translated"
"fusion.privacy","Privacy","Privacidad","translated"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Experimental wallet-hardening items are still pending, but your own outputs are verified before signing, so an invalid round fails safely.","Los pasos 1–4 se ejecutan de principio a fin mediante el servidor: la billetera se une a un grupo, intercambia firmas ciegas, envía datos mediante Tor y transmite el CoinJoin ensamblado. P2P Fusion ejecuta la misma ronda sin servidor mediante Nostr y Tor. Aún hay elementos experimentales de endurecimiento de la billetera, pero tus salidas se verifican antes de firmar para que una ronda no válida falle de forma segura.","translated"
"fusion.queryAuto","Query (Auto)","Consultar (automático)","translated"
"fusion.queryServer","Query Server","Consultar servidor","translated"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","Es un servidor remoto, por lo que se requiere Tor, pero no se encontró ningún proxy Tor. Inicia Tor arriba o se rechazará la consulta.","translated"
"fusion.selected","● selected","● seleccionado","translated"
"fusion.serverMode","Fuse Now using CashFusion server","Fusionar ahora usando el servidor CashFusion","translated"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","Fusiona mediante un servidor CashFusion. Se fusiona automáticamente al activarlo.","translated"
"fusion.serverModeLabel","Server Fusion","Fusión por servidor","translated"
"fusion.serverParameters","Server parameters (live)","Parámetros del servidor (en vivo)","translated"
"fusion.servers","Fusion servers","Servidores de fusión","stable-term"
"fusion.step1","1. Pool joining.","1. Unirse al grupo.","translated"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","Tu billetera anuncia al servidor los UTXO que quiere fusionar.","translated"
"fusion.step2","2. Blind signing.","2. Firma ciega.","translated"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","Los participantes generan direcciones de salida ocultas e intercambian firmas ciegas; nadie conoce la relación entre entradas y salidas.","translated"
"fusion.step3","3. Covert submission.","3. Envío encubierto.","translated"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","Cada participante envía la transacción mediante Tor o una conexión directa. El servidor ensambla la transacción final.","translated"
"fusion.step4","4. Broadcast.","4. Transmisión.","translated"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","Todos los participantes transmiten la transacción construida conjuntamente.","translated"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","CashFusion combina UTXO de muchos participantes en una sola transacción, rompiendo los vínculos del historial entre entradas y salidas. No tiene custodia: tus fondos nunca salen de tu control.","translated"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","Sincronizando monedas de la billetera; inténtalo de nuevo en un momento.","translated"
"fusion.tiers","Tiers","Niveles","translated"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","Tor está desactivado. Se rechazarán las consultas de fusión remota; activa Tor arriba o usa un servidor local.","translated"
"hardware.active","active","activo","translated"
"hardware.advanced","Advanced (derivation path)","Avanzado (ruta de derivación)","translated"
"hardware.airGap","air-gap","aislado","translated"
"hardware.beforeConnecting","Before connecting","Antes de conectar","translated"
"hardware.bip44Path","BIP44 path","Ruta BIP44","translated"
"hardware.comingSoon","Coming soon","Próximamente","translated"
"hardware.connect","Connect {device}","Conectar {device}","translated"
"hardware.connecting","Connecting…","Conectando…","translated"
"hardware.connectionType","Connection type","Tipo de conexión","translated"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","El dispositivo guarda tus claves privadas. La billetera actúa como puente. Las claves nunca salen del hardware.","translated"
"hardware.disconnect","Disconnect","Desconectar","translated"
"hardware.enableKeystone","Enable Keystone (QR mode)","Activar Keystone (modo QR)","translated"
"hardware.howItWorks","How it works","Cómo funciona","translated"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","La firma QR aislada de Keystone aún no está terminada; la aplicación no puede crear ni leer los códigos QR necesarios en esta versión. Está prevista, pero no está lista para fondos reales.","translated"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","Firma QR aislada — aún no compatible","translated"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","USB: conecta → introduce el PIN → abre la aplicación Bitcoin Cash","translated"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","Bluetooth (Nano X): activa BLE → abre la aplicación Bitcoin Cash","translated"
"hardware.ledgerStep3","The browser will show a device picker prompt","El navegador mostrará un selector de dispositivos","translated"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","USB (WebHID) o Bluetooth (Nano X)","translated"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","La compatibilidad con {device} aún no está terminada; no puede conectarse ni firmar en esta versión. Elige otro dispositivo o usa la billetera de software.","translated"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","Instala OneKey Bridge si aún no lo has hecho","translated"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","Conecta tu OneKey o vincúlalo por Bluetooth","translated"
"hardware.onekeyStep3","Unlock your device with your PIN","Desbloquea el dispositivo con tu PIN","translated"
"hardware.onekeyStep4","Allow the connection when requested","Permite la conexión cuando se solicite","translated"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","USB o Bluetooth mediante OneKey Bridge","translated"
"hardware.path","Path","Ruta","translated"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","Tus claves privadas nunca salen del dispositivo. La billetera crea una transacción sin firmar, el dispositivo muestra los detalles, tú confirmas físicamente y el dispositivo devuelve solo la firma. Es como el modo de billetera de hardware de Electron Cash.","translated"
"hardware.softwareLabel","Software Wallet","Billetera de software","translated"
"hardware.softwareSubtitle","Encrypted keys stored on this device","Claves cifradas almacenadas en este dispositivo","translated"
"hardware.title","Hardware Wallet","Billetera de hardware","translated"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","Instala Trezor Suite; incluye el demonio Bridge","translated"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","Conecta tu Trezor por USB o vincúlalo por Bluetooth (modelos nuevos)","translated"
"hardware.trezorStep3","Unlock your device with your PIN","Desbloquea el dispositivo con tu PIN","translated"
"hardware.trezorStep4","Allow the connection popup when it appears","Permite la ventana emergente de conexión cuando aparezca","translated"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","USB o Bluetooth mediante Trezor Bridge","translated"
"history.awaitingConfirmation","Awaiting confirmation","Esperando confirmación","translated"
"history.block","Block","Bloque","translated"
"history.closeDetails","Close details","Cerrar detalles","translated"
"history.confirmations","{count} confirmations","{count} confirmaciones","stable-term"
"history.confirmed","Confirmed","Confirmada","translated"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","Los detalles de la transacción no están disponibles en Electrum ahora mismo.","translated"
"history.fee","Fee","Comisión","translated"
"history.first","First","Primera","translated"
"history.last","Last","Última","translated"
"history.loadDetailsFailed","Failed to load transaction details.","No se pudieron cargar los detalles de la transacción.","translated"
"history.loadingDetails","Loading transaction details…","Cargando detalles de la transacción…","translated"
"history.newestFirst","Newest first","Más recientes primero","translated"
"history.noActivity","No activity yet","Aún no hay actividad","translated"
"history.noData","No data available.","No hay datos disponibles.","translated"
"history.noTransactions","No transactions available yet.","Aún no hay transacciones disponibles.","translated"
"history.oldestFirst","Oldest first","Más antiguas primero","translated"
"history.openExplorer","Open in explorer","Abrir en el explorador","translated"
"history.output","Output","Salida","translated"
"history.pending","Pending","Pendiente","translated"
"history.perPage","{count} per page","{count} por página","translated"
"history.recipients","Recipients","Destinatarios","translated"
"history.recorded","{count} recorded","{count} registradas","translated"
"history.senders","Senders","Remitentes","translated"
"history.status","Status","Estado","stable-term"
"history.sync","Sync","Sincronizar","translated"
"history.timestamp","Timestamp","Marca de tiempo","translated"
"history.title","Transaction History","Historial de transacciones","translated"
"history.transaction","Transaction","Transacción","stable-term"
"history.transactionHash","Transaction Hash","Hash de transacción","translated"
"history.unavailable","Unavailable","No disponible","translated"
"history.unconfirmed","Unconfirmed","Sin confirmar","translated"
"history.unknown","Unknown","Desconocido","translated"
"history.yourWallet","Your wallet","Tu billetera","translated"
"home.block","Block","Bloque","translated"
"home.confirmed","Confirmed","Confirmado","translated"
"home.latestActivity","Latest wallet activity","Última actividad de la billetera","translated"
"home.noQrCode","No QR code detected. Try again.","No se detectó ningún código QR. Inténtalo de nuevo.","translated"
"home.noRecentActivity","No recent activity yet.","Aún no hay actividad reciente.","translated"
"home.pending","Pending","Pendiente","translated"
"home.pendingConfirmation","Pending confirmation","Confirmación pendiente","translated"
"home.portfolio","Portfolio","Cartera","translated"
"home.quickActions","Quick Actions","Acciones rápidas","translated"
"home.receive","Receive","Recibir","translated"
"home.recentActivity","Recent Activity","Actividad reciente","translated"
"home.scanQr","Scan QR","Escanear QR","translated"
"home.send","Send","Enviar","translated"
"home.sync","Sync","Sincronizar","translated"
"home.syncing","Syncing…","Sincronizando…","translated"
"home.title","Home","Inicio","translated"
"home.toggleBalance","Toggle BCH and USD balance","Cambiar entre saldo BCH y USD","translated"
"home.unsupportedQr","QR scanned, but it is not a supported wallet payload.","Se escaneó un QR, pero no es un formato de billetera compatible.","translated"
"home.usdPriceUnavailable","USD price unavailable","Precio en USD no disponible","translated"
"home.usdUnavailable","USD unavailable","USD no disponible","translated"
"home.viewAll","View all","Ver todo","translated"
"home.walletOverview","Wallet overview","Resumen de la billetera","translated"
"nav.actions","Actions","Acciones","stable-term"
"nav.apps","Apps","Apps","needs-review"
"nav.assets","Assets","Activos","translated"
"nav.home","Home","Inicio","translated"
"nav.settings","Settings","Configuración","translated"
"network.chipnet","Chipnet","Chipnet","stable-term"
"network.mainnet","Mainnet","Mainnet","stable-term"
"network.switch","Switch network. Current: {network}","Cambiar de red. Actual: {network}","translated"
"nftConfig.capability","NFT Capability","Capacidad del NFT","translated"
"nftConfig.commitment","NFT Commitment","Compromiso del NFT","translated"
"nftConfig.done","Done","Listo","translated"
"nftConfig.minting","minting","acuñación","translated"
"nftConfig.mintingDescription","one NFT authority that can create multiple next NFTs.","una autoridad NFT que puede crear varios NFT posteriores.","translated"
"nftConfig.mutable","mutable","mutable","needs-review"
"nftConfig.mutableDescription","one NFT that may update its commitment when spent.","un NFT que puede actualizar su compromiso al gastarse.","translated"
"nftConfig.none","none","ninguno","translated"
"nftConfig.noneDescription","one immutable NFT, best for approvals or receipts.","un NFT inmutable, ideal para aprobaciones o recibos.","translated"
"nftConfig.placeholder","Up to 40 bytes","Hasta 40 bytes","translated"
"nftConfig.title","NFT Configuration","Configuración del NFT","translated"
"nostr.active","{active}/{total} active","{active}/{total} activos","translated"
"nostr.add","Add","Añadir","translated"
