"key","English (en)","Japanese (ja)","Status"
"contractPopup.generated","Message generated successfully!","メッセージを生成しました！","translated"
"contractPopup.generateMessage","Generate Message","メッセージを生成","translated"
"contractPopup.generationFailed","Failed to generate message.","メッセージの生成に失敗しました。","translated"
"contractPopup.invalidFormat","Invalid {type} format. Please scan a valid QR code.","{type} の形式が無効です。有効な QR をスキャンしてください。","translated"
"contractPopup.message","Message","メッセージ","stable-term"
"contractPopup.messageForCheck","message for checkdatasig","checkdatasig のメッセージ","translated"
"contractPopup.noKeys","No keys found for address: {address}","アドレスのキーが見つかりません：{address}","translated"
"contractPopup.noQr","No QR code detected. Please try again.","QR コードを検出できません。もう一度お試しください。","translated"
"contractPopup.scanFor","Scan QR Code for {name}","{name} の QR をスキャン","translated"
"contractPopup.select","Select","選択","translated"
"contractPopup.selectAddress","Select Address","アドレスを選択","translated"
"contractPopup.selected","Selected {type}","{type} を選択しました","translated"
"contractPopup.title","Select a Function","関数を選択","translated"
"contractView.address","Address","アドレス","translated"
"contractView.addressCopied","Address copied to clipboard!","アドレスをクリップボードにコピーしました！","translated"
"contractView.argumentTypeInfo","Argument type info","引数型情報","translated"
"contractView.back","Back","戻る","translated"
"contractView.balance","Balance","残高","translated"
"contractView.blockHeight","Current Block Height","現在のブロック高","translated"
"contractView.blockHeightInfo","Blocks increment on an average interval of 10 minutes.","ブロックは平均 10 分間隔で増加します。","translated"
"contractView.constructorArgs","Constructor Arguments","コンストラクター引数","translated"
"contractView.copyFailed","Failed to copy address.","アドレスをコピーできませんでした。","translated"
"contractView.create","Create Contract","コントラクトを作成","translated"
"contractView.created","Contract created successfully!","コントラクトを作成しました！","translated"
"contractView.createFailed","Failed to create contract: {message}","コントラクトを作成できませんでした：{message}","translated"
"contractView.createStep","3. Create the contract","3. コントラクトを作成","translated"
"contractView.datasigInfo","Data signature info","データ署名情報","translated"
"contractView.delete","Delete","削除","translated"
"contractView.deleted","Contract deleted successfully!","コントラクトを削除しました！","translated"
"contractView.deleteFailed","Failed to delete contract.","コントラクトを削除できませんでした。","translated"
"contractView.deleteFailedFallback","Failed to delete contract.","コントラクトを削除できませんでした。","translated"
"contractView.enterMessage","Enter message for {name}","{name} のメッセージを入力","translated"
"contractView.enterType","Enter a value matching type: {type}.","型に合う値を入力してください：{type}。","translated"
"contractView.error","Error","エラー","translated"
"contractView.errorPrefix","Error: {message}","エラー：{message}","translated"
"contractView.fillInputs","2. Fill constructor inputs","2. コンストラクター入力を入力","translated"
"contractView.fillRequired","Fill in each required value before creating the contract.","コントラクトを作成する前に、必須項目をすべて入力してください。","translated"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","アドレス／公開鍵の 20 バイトハッシュ（16 進数）。「アドレスを選択」を使用してください。","translated"
"contractView.howWorks","How this works","仕組み","translated"
"contractView.instantiated","Instantiated Contracts","インスタンス化されたコントラクト","translated"
"contractView.loadContractsFailed","Failed to load available contracts.","利用可能なコントラクトを読み込めませんでした。","translated"
"contractView.loadDetailsFailed","Failed to load contract details.","コントラクトの詳細を読み込めませんでした。","translated"
"contractView.loadInstancesFailed","Failed to load contract instances.","コントラクトのインスタンスを読み込めませんでした。","translated"
"contractView.noInputs","This contract template has no constructor inputs.","このコントラクトテンプレートにはコンストラクター入力がありません。","translated"
"contractView.noInstances","No contract instances yet.","コントラクトのインスタンスはまだありません。","translated"
"contractView.noQr","No QR code detected. Please try again.","QR コードを検出できませんでした。もう一度お試しください。","translated"
"contractView.pickTemplate","1. Pick a template","1. テンプレートを選択","translated"
"contractView.privateKeyUnavailable","Private key unavailable for this address.","このアドレスでは秘密鍵を利用できません。","translated"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","16 進数の公開鍵。「アドレスを選択」で自動入力できます。","translated"
"contractView.scanQr","Scan QR Code for {name}","{name} の QR コードをスキャン","translated"
"contractView.selectAddress","Select Address","アドレスを選択","translated"
"contractView.selectContract","Select a contract","コントラクトを選択","translated"
"contractView.selectData","Please select an address and enter data to sign.","アドレスを選択し、署名するデータを入力してください。","translated"
"contractView.selected","Selected {type}","{type} を選択済み","translated"
"contractView.signature","Signature","署名","stable-term"
"contractView.signatureFailed","Failed to generate signature.","署名を生成できませんでした。","translated"
"contractView.signatureGenerated","Signature generated successfully!","署名を生成しました！","translated"
"contractView.signingAddress","Signing address","署名アドレス","translated"
"contractView.signMessage","Sign Message","メッセージに署名","translated"
"contractView.title","Contracts","コントラクト","translated"
"contractView.tokenAddress","Token address","トークンアドレス","translated"
"contractView.unavailable","Unavailable","利用できません","translated"
"contractView.unknownError","Unknown error","不明なエラー","translated"
"contractView.update","Update","更新","translated"
"contractView.updated","Contract updated successfully!","コントラクトを更新しました！","translated"
"contractView.updateFailed","Failed to update contract.","コントラクトを更新できませんでした。","translated"
"contractView.updateFailedFallback","Failed to update contract.","コントラクトを更新できませんでした。","translated"
"derivation.accountIndex","Account index","アカウントインデックス","translated"
"derivation.addressDerivation","Address derivation","アドレス導出","translated"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","このウォレットの導出に使う BIP44 アカウントパスです。","translated"
"derivation.bip44AccountIndex","BIP44 account index","BIP44 アカウントインデックス","translated"
"derivation.bip44CoinType","BIP44 coin type","BIP44 コイン種別","translated"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","hardened マーカーは固定です。受取アドレスとおつりアドレスは /0/index と /1/index ブランチから自動的に導出されます。","translated"
"derivation.coinType","Coin type","コイン種別","translated"
"derivation.customize","Customize","カスタマイズ","translated"
"derivation.invalidActive","The active derivation path is invalid.","アクティブな導出パスが無効です。","translated"
"derivation.invalidValues","Invalid BIP44 path values.","無効な BIP44 パス値です。","translated"
"derivation.networkDefault","Network default: {value}","ネットワークの既定値：{value}","translated"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","このウォレットで使用する固定 BIP44 アカウントパスです。","translated"
"derivation.pathPreview","Path preview","パスのプレビュー","translated"
"derivation.range","Enter whole numbers from 0 to {max}.","0 から {max} までの整数を入力してください。","translated"
"derivation.required","{field} is required.","{field} は必須です。","translated"
"derivation.usuallyZero","Usually 0","通常は 0","translated"
"derivation.walletNetwork","Wallet network","ウォレットネットワーク","translated"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","Mainnet の実資金と Chipnet のテスト資金のどちらに接続するか選択します。","translated"
"desktopMenu.about","About OPTN Wallet","OPTN Wallet について","translated"
"desktopMenu.cannotExport","This wallet cannot be exported.","このウォレットはエクスポートできません。","translated"
"desktopMenu.exported","Wallet exported.","ウォレットをエクスポートしました。","translated"
"desktopMenu.exportFailed","Could not export the wallet.","ウォレットをエクスポートできませんでした。","translated"
"desktopMenu.exportWallet","Export Wallet…","ウォレットをエクスポート…","translated"
"desktopMenu.file","File","ファイル","translated"
"desktopMenu.help","Help","ヘルプ","translated"
"desktopMenu.history","Transaction History","取引履歴","translated"
"desktopMenu.importNewWallet","Import New Wallet","新しいウォレットをインポート","translated"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","有効な OPTN ウォレットファイルではありません。","translated"
"desktopMenu.lockWallet","Lock Wallet","ウォレットをロック","translated"
"desktopMenu.noSavedWallets","No saved wallets","保存されたウォレットはありません","translated"
"desktopMenu.openWallet","Open Wallet","ウォレットを開く","translated"
"desktopMenu.openWalletFile","Open Wallet File…","ウォレットファイルを開く…","translated"
"desktopMenu.quit","Quit","終了","translated"
"desktopMenu.receive","Receive","受け取る","translated"
"desktopMenu.refreshWallet","Refresh Wallet","ウォレットを更新","translated"
"desktopMenu.send","Send","送る","translated"
"desktopMenu.settings","Settings","設定","translated"
"desktopMenu.toggleTheme","Toggle Theme","テーマを切り替え","translated"
"desktopMenu.view","View","表示","translated"
"desktopMenu.wallet","Wallet","ウォレット","translated"
"desktopSecurity.authenticating","Authenticating…","認証中…","translated"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","生体認証によるロック解除に失敗しました。パスワードを使用してください。","translated"
"desktopSecurity.confirmPassword","Confirm password","パスワードを確認","translated"
"desktopSecurity.continue","Continue","続ける","translated"
"desktopSecurity.enterPassword","Enter your password to unlock.","ロック解除のパスワードを入力してください。","translated"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","パスワードを忘れましたか？ウォレットを削除し、リカバリーフレーズを再インポートしてください。","translated"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","パスワードが正しくありません。もう一度お試しください。","translated"
"desktopSecurity.loading","Loading wallet…","ウォレットを読み込み中…","translated"
"desktopSecurity.mismatch","Passphrases do not match.","パスワードが一致しません。","translated"
"desktopSecurity.password","Password","パスワード","translated"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","パスワードは保存されず、暗号化キーはローカルで導出されます。","translated"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","パスワード（空欄可）","translated"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","パスワードの保存に失敗しました。もう一度お試しください。","translated"
"desktopSecurity.secureWallet","Secure your wallet","ウォレットを保護","translated"
"desktopSecurity.securing","Securing…","保護中…","translated"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","ウォレットを暗号化するパスワードを設定します。アプリを開くたびに必要です。空欄にすると OS アカウント保護のみを使用します。","translated"
"desktopSecurity.unlock","Unlock","ロック解除","translated"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","ロック解除に失敗しました。もう一度お試しください。","translated"
"desktopSecurity.unlocking","Unlocking…","ロック解除中…","translated"
"desktopSecurity.useBiometric","Use {label}","{label}を使用","translated"
"desktopSecurity.walletLocked","Wallet locked","ウォレットはロックされています","translated"
"desktopWallet.addAnother","Add another wallet","別のウォレットを追加","translated"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","このウォレットは別のウィンドウですでに開いています。","translated"
"desktopWallet.backToWallets","Back to wallets","ウォレットに戻る","translated"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","生体認証のロック解除に失敗しました：{message}","translated"
"desktopWallet.biometricUnlock","Biometric unlock","生体認証でロック解除","translated"
"desktopWallet.cancel","Cancel","キャンセル","translated"
"desktopWallet.delete","Delete","削除","translated"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","「{name}」（{network}、#{id}）を削除しますか？保存済みの .optn ファイルは残るため、後で再インポートできます。","translated"
"desktopWallet.deleteLabel","Delete {name}","{name} を削除","translated"
"desktopWallet.deleting","Deleting…","削除中…","translated"
"desktopWallet.device","Device","デバイス","translated"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","このウォレットファイルのパスワードを入力してください。","translated"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","接続中はソフトウェアウォレットの送信に自動的に署名します。独自の受取アドレスを持つハードウェア専用ウォレットはまだサポートされていません。","translated"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","ハードウェアウォレットを接続","translated"
"desktopWallet.importFailed","Could not import this wallet file.","このウォレットファイルをインポートできませんでした。","translated"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","このウォレットファイルのパスワードが正しくありません。","translated"
"desktopWallet.open","Open","開く","translated"
"desktopWallet.openButton","Open","開く","translated"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","ウォレットを開けませんでした。もう一度お試しください。","translated"
"desktopWallet.openFile","Open “{name}”","「{name}」を開く","translated"
"desktopWallet.opening","Opening…","開いています…","translated"
"desktopWallet.password","Password","パスワード","translated"
"desktopWallet.unlock","Unlock","ロック解除","translated"
"desktopWallet.unlocking","Unlocking…","ロック解除中…","translated"
"desktopWallet.useBiometric","Use {label}","{label} を使用","translated"
"desktopWallet.walletNumber","Wallet #{id}","ウォレット #{id}","stable-term"
"desktopWallet.yourWallets","Your wallets","自分のウォレット","translated"
"error.somethingWrong","Something went wrong.","問題が発生しました。","translated"
"experimental.cashFusionDescription","CashFusion is a non-custodial privacy protocol that combines your UTXOs with those of other users in a way that breaks transaction history linkage. Connect to a CashFusion server to participate. Your funds are never at risk — the protocol is trustless.","CashFusion は、他のユーザーの UTXO と組み合わせて取引履歴のリンクを切る非カストディアルなプライバシープロトコルです。参加するには CashFusion サーバーに接続します。信頼不要のプロトコルなので資金が危険にさらされることはありません。","translated"
"experimental.cashFusionWarning","Requires an active CashFusion server connection. Coming soon — toggle currently reserved.","有効な CashFusion サーバー接続が必要です。近日公開で、現在このトグルは予約されています。","translated"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","これらの機能は開発中です。有効にすると新しい機能を試せますが、今後の更新で変更または未完成のままになる場合があります。","translated"
"experimental.disable","Disable","無効化","translated"
"experimental.enable","Enable","有効化","translated"
"experimental.features","Experimental Features","実験的な機能","translated"
"experimental.privacy","Privacy","プライバシー","translated"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","Quantumroot 保管庫は量子耐性のある Schnorr LM-OTS 方式で資金を保護します。既定で有効です。使用しない場合は無効にして Quantumroot を隠せます。","translated"
"experimental.quantumSafe","Quantum-safe","量子安全","translated"
"experimental.rpaBadge","BCH RPA","BCH RPA","stable-term"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","公開共有できる静的 Paycode（paycode:q...）を生成します。送信者は ECDH で支払いごとの固有の使い捨てアドレスを導出します。通知トランザクションもチェーンの肥大化もありません。受け取ったステルス資金は「ステルス BCH」として別に表示されます。スキャンには Fulcrum-RPA 対応サーバーが必要です。","translated"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","再利用可能な支払いアドレス（RPA）","translated"
"experimental.rpaWarning","Sending to paycodes requires signature grinding (not yet implemented). Receiving and scanning are available.","Paycode への送信には署名 grinding が必要ですが、まだ実装されていません。受取とスキャンは利用できます。","translated"
"faucet.captcha","Answer the captcha question","captcha の質問に回答","translated"
"faucet.clickLink","Click the Chipnet Faucet link","Chipnet Faucet リンクをクリック","translated"
"faucet.copyAddress","Copy a BCH Chipnet address","BCH Chipnet アドレスをコピー","translated"
"faucet.getCoins","Press ""Get Coins""","「Get Coins」を押す","translated"
"faucet.instructions","Instructions","手順","stable-term"
"faucet.name","Chipnet Faucet","Chipnet Faucet","stable-term"
"faucet.pasteAddress","Paste your address","アドレスを貼り付け","translated"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","NETWORK ボックスで「chipnet」を選択","translated"
"faucet.tooltip","Get Chipnet BCH","Chipnet BCH を取得","translated"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","サーバーを追加 — ホスト:ポート（例 fusion.example.com:8789）","translated"
"fusion.autoTry","Auto — try each until one responds","自動 — 応答するまで順番に試す","translated"
"fusion.busy","A fusion round is already running for this wallet.","このウォレットでは Fusion ラウンドがすでに実行中です。","translated"
"fusion.choose","Choose how to fuse:","融合方法を選択：","translated"
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Some wallet-hardening items are still pending, but each round verifies your own outputs before signing, so it fails safely.","サーバー経路と P2P Fusion は、どのネットワークでも本物の CoinJoin を実行します。一部のウォレット強化項目は保留中ですが、各ラウンドで署名前に自分の出力を確認するため、安全に失敗します。","translated"
"fusion.coinjoinBoth","Both run a real CoinJoin.","どちらも本物の CoinJoin を実行します。","translated"
"fusion.componentFeeRate","Component fee rate","コンポーネント手数料率","translated"
"fusion.componentsPlayer","Components / player","コンポーネント／参加者","translated"
"fusion.connectingTor","Connecting via Tor{port}.","Tor{port} 経由で接続中。","translated"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","自動融合のクールダウンを待っています。","translated"
"fusion.disable","Disable","無効化","translated"
"fusion.donation","Donation","寄付","translated"
"fusion.enable","Enable","有効化","translated"
"fusion.enabled","CashFusion Enabled","CashFusion 有効","translated"
"fusion.enableP2p","Enable P2P Fusion","P2P Fusion を有効化","translated"
"fusion.enableServer","Enable Server Fusion","サーバー Fusion を有効化","translated"
"fusion.excessFeeRange","Excess fee range","超過手数料の範囲","translated"
"fusion.experimentalPending","Experimental — still pending: {items}.","実験的 — まだ保留中：{items}。","translated"
"fusion.failed","Failed ✗","失敗 ✗","translated"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","CashFusion は意図的に公開サーバーを少数にしています。少数のサーバーで大きな匿名集合を作る方が、薄く分散するより優れています。上で自分のサーバーまたはコミュニティサーバーを追加してください。","translated"
"fusion.fused","Fused ✓ — txid {txid}","融合済み ✓ — txid {txid}","translated"
"fusion.fusing","Fusing…","融合中…","translated"
"fusion.handshakeOk","Handshake OK ✓","ハンドシェイク成功 ✓","translated"
"fusion.handshaking","Handshaking…","ハンドシェイク中…","translated"
"fusion.hide","Hide","隠す","translated"
"fusion.howWorks","How does it work?","どのように動作しますか？","translated"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","CashFusion にはモバイル／ウェブブラウザーでは開けない生の TCP 接続が必要です。デスクトップアプリで利用できます。","translated"
"fusion.more","more","さらに表示","translated"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","現在、融合できるコインはありません。","translated"
"fusion.now","Fuse Now","今すぐ融合","translated"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","「サーバー」で設定したサーバー経由の CoinJoin。同じティアに Tor と 2 人以上の参加者が必要です。","translated"
"fusion.openWallet","Open a wallet to run a P2P round.","P2P ラウンドを実行するにはウォレットを開いてください。","translated"
"fusion.or","or","または","translated"
"fusion.p2pMode","P2P Fusion","P2P Fusion","stable-term"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","サーバーなし — Nostr + Tor 経由でピア接続。有効時は自動で融合し、これを有効にするとサーバー Fusion は無効になります。","translated"
"fusion.p2pModeLabel","P2P Fusion","P2P Fusion","stable-term"
"fusion.poolTiers","Pool tiers","プールのティア","translated"
"fusion.privacy","Privacy","プライバシー","translated"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Experimental wallet-hardening items are still pending, but your own outputs are verified before signing, so an invalid round fails safely.","ステップ 1〜4 はサーバー経路で最後まで実行されます。ウォレットがプールに参加し、ブラインド署名を交換し、Tor 経由で送信して組み立てた CoinJoin をブロードキャストします。P2P Fusion は Nostr と Tor を使い、サーバーなしで同じラウンドを実行します。一部の実験的なウォレット強化項目は保留中ですが、署名前に自分の出力を確認するため、無効なラウンドは安全に失敗します。","translated"
"fusion.queryAuto","Query (Auto)","クエリ（自動）","translated"
"fusion.queryServer","Query Server","サーバーにクエリ","translated"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","リモートサーバーなので Tor が必要ですが、Tor プロキシが見つかりません。上で Tor を起動しないとクエリは拒否されます。","translated"
"fusion.selected","● selected","● 選択済み","translated"
"fusion.serverMode","Fuse Now using CashFusion server","CashFusion サーバーで今すぐ融合","translated"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","CashFusion サーバー経由で融合します。有効時は自動で融合します。","translated"
"fusion.serverModeLabel","Server Fusion","サーバー Fusion","translated"
"fusion.serverParameters","Server parameters (live)","サーバーパラメーター（ライブ）","translated"
"fusion.servers","Fusion servers","Fusion サーバー","stable-term"
"fusion.step1","1. Pool joining.","1. プールに参加。","translated"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","ウォレットが融合したい UTXO をサーバーに通知します。","translated"
"fusion.step2","2. Blind signing.","2. ブラインド署名。","translated"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","参加者がブラインド出力アドレスを生成してブラインド署名を交換するため、誰も入力と出力の対応を知りません。","translated"
"fusion.step3","3. Covert submission.","3. 非公開の送信。","translated"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","各参加者が Tor または直接接続で取引を送信し、サーバーが最終取引を組み立てます。","translated"
"fusion.step4","4. Broadcast.","4. ブロードキャスト。","translated"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","すべての参加者が共同で作成した取引をブロードキャストします。","translated"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","CashFusion は複数参加者の UTXO を 1 つの取引に結合し、ブロックチェーン履歴で入力と出力のつながりを切ります。非カストディアルなので、資金は常にあなたの管理下にあります。","translated"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","ウォレットのコインを同期中です。少し待ってから再試行してください。","translated"
"fusion.tiers","Tiers","ティア","translated"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","Tor がオフです。リモート Fusion クエリは拒否されます。上で Tor を有効にするか localhost サーバーを使用してください。","translated"
"hardware.active","active","有効","translated"
"hardware.advanced","Advanced (derivation path)","詳細（派生パス）","translated"
"hardware.airGap","air-gap","エアギャップ","translated"
"hardware.beforeConnecting","Before connecting","接続する前に","translated"
"hardware.bip44Path","BIP44 path","BIP44 パス","translated"
"hardware.comingSoon","Coming soon","近日公開","translated"
"hardware.connect","Connect {device}","{device} を接続","translated"
"hardware.connecting","Connecting…","接続中…","translated"
"hardware.connectionType","Connection type","接続タイプ","translated"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","デバイスが秘密鍵を保持します。鍵がハードウェアから出ることはありません。","translated"
"hardware.disconnect","Disconnect","接続を解除","translated"
"hardware.enableKeystone","Enable Keystone (QR mode)","Keystone を有効化（QR モード）","translated"
"hardware.howItWorks","How it works","仕組み","translated"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","Keystone のエアギャップ QR 署名は実資金にはまだ使用できません。","translated"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","エアギャップ QR 署名 — 未対応","translated"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","USB: 接続 → PIN 入力 → Bitcoin Cash アプリを開く","translated"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","Bluetooth (Nano X): BLE を有効化 → Bitcoin Cash アプリを開く","translated"
"hardware.ledgerStep3","The browser will show a device picker prompt","ブラウザにデバイス選択画面が表示されます","translated"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","USB (WebHID) または Bluetooth (Nano X)","translated"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","{device} のサポートはまだ完成していません。別のデバイスを選ぶか、ソフトウェアウォレットを使用してください。","translated"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","必要なら OneKey Bridge をインストール","translated"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","USB で OneKey を接続、または Bluetooth でペアリング","translated"
"hardware.onekeyStep3","Unlock your device with your PIN","PIN でデバイスのロックを解除","translated"
"hardware.onekeyStep4","Allow the connection when requested","要求されたら接続を許可","translated"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","OneKey Bridge 経由の USB または Bluetooth","translated"
"hardware.path","Path","パス","translated"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","ウォレットが未署名取引を作成し、デバイスが詳細を表示します。確認後、デバイスは署名だけを返します。","translated"
"hardware.softwareLabel","Software Wallet","ソフトウェアウォレット","translated"
"hardware.softwareSubtitle","Encrypted keys stored on this device","このデバイスに保存された暗号化キー","translated"
"hardware.title","Hardware Wallet","ハードウェアウォレット","translated"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","Trezor Suite をインストール — Bridge デーモンを含みます","translated"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","USB で Trezor を接続、または Bluetooth でペアリング","translated"
"hardware.trezorStep3","Unlock your device with your PIN","PIN でデバイスのロックを解除","translated"
"hardware.trezorStep4","Allow the connection popup when it appears","接続ポップアップが表示されたら許可","translated"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","Trezor Bridge 経由の USB または Bluetooth","translated"
"history.awaitingConfirmation","Awaiting confirmation","確認待ち","translated"
"history.block","Block","ブロック","translated"
"history.closeDetails","Close details","詳細を閉じる","translated"
"history.confirmations","{count} confirmations","{count} 回の確認","stable-term"
"history.confirmed","Confirmed","承認済み","translated"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","現在 Electrum から取引の詳細を取得できません。","translated"
"history.fee","Fee","手数料","translated"
"history.first","First","最初","translated"
"history.last","Last","最後","translated"
"history.loadDetailsFailed","Failed to load transaction details.","取引の詳細を読み込めませんでした。","translated"
"history.loadingDetails","Loading transaction details…","取引の詳細を読み込み中…","translated"
"history.newestFirst","Newest first","新しい順","translated"
"history.noActivity","No activity yet","アクティビティなし","translated"
"history.noData","No data available.","データなし","translated"
"history.noTransactions","No transactions available yet.","取引はありません","translated"
"history.oldestFirst","Oldest first","古い順","translated"
"history.openExplorer","Open in explorer","エクスプローラーで開く","translated"
"history.output","Output","出力","translated"
"history.pending","Pending","保留中","translated"
"history.perPage","{count} per page","{count}件/ページ","translated"
"history.recipients","Recipients","送信先","translated"
"history.recorded","{count} recorded","{count}件を記録","translated"
"history.senders","Senders","送信元","translated"
"history.status","Status","状態","stable-term"
"history.sync","Sync","同期","translated"
"history.timestamp","Timestamp","タイムスタンプ","translated"
"history.title","Transaction History","取引履歴","translated"
"history.transaction","Transaction","トランザクション","stable-term"
"history.transactionHash","Transaction Hash","トランザクションハッシュ","translated"
"history.unavailable","Unavailable","利用できません","translated"
"history.unconfirmed","Unconfirmed","未確認","translated"
"history.unknown","Unknown","不明","translated"
"history.yourWallet","Your wallet","自分のウォレット","translated"
"home.block","Block","ブロック","translated"
"home.confirmed","Confirmed","承認済み","translated"
"home.latestActivity","Latest wallet activity","ウォレットの最新アクティビティ","translated"
"home.noQrCode","No QR code detected. Try again.","QR コードが見つかりません。もう一度お試しください。","translated"
"home.noRecentActivity","No recent activity yet.","最近のアクティビティはありません。","translated"
"home.pending","Pending","保留中","translated"
"home.pendingConfirmation","Pending confirmation","承認待ち","translated"
"home.portfolio","Portfolio","ポートフォリオ","translated"
"home.quickActions","Quick Actions","クイック操作","translated"
"home.receive","Receive","受け取る","translated"
"home.recentActivity","Recent Activity","最近のアクティビティ","translated"
"home.scanQr","Scan QR","QR をスキャン","translated"
"home.send","Send","送る","translated"
"home.sync","Sync","同期","translated"
"home.syncing","Syncing…","同期中…","translated"
"home.title","Home","ホーム","translated"
"home.toggleBalance","Toggle BCH and USD balance","BCH と USD の残高を切り替え","translated"
"home.unsupportedQr","QR scanned, but it is not a supported wallet payload.","QR を読み取りましたが、対応するウォレットデータではありません。","translated"
"home.usdPriceUnavailable","USD price unavailable","USD 価格は利用できません","translated"
"home.usdUnavailable","USD unavailable","USD は利用できません","translated"
"home.viewAll","View all","すべて表示","translated"
