"key","English (en)","Status"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","translated"
"desktopWallet.deleteLabel","Delete {name}","translated"
"desktopWallet.deleting","Deleting…","translated"
"desktopWallet.device","Device","translated"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","translated"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","translated"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","translated"
"desktopWallet.importFailed","Could not import this wallet file.","translated"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","translated"
"desktopWallet.open","Open","translated"
"desktopWallet.openButton","Open","translated"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","translated"
"desktopWallet.openFile","Open “{name}”","translated"
"desktopWallet.opening","Opening…","translated"
"desktopWallet.password","Password","translated"
"desktopWallet.unlock","Unlock","translated"
"desktopWallet.unlocking","Unlocking…","translated"
"desktopWallet.useBiometric","Use {label}","translated"
"desktopWallet.walletNumber","Wallet #{id}","stable-term"
"desktopWallet.yourWallets","Your wallets","translated"
"error.somethingWrong","Something went wrong.","translated"
"experimental.cashFusionDescription","CashFusion is a non-custodial CoinJoin. Desktop supports P2P (Nostr + Tor) and a classic fusion server. Enable it on the CashFusion card under Servers. The per-wallet master switch defaults off.","translated"
"experimental.cashFusionWarning","Desktop only. Open Servers → CashFusion. Not an Experimental toggle.","translated"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","translated"
"experimental.disable","Disable","translated"
"experimental.enable","Enable","translated"
"experimental.features","Experimental Features","translated"
"experimental.privacy","Privacy","translated"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","translated"
"experimental.quantumSafe","Quantum-safe","translated"
"experimental.rpaBadge","BCH RPA","stable-term"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","translated"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","translated"
"experimental.rpaWarning","Sending grinds input-0 nSequence and keeps it ≥ 0x80000000 (BIP68). Scanning needs a Fulcrum server with blockchain.rpa.* (for example chipnet.bch.ninja).","translated"
"faucet.captcha","Answer the captcha question","translated"
"faucet.clickLink","Click the Chipnet Faucet link","translated"
"faucet.copyAddress","Copy a BCH Chipnet address","translated"
"faucet.getCoins","Press ""Get Coins""","translated"
"faucet.instructions","Instructions","stable-term"
"faucet.name","Chipnet Faucet","stable-term"
"faucet.pasteAddress","Paste your address","translated"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","translated"
"faucet.tooltip","Get Chipnet BCH","translated"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","translated"
"fusion.autoTry","Auto — try each until one responds","translated"
"fusion.busy","A fusion round is already running for this wallet.","translated"
"fusion.choose","Choose how to fuse:","translated"
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Each round verifies your own outputs before signing, so an invalid round fails safely.","translated"
"fusion.coinjoinBoth","Both run a real CoinJoin.","translated"
"fusion.componentFeeRate","Component fee rate","translated"
"fusion.componentsPlayer","Components / player","translated"
"fusion.connectingTor","Connecting via Tor{port}.","translated"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","translated"
"fusion.disable","Disable","translated"
"fusion.donation","Donation","translated"
"fusion.enable","Enable","translated"
"fusion.enabled","CashFusion Enabled","translated"
"fusion.enableP2p","Enable P2P Fusion","translated"
"fusion.enableServer","Enable Server Fusion","translated"
"fusion.excessFeeRange","Excess fee range","translated"
"fusion.experimentalPending","Experimental — still pending: {items}.","translated"
"fusion.failed","Failed ✗","translated"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","translated"
"fusion.fused","Fused ✓ — txid {txid}","translated"
"fusion.fusing","Fusing…","translated"
"fusion.handshakeOk","Handshake OK ✓","translated"
"fusion.handshaking","Handshaking…","translated"
"fusion.hide","Hide","translated"
"fusion.howWorks","How does it work?","translated"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","translated"
"fusion.more","more","translated"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","translated"
"fusion.now","Fuse Now","translated"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","translated"
"fusion.openWallet","Open a wallet to run a P2P round.","translated"
"fusion.or","or","translated"
"fusion.p2pMode","P2P Fusion","stable-term"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","translated"
"fusion.p2pModeLabel","P2P Fusion","stable-term"
"fusion.poolTiers","Pool tiers","translated"
"fusion.privacy","Privacy","translated"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Your own outputs are verified before signing, so an invalid round fails safely.","translated"
"fusion.queryAuto","Query (Auto)","translated"
"fusion.queryServer","Query Server","translated"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","translated"
"fusion.selected","● selected","translated"
"fusion.serverMode","Fuse Now using CashFusion server","translated"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","translated"
"fusion.serverModeLabel","Server Fusion","translated"
"fusion.serverParameters","Server parameters (live)","translated"
"fusion.servers","Fusion servers","stable-term"
"fusion.step1","1. Pool joining.","translated"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","translated"
"fusion.step2","2. Blind signing.","translated"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","translated"
"fusion.step3","3. Covert submission.","translated"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","translated"
"fusion.step4","4. Broadcast.","translated"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","translated"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","translated"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","translated"
"fusion.tiers","Tiers","translated"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","translated"
"hardware.active","active","translated"
"hardware.advanced","Advanced (derivation path)","translated"
"hardware.airGap","air-gap","translated"
"hardware.beforeConnecting","Before connecting","translated"
"hardware.bip44Path","BIP44 path","translated"
"hardware.comingSoon","Coming soon","translated"
"hardware.connect","Connect {device}","translated"
"hardware.connecting","Connecting…","translated"
"hardware.connectionType","Connection type","translated"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","translated"
"hardware.disconnect","Disconnect","translated"
"hardware.enableKeystone","Enable Keystone (QR mode)","translated"
"hardware.howItWorks","How it works","translated"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","translated"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","translated"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","translated"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","translated"
"hardware.ledgerStep3","The browser will show a device picker prompt","translated"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","translated"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","translated"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","translated"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","translated"
"hardware.onekeyStep3","Unlock your device with your PIN","translated"
"hardware.onekeyStep4","Allow the connection when requested","translated"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","translated"
"hardware.path","Path","translated"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","translated"
"hardware.softwareLabel","Software Wallet","translated"
"hardware.softwareSubtitle","Encrypted keys stored on this device","translated"
"hardware.title","Hardware Wallet","translated"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","translated"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","translated"
"hardware.trezorStep3","Unlock your device with your PIN","translated"
"hardware.trezorStep4","Allow the connection popup when it appears","translated"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","translated"
"history.awaitingConfirmation","Awaiting confirmation","translated"
"history.block","Block","translated"
"history.closeDetails","Close details","translated"
"history.confirmations","{count} confirmations","stable-term"
"history.confirmed","Confirmed","translated"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","translated"
"history.fee","Fee","translated"
"history.first","First","translated"
"history.last","Last","translated"
"history.loadDetailsFailed","Failed to load transaction details.","translated"
"history.loadingDetails","Loading transaction details…","translated"
"history.newestFirst","Newest first","translated"
"history.noActivity","No activity yet","translated"
"history.noData","No data available.","translated"
"history.noTransactions","No transactions available yet.","translated"
"history.oldestFirst","Oldest first","translated"
"history.openExplorer","Open in explorer","translated"
"history.output","Output","translated"
"history.pending","Pending","translated"
"history.perPage","{count} per page","translated"
"history.recipients","Recipients","translated"
"history.recorded","{count} recorded","translated"
"history.senders","Senders","translated"
"history.status","Status","stable-term"
"history.sync","Sync","translated"
"history.timestamp","Timestamp","translated"
"history.title","Transaction History","translated"
"history.transaction","Transaction","stable-term"
"history.transactionHash","Transaction Hash","translated"
"history.unavailable","Unavailable","translated"
"history.unconfirmed","Unconfirmed","translated"
"history.unknown","Unknown","translated"
"history.yourWallet","Your wallet","translated"
"home.block","Block","translated"
"home.confirmed","Confirmed","translated"
"home.latestActivity","Latest wallet activity","translated"
"home.noQrCode","No QR code detected. Try again.","translated"
"home.noRecentActivity","No recent activity yet.","translated"
"home.pending","Pending","translated"
"home.pendingConfirmation","Pending confirmation","translated"
"home.portfolio","Portfolio","translated"
"home.quickActions","Quick Actions","translated"
"home.receive","Receive","translated"
"home.recentActivity","Recent Activity","translated"
"home.scanQr","Scan QR","translated"
"home.send","Send","translated"
"home.sync","Sync","translated"
"home.syncing","Syncing…","translated"
"home.title","Home","translated"
"home.toggleBalance","Toggle BCH and USD balance","translated"
"home.unsupportedQr","QR scanned, but it is not a supported wallet payload.","translated"
"home.usdPriceUnavailable","USD price unavailable","translated"
"home.usdUnavailable","USD unavailable","translated"
"home.viewAll","View all","translated"
"home.walletOverview","Wallet overview","translated"
"nav.actions","Actions","stable-term"
"nav.apps","Apps","translated"
"nav.assets","Assets","translated"
"nav.home","Home","translated"
"nav.settings","Settings","translated"
"network.chipnet","Chipnet","stable-term"
"network.mainnet","Mainnet","stable-term"
"network.switch","Switch network. Current: {network}","translated"
"nftConfig.capability","NFT Capability","translated"
"nftConfig.commitment","NFT Commitment","translated"
"nftConfig.done","Done","translated"
"nftConfig.minting","minting","translated"
"nftConfig.mintingDescription","one NFT authority that can create multiple next NFTs.","translated"
"nftConfig.mutable","mutable","translated"
"nftConfig.mutableDescription","one NFT that may update its commitment when spent.","translated"
"nftConfig.none","none","translated"
"nftConfig.noneDescription","one immutable NFT, best for approvals or receipts.","translated"
"nftConfig.placeholder","Up to 40 bytes","translated"
"nftConfig.title","NFT Configuration","translated"
"nostr.active","{active}/{total} active","translated"
"nostr.add","Add","translated"
"nostr.chat","Nostr chat","translated"
"nostr.checking","Checking…","translated"
"nostr.checkRelayStatus","Check relay status","translated"
"nostr.connected","connected","translated"
"nostr.deriving","Deriving…","translated"
"nostr.disable","Disable","translated"
"nostr.dmDescription","End-to-end encrypted DMs using NIP-17.","translated"
"nostr.enable","Enable","translated"
"nostr.identity","Nostr identity","translated"
"nostr.identityDescription","Derived from your seed via NIP-06 (a separate path) — your spending keys are never reused.","translated"
"nostr.invalidRelay","Enter a secure relay URL beginning with wss://","translated"
"nostr.privacyWarning","Relay operators can still observe connection metadata, timing, and recipient tags. Encrypted content is not the same as network anonymity.","translated"
"nostr.relays","Relays","stable-term"
"nostr.relaysDescription","WSS relays used for chat and the P2P-fusion transport. Add your own or use the defaults.","translated"
"nostr.remove","Remove","translated"
"nostr.unknown","unknown","translated"
"nostr.unreachable","unreachable","translated"
"notifications.dismiss","Dismiss","translated"
"notifications.fundsReceived","Funds received","translated"
"notifications.fundsReceivedBody","{amount} sats to {address} • {txid}","translated"
"notifications.incomingBch","Incoming BCH","translated"
"notifications.incomingToken","Incoming token","translated"
"notifications.transactionConfirmed","Transaction confirmed","translated"
"notifications.unknownAddress","unknown address","translated"
"onboarding.back","Back","translated"
"onboarding.closeHelp","Close help","translated"
"onboarding.confirm","Confirm","translated"
"onboarding.confirmError","Those don't match your seed phrase. Check the words and try again.","translated"
"onboarding.confirmInstruction","Type the requested words to prove you saved them correctly.","translated"
"onboarding.confirmPasswordPlaceholder","Confirm password","translated"
"onboarding.confirmSeed","Confirm Your Seed Phrase","translated"
"onboarding.connectHardware","Connect Hardware Wallet","translated"
"onboarding.continue","Continue","translated"
"onboarding.createNewWallet","Create New Wallet","translated"
"onboarding.createWallet","Create Wallet","translated"
"onboarding.createWatchOnly","Create Watch-Only Wallet","translated"
"onboarding.creating","Creating Wallet…","translated"
"onboarding.creationFailed","Wallet creation failed. Please try again.","translated"
"onboarding.databasePreparationFailed","Could not prepare the wallet on this device.","translated"
"onboarding.generatedMnemonic","Generated Mnemonic:","translated"
"onboarding.generatingSeed","Generating seed phrase…","translated"
"onboarding.helpCreateDescription","Use this if you want a new wallet with a fresh seed phrase on this device.","translated"
"onboarding.helpCreateTitle","Create Wallet","translated"
"onboarding.helpDescription","Create a wallet for the first time or restore one you already have.","translated"
"onboarding.helpImportDescription","Use this if you already have a 12-word recovery phrase and want access to an existing wallet.","translated"
"onboarding.helpImportTitle","Import Wallet","translated"
"onboarding.helpNetworkDescription","Select Mainnet for real funds or CHIPNET for test funds before you proceed.","translated"
"onboarding.helpNetworkTitle","Choose a network","translated"
"onboarding.helpTitle","Getting started","translated"
"onboarding.importFailed","Wallet import failed. Please try again.","translated"
"onboarding.importing","Importing Wallet…","translated"
"onboarding.importWallet","Import Wallet","translated"
"onboarding.invalidMnemonic","Enter a valid English BIP39 recovery phrase with 12, 15, 18, 21, or 24 words.","translated"
"onboarding.missingWord","Word {number} is missing.","translated"
"onboarding.mnemonicLoading","The recovery phrase is still loading. Please wait a moment.","translated"
"onboarding.mnemonicWarning","Your recovery phrase is the master key to your wallet. Store it securely and never share it.","translated"
"onboarding.nameRequired","Give this wallet a name.","translated"
"onboarding.nameWallet","Name This Wallet","translated"
"onboarding.nameWalletDescription","Give this wallet a name and a password. Each wallet on this device has its own independent password.","translated"
"onboarding.passwordMismatch","Passwords do not match.","translated"
"onboarding.passwordPlaceholder","Password (or leave blank)","translated"
"onboarding.poweredBy","Powered with Bitcoin Covenants for Bitcoin Cash","translated"
"onboarding.recoveryDescription","Enter your BIP39 recovery phrase (12, 15, 18, 21, or 24 words). Each box corresponds to the word order.","translated"
"onboarding.recoveryPhrase","Recovery Phrase","translated"
"onboarding.seedInstruction","Write these 12 words down in order and keep them somewhere safe. Anyone with this phrase can spend your funds — never share it or store it digitally.","translated"
"onboarding.seedTitle","Your Seed Phrase","translated"
"onboarding.toggleTheme","Toggle theme","translated"
"onboarding.walletAlreadyAvailable","This wallet is already available on this device.","translated"
"onboarding.walletAlreadyExists","This wallet may already exist on this device.","translated"
"onboarding.walletNamePlaceholder","Wallet name","translated"
"onboarding.walletSavedIdFailed","Wallet was saved, but its wallet ID could not be resolved.","translated"
"onboarding.walletSetup","Wallet Setup","translated"
"onboarding.walletSetupDescription","Choose the network and address path this wallet will use.","translated"
"onboarding.welcomeAlt","Smart BCH Wallet","stable-term"
"onboarding.word","Word","translated"
"onboarding.wordCountLabel","Phrase length","translated"
"onboarding.wordPlaceholder","word","translated"
"onboarding.words","words","translated"
"onboarding.wroteItDown","I've written it down","translated"
"outbox.amount","Amount","translated"
"outbox.clearPending","Clear pending lock","translated"
"outbox.clearPendingTitle","Clear this pending lock if the transaction was not actually sent","translated"
"outbox.copyTxid","Copy txid","translated"
"outbox.daysAgo","{count}d ago","translated"
"outbox.description","Offline-first protection keeps new sends paused until these transactions are seen or safely released.","translated"
"outbox.destination","Destination","stable-term"
"outbox.dismiss","Dismiss","translated"
"outbox.dismissPending","Dismiss pending transactions popup","translated"
"outbox.finalizing","Finalizing transaction","translated"
"outbox.finalizingMultiple","Finalizing {count} transactions","translated"
"outbox.historyUpdate","Your wallet history will update automatically. This usually takes a moment.","translated"
"outbox.hoursAgo","{count}h ago","translated"
"outbox.justNow","just now","translated"
"outbox.lastNetworkIssue","Last network issue","translated"
"outbox.minutesAgo","{count}m ago","translated"
"outbox.noPending","No pending outgoing transactions.","translated"
"outbox.pendingOutgoing","Pending outgoing transactions","translated"
"outbox.prompt","Prompt","translated"
"outbox.releaseSendLock","Release send lock","translated"
"outbox.releaseStale","Release if stale","translated"
"outbox.releaseStaleTitle","Available after {minutes} minutes if the transaction is still unresolved","translated"
"outbox.requestedBy","Requested by","translated"
"outbox.title","Outbox","translated"
"outbox.txid","Txid","stable-term"
"outbox.updated","Updated {age}","translated"
"outbox.walletSend","Wallet send","translated"
"p2p.description","No server: peers meet on Nostr relays over Tor, deterministically elect a coordinator, and run the CoinJoin peer-to-peer. Outputs are unlinkable; you sign only your own inputs after verifying your own outputs.","translated"
"p2p.phase.announce","Announcing & finding peers","translated"
"p2p.phase.assemble","Assembling & verifying","translated"
"p2p.phase.broadcast","Broadcasting","translated"
"p2p.phase.register","Registering inputs & outputs","translated"
"p2p.phase.sign","Signing","translated"
"p2p.requiresPeers","Requires Tor + at least 2 peers in the same tier.","translated"
"p2p.running","Running P2P round…","translated"
"p2p.start","Start P2P round","translated"
"p2p.title","P2P Fusion over Nostr","translated"
"paper.addressConversionError","Address conversion error","translated"
"paper.addressDerivationFailed","Unable to derive a valid paper wallet address from the scanned key.","translated"
"paper.back","Back","translated"
"paper.bchOutputs","BCH outputs","translated"
"paper.buildFailed","Failed to build sweep transaction.","translated"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","translated"
"paper.confirmTitle","Confirm sweep","translated"
"paper.decodingError","Decoding error","translated"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","translated"
"paper.label","Paper wallet","translated"
"paper.noCashTokens","No CashTokens detected.","translated"
"paper.noDestination","No destination wallet address is available.","translated"
"paper.noQrCode","No QR code detected. Please try again.","translated"
"paper.notScanned","No paper wallet scanned yet.","translated"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","translated"
"paper.oneTransaction","One transaction only.","translated"
"paper.paperInputs","Paper wallet inputs","translated"
"paper.scan","Scan","translated"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","translated"
"paper.spendableOutputPlural","spendable outputs","translated"
"paper.spendableOutputSingular","spendable output","translated"
"paper.sweep","Sweep","translated"
"paper.sweepBroadcast","Sweep broadcast","translated"
"paper.title","Paper Wallet","translated"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","translated"
"paper.tokenGroups","Token groups","translated"
"paper.tokenOutputs","Token outputs","translated"
"paper.unexpected","An unexpected error occurred.","translated"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","translated"
"paper.utxosTitle","Paper wallet UTXOs","translated"
"paper.walletFeeInputs","Wallet fee inputs","translated"
"priceFeed.loading","Loading…","translated"
"qr.animatedTransfer","Animated QR transfer","translated"
"qr.blocksRecovered","blocks recovered","translated"
"qr.cameraActive","Camera active — point at animated QR","translated"
"qr.cameraError","Camera unavailable","translated"
"qr.cameraUnavailable","Camera access is unavailable","translated"
"qr.cancel","Cancel","translated"
"qr.duplicates","duplicates","translated"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","translated"
"qr.receivingStream","Receiving QR stream","translated"
"qr.scan","Scan QR","translated"
"qr.scanning","Scanning…","translated"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","translated"
"qr.unableToDecode","Unable to decode QR stream","translated"
"qr.uniqueFrames","unique frames","translated"
"qr.walletUpdateProgress","Wallet update progress","translated"
"qrSigning.approvedBy","Approved by {name}","translated"
"qrSigning.approveDemo","Approve demo request","translated"
"qrSigning.approveReturn","2. Approve and return","translated"
"qrSigning.close","Close","translated"
"qrSigning.collectResponse","2. Collect response","translated"
"qrSigning.fingerprint","Fingerprint","translated"
"qrSigning.invalidRequest","Invalid signing request","translated"
"qrSigning.invalidResponse","Invalid signing response","translated"
"qrSigning.mismatch","Signing response does not match this request","translated"
"qrSigning.network","Network","translated"
"qrSigning.payload","Payload","translated"
"qrSigning.placeholderWarning","This demo returns a placeholder signature and never broadcasts.","translated"
"qrSigning.prepareFailed","Unable to prepare mocknet fixture","translated"
"qrSigning.preparing","Preparing mocknet fixture…","translated"
"qrSigning.purpose","Purpose","translated"
"qrSigning.rejectedBy","Rejected by {name}","translated"
"qrSigning.requestReceived","Request received","translated"
"qrSigning.requestSignature","Request signature","translated"
"qrSigning.scanAnother","Scan another request","translated"
"qrSigning.scanApproval","Scan approval response","translated"
"qrSigning.scanRequest","1. Scan request","translated"
"qrSigning.showRequest","1. Show request","translated"
"qrSigning.showRequestHelp","On the other wallet, choose “Sign request” and scan this stream.","translated"
"qrSigning.signRequest","Sign request","translated"
"qrSigning.subtitle","Exchange a partially signed transaction between two OPTN wallet screens.","translated"
"qrSigning.title","QR signing demo","translated"
"quantumroot.activeNetwork","Quantumroot is active on this network. Use the vault workspace below to manage a normal spend lane and a quantum-safe recovery lane.","translated"
"quantumroot.activeWorkspace","Active workspace for the beta-production Quantumroot flow.","translated"
"quantumroot.back","Back","translated"
"quantumroot.betaProduction","Beta production","translated"
"quantumroot.betaTitle","Quantumroot Beta Production","translated"
"quantumroot.checkingBalances","Checking balances…","translated"
"quantumroot.close","Close","translated"
"quantumroot.funded","{count} funded","translated"
"quantumroot.fundedStatus","Funded","translated"
"quantumroot.guidedNow","Guided now: choose one approval key, lock it in Quantum Lock, then spend the matching coin.","translated"
"quantumroot.liveNow","Live now: normal spending, balance tracking, and Quantum Lock BCH recovery.","translated"
"quantumroot.livePreview","Live preview","translated"
"quantumroot.mainnetAhead","Quantumroot is visible on mainnet ahead of activation. The layout stays available, but key actions remain disabled until {date}.","translated"
"quantumroot.mainnetPreview","Mainnet preview stays visible before activation.","translated"
"quantumroot.noFundsYet","No funds yet","translated"
"quantumroot.noVaults","No Quantumroot vaults derived yet. Sync vaults to provision them for existing wallet address indexes.","translated"
"quantumroot.openVaults","Open Vaults","translated"
"quantumroot.popup.action.chooseCoinLabel","Choose coin to spend","translated"
"quantumroot.popup.action.chooseDescription","Choose one approval key for this vault.","translated"
"quantumroot.popup.action.chooseLabel","Choose approval key","translated"
"quantumroot.popup.action.chooseTitle","Choose an approval key","translated"
"quantumroot.popup.action.createDescription","Create or receive a plain NFT first, then use it as the approval key.","translated"
"quantumroot.popup.action.createTitle","Create an approval key","translated"
"quantumroot.popup.action.destinationDescription","Choose where the coin should go, then open the spend list.","translated"
"quantumroot.popup.action.destinationLabel","Set destination","translated"
"quantumroot.popup.action.destinationTitle","Choose a destination","translated"
"quantumroot.popup.action.disabledDescription","The spend list is ready, but spending is disabled on this network.","translated"
"quantumroot.popup.action.readyDescription","Tap a ready coin to spend it.","translated"
"quantumroot.popup.action.readyTitle","Ready to spend","translated"
"quantumroot.popup.action.receiveDescription","Send the matching receive coin to the normal lane.","translated"
"quantumroot.popup.action.receiveLabel","Add receive coin","translated"
"quantumroot.popup.action.receiveTitle","Add the matching receive coin","translated"
"quantumroot.popup.action.refreshDescription","Refresh the wallet scan or choose another approval key.","translated"
"quantumroot.popup.action.refreshLabel","Refresh vault","translated"
"quantumroot.popup.action.refreshTitle","Refresh the vault","translated"
"quantumroot.popup.action.reviewLabel","Review spend","translated"
"quantumroot.popup.action.sendDescription","Send the approval key to Quantum Lock.","translated"
"quantumroot.popup.action.sendLabel","Send approval key","translated"
"quantumroot.popup.action.sendTitle","Send the approval key","translated"
"quantumroot.popup.addDestinationReview","Add a destination, then review spend.","translated"
"quantumroot.popup.addMatchingCoin","Add the matching coin to unlock spend.","translated"
"quantumroot.popup.advanced","Advanced","translated"
"quantumroot.popup.advancedRecovery","Advanced recovery","translated"
"quantumroot.popup.advancedRecoveryDescription","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","translated"
"quantumroot.popup.approvalKey","Approval key","translated"
"quantumroot.popup.approvalKeyCapability","Approval key","translated"
"quantumroot.popup.approvalKeyChanged","Approval key changed on chain","translated"
"quantumroot.popup.approvalKeyInLock","Approval key is in Quantum Lock.","translated"
"quantumroot.popup.approvalKeyInQuantumLock","Your approval key is in Quantum Lock.","translated"
"quantumroot.popup.approvalKeyPicked","Approval key picked.","translated"
"quantumroot.popup.approvalKeySelected","Approval key selected","translated"
"quantumroot.popup.approvalLane","Approval lane","translated"
"quantumroot.popup.approvalLaneDescription","Your approval key goes to Quantum Lock.","translated"
"quantumroot.popup.available","{count} available","translated"
"quantumroot.popup.availableApprovalKeys","Available approval keys","translated"
"quantumroot.popup.bchRecoveryDescription","BCH recovery sends back to the matching standard wallet address for this vault index when available.","translated"
"quantumroot.popup.bchRecoveryDisabled","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","translated"
"quantumroot.popup.block.approvalPending","Send one approval key to Quantum Lock.","translated"
"quantumroot.popup.block.inactiveNetwork","Quantumroot spending is disabled on this network.","translated"
"quantumroot.popup.block.noDestination","Choose a destination address before spending.","translated"
"quantumroot.popup.block.noFamily","Create or receive a plain NFT first. It becomes your approval key.","translated"
"quantumroot.popup.block.pickFamily","Choose one plain NFT to use as the approval key.","translated"
"quantumroot.popup.block.receivePending","Send the matching receive coin to the normal lane.","translated"
"quantumroot.popup.block.staleInventory","Your selected approval key is not visible right now. Refresh the vault or choose another key.","translated"
"quantumroot.popup.broadcastWarning","This will broadcast after confirmation.","translated"
"quantumroot.popup.category","Category:","translated"
"quantumroot.popup.chooseApprovalKey","Choose approval key","translated"
"quantumroot.popup.chooseApprovalKeyDescription","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","translated"
"quantumroot.popup.chooseOneApproval","Choose one approval key to continue.","translated"
"quantumroot.popup.commitment","Commitment:","translated"
"quantumroot.popup.completeSteps","Complete the approval key and matching receive coin steps before spending.","translated"
"quantumroot.popup.confirmed","Confirmed","translated"
"quantumroot.popup.copyDestination","Copy destination","translated"
"quantumroot.popup.copyOrScanFund","Copy or scan to fund this vault.","translated"
"quantumroot.popup.copyQuantumLock","Copy Quantum Lock","translated"
"quantumroot.popup.copyReceiveAddress","Copy receive address","translated"
"quantumroot.popup.copyRecoveryAddress","Copy recovery address","translated"
"quantumroot.popup.createOrReceive","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","translated"
"quantumroot.popup.destination","Destination","translated"
"quantumroot.popup.destinationAddress","Destination address","translated"
"quantumroot.popup.done","Done","translated"
"quantumroot.popup.empty","empty","translated"
"quantumroot.popup.found","{count} found","translated"
"quantumroot.popup.fundMatchingReceive","Fund matching receive coin","translated"
"quantumroot.popup.fundMatchingReceiveDescription","Open the send screen prefilled to the vault receive address with the same approval key.","translated"
