"key","English (en)","Vietnamese (vi)","Status"
"contractView.deleteFailedFallback","Failed to delete contract.","Không thể xóa hợp đồng.","translated"
"contractView.enterMessage","Enter message for {name}","Nhập thông điệp cho {name}","translated"
"contractView.enterType","Enter a value matching type: {type}.","Nhập giá trị phù hợp với kiểu: {type}.","translated"
"contractView.error","Error","Lỗi","translated"
"contractView.errorPrefix","Error: {message}","Lỗi: {message}","translated"
"contractView.fillInputs","2. Fill constructor inputs","2. Điền đầu vào hàm tạo","translated"
"contractView.fillRequired","Fill in each required value before creating the contract.","Điền mọi giá trị bắt buộc trước khi tạo hợp đồng.","translated"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","Hash 20 byte (hex) của địa chỉ/khóa công khai. Dùng “Chọn địa chỉ”.","translated"
"contractView.howWorks","How this works","Cách hoạt động","translated"
"contractView.instantiated","Instantiated Contracts","Hợp đồng đã khởi tạo","translated"
"contractView.loadContractsFailed","Failed to load available contracts.","Không thể tải các hợp đồng có sẵn.","translated"
"contractView.loadDetailsFailed","Failed to load contract details.","Không thể tải thông tin chi tiết hợp đồng.","translated"
"contractView.loadInstancesFailed","Failed to load contract instances.","Không thể tải các thực thể hợp đồng.","translated"
"contractView.noInputs","This contract template has no constructor inputs.","Mẫu hợp đồng này không có đầu vào hàm tạo.","translated"
"contractView.noInstances","No contract instances yet.","Chưa có thực thể hợp đồng nào.","translated"
"contractView.noQr","No QR code detected. Please try again.","Không phát hiện mã QR. Hãy thử lại.","translated"
"contractView.pickTemplate","1. Pick a template","1. Chọn mẫu","translated"
"contractView.privateKeyUnavailable","Private key unavailable for this address.","Khóa riêng không khả dụng cho địa chỉ này.","translated"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","Khóa công khai dạng hex. Dùng “Chọn địa chỉ” để tự động điền.","translated"
"contractView.scanQr","Scan QR Code for {name}","Quét mã QR cho {name}","translated"
"contractView.selectAddress","Select Address","Chọn địa chỉ","translated"
"contractView.selectContract","Select a contract","Chọn hợp đồng","translated"
"contractView.selectData","Please select an address and enter data to sign.","Hãy chọn địa chỉ và nhập dữ liệu cần ký.","translated"
"contractView.selected","Selected {type}","Đã chọn {type}","translated"
"contractView.signature","Signature","Chữ ký","stable-term"
"contractView.signatureFailed","Failed to generate signature.","Không thể tạo chữ ký.","translated"
"contractView.signatureGenerated","Signature generated successfully!","Đã tạo chữ ký thành công!","translated"
"contractView.signingAddress","Signing address","Địa chỉ ký","translated"
"contractView.signMessage","Sign Message","Ký thông điệp","translated"
"contractView.title","Contracts","Hợp đồng","translated"
"contractView.tokenAddress","Token address","Địa chỉ token","translated"
"contractView.unavailable","Unavailable","Không khả dụng","translated"
"contractView.unknownError","Unknown error","Lỗi không xác định","translated"
"contractView.update","Update","Cập nhật","translated"
"contractView.updated","Contract updated successfully!","Đã cập nhật hợp đồng thành công!","translated"
"contractView.updateFailed","Failed to update contract.","Không thể cập nhật hợp đồng.","translated"
"contractView.updateFailedFallback","Failed to update contract.","Không thể cập nhật hợp đồng.","translated"
"derivation.accountIndex","Account index","Chỉ mục tài khoản","translated"
"derivation.addressDerivation","Address derivation","Dẫn xuất địa chỉ","translated"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","Đường dẫn tài khoản BIP44 dùng để dẫn xuất ví này.","translated"
"derivation.bip44AccountIndex","BIP44 account index","Chỉ mục tài khoản BIP44","translated"
"derivation.bip44CoinType","BIP44 coin type","Loại coin BIP44","translated"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","Dấu hardened là cố định. Địa chỉ nhận và tiền thừa được dẫn xuất tự động từ nhánh /0/index và /1/index.","translated"
"derivation.coinType","Coin type","Loại coin","translated"
"derivation.customize","Customize","Tùy chỉnh","translated"
"derivation.invalidActive","The active derivation path is invalid.","Đường dẫn dẫn xuất đang hoạt động không hợp lệ.","translated"
"derivation.invalidValues","Invalid BIP44 path values.","Giá trị đường dẫn BIP44 không hợp lệ.","translated"
"derivation.networkDefault","Network default: {value}","Mặc định mạng: {value}","translated"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","Đường dẫn tài khoản BIP44 cố định mà ví này sử dụng.","translated"
"derivation.pathPreview","Path preview","Xem trước đường dẫn","translated"
"derivation.range","Enter whole numbers from 0 to {max}.","Nhập số nguyên từ 0 đến {max}.","translated"
"derivation.required","{field} is required.","{field} là bắt buộc.","translated"
"derivation.usuallyZero","Usually 0","Thường là 0","translated"
"derivation.walletNetwork","Wallet network","Mạng ví","translated"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","Chọn ví kết nối với tiền thật trên Mainnet hay tiền thử nghiệm trên Chipnet.","translated"
"desktopMenu.about","About OPTN Wallet","Giới thiệu OPTN Wallet","translated"
"desktopMenu.cannotExport","This wallet cannot be exported.","Không thể xuất ví này.","translated"
"desktopMenu.exported","Wallet exported.","Đã xuất ví.","translated"
"desktopMenu.exportFailed","Could not export the wallet.","Không thể xuất ví.","translated"
"desktopMenu.exportWallet","Export Wallet…","Xuất ví…","translated"
"desktopMenu.file","File","Tệp","translated"
"desktopMenu.help","Help","Trợ giúp","translated"
"desktopMenu.history","Transaction History","Lịch sử giao dịch","translated"
"desktopMenu.importNewWallet","Import New Wallet","Nhập ví mới","translated"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","Đây không phải là tệp ví OPTN hợp lệ.","translated"
"desktopMenu.lockWallet","Lock Wallet","Khóa ví","translated"
"desktopMenu.noSavedWallets","No saved wallets","Không có ví đã lưu","translated"
"desktopMenu.openWallet","Open Wallet","Mở ví","translated"
"desktopMenu.openWalletFile","Open Wallet File…","Mở tệp ví…","translated"
"desktopMenu.quit","Quit","Thoát","translated"
"desktopMenu.receive","Receive","Nhận","translated"
"desktopMenu.refreshWallet","Refresh Wallet","Làm mới ví","translated"
"desktopMenu.send","Send","Gửi","translated"
"desktopMenu.settings","Settings","Cài đặt","translated"
"desktopMenu.toggleTheme","Toggle Theme","Đổi giao diện","translated"
"desktopMenu.view","View","Xem","translated"
"desktopMenu.wallet","Wallet","Ví","translated"
"desktopSecurity.authenticating","Authenticating…","Đang xác thực…","translated"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","Mở khóa sinh trắc học thất bại. Hãy dùng mật khẩu.","translated"
"desktopSecurity.confirmPassword","Confirm password","Xác nhận mật khẩu","translated"
"desktopSecurity.continue","Continue","Tiếp tục","translated"
"desktopSecurity.enterPassword","Enter your password to unlock.","Nhập mật khẩu để mở khóa.","translated"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","Quên mật khẩu? Xóa ví rồi nhập lại cụm từ khôi phục.","translated"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","Mật khẩu không đúng. Hãy thử lại.","translated"
"desktopSecurity.loading","Loading wallet…","Đang tải ví…","translated"
"desktopSecurity.mismatch","Passphrases do not match.","Mật khẩu không khớp.","translated"
"desktopSecurity.password","Password","Mật khẩu","translated"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","Mật khẩu không bao giờ được lưu — khóa mã hóa được dẫn xuất cục bộ.","translated"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","Mật khẩu (hoặc để trống)","translated"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","Lưu mật khẩu thất bại. Hãy thử lại.","translated"
"desktopSecurity.secureWallet","Secure your wallet","Bảo vệ ví của bạn","translated"
"desktopSecurity.securing","Securing…","Đang bảo vệ…","translated"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","Đặt mật khẩu để mã hóa ví. Bạn sẽ cần mật khẩu mỗi lần mở ứng dụng. Để trống nếu chỉ muốn dùng bảo vệ tài khoản hệ điều hành.","translated"
"desktopSecurity.unlock","Unlock","Mở khóa","translated"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","Mở khóa thất bại. Hãy thử lại.","translated"
"desktopSecurity.unlocking","Unlocking…","Đang mở khóa…","translated"
"desktopSecurity.useBiometric","Use {label}","Dùng {label}","translated"
"desktopSecurity.walletLocked","Wallet locked","Ví đã khóa","translated"
"desktopWallet.addAnother","Add another wallet","Thêm ví khác","translated"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","Ví này đã mở trong cửa sổ khác.","translated"
"desktopWallet.backToWallets","Back to wallets","Quay lại ví","translated"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","Mở khóa sinh trắc học thất bại: {message}","translated"
"desktopWallet.biometricUnlock","Biometric unlock","Mở khóa sinh trắc học","translated"
"desktopWallet.cancel","Cancel","Hủy","translated"
"desktopWallet.delete","Delete","Xóa","translated"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","Xóa “{name}” ({network}, #{id})? Tệp .optn đã lưu vẫn được giữ để bạn có thể nhập lại.","translated"
"desktopWallet.deleteLabel","Delete {name}","Xóa {name}","translated"
"desktopWallet.deleting","Deleting…","Đang xóa…","translated"
"desktopWallet.device","Device","Thiết bị","translated"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","Nhập mật khẩu của tệp ví này.","translated"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","Thiết bị sẽ tự động ký lượt gửi từ ví phần mềm khi được kết nối. Ví chỉ phần cứng có địa chỉ nhận riêng chưa được hỗ trợ.","translated"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","Kết nối ví phần cứng","translated"
"desktopWallet.importFailed","Could not import this wallet file.","Không thể nhập tệp ví này.","translated"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","Mật khẩu cho tệp ví này không đúng.","translated"
"desktopWallet.open","Open","Mở","translated"
"desktopWallet.openButton","Open","Mở","translated"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","Không thể mở ví này. Hãy thử lại.","translated"
"desktopWallet.openFile","Open “{name}”","Mở “{name}”","translated"
"desktopWallet.opening","Opening…","Đang mở…","translated"
"desktopWallet.password","Password","Mật khẩu","translated"
"desktopWallet.unlock","Unlock","Mở khóa","translated"
"desktopWallet.unlocking","Unlocking…","Đang mở khóa…","translated"
"desktopWallet.useBiometric","Use {label}","Dùng {label}","translated"
"desktopWallet.walletNumber","Wallet #{id}","Ví #{id}","stable-term"
"desktopWallet.yourWallets","Your wallets","Ví của bạn","translated"
"error.somethingWrong","Something went wrong.","Đã xảy ra lỗi.","translated"
"experimental.cashFusionDescription","CashFusion is a non-custodial privacy protocol that combines your UTXOs with those of other users in a way that breaks transaction history linkage. Connect to a CashFusion server to participate. Your funds are never at risk — the protocol is trustless.","CashFusion là giao thức riêng tư không lưu ký, kết hợp UTXO của bạn với người khác để phá liên kết lịch sử giao dịch. Kết nối máy chủ CashFusion để tham gia. Tiền của bạn không gặp rủi ro — giao thức không cần tin cậy.","translated"
"experimental.cashFusionWarning","Requires an active CashFusion server connection. Coming soon — toggle currently reserved.","Cần kết nối máy chủ CashFusion đang hoạt động. Sắp có — nút chuyển hiện được dành sẵn.","translated"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","Các tính năng này đang được phát triển. Bật để thử khả năng mới — chúng có thể thay đổi hoặc chưa hoàn chỉnh trong bản cập nhật sau.","translated"
"experimental.disable","Disable","Tắt","translated"
"experimental.enable","Enable","Bật","translated"
"experimental.features","Experimental Features","Tính năng thử nghiệm","translated"
"experimental.privacy","Privacy","Riêng tư","translated"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","Vault Quantumroot bảo vệ tiền bằng sơ đồ Schnorr LM-OTS chống lượng tử. Mặc định bật. Tắt để ẩn Quantumroot nếu bạn không dùng.","translated"
"experimental.quantumSafe","Quantum-safe","An toàn trước lượng tử","translated"
"experimental.rpaBadge","BCH RPA","BCH RPA","stable-term"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","Tạo Paycode tĩnh (paycode:q...) để chia sẻ công khai. Người gửi dẫn xuất địa chỉ dùng một lần cho mỗi khoản thanh toán qua ECDH — không có giao dịch thông báo và không làm phình chuỗi. Tiền ẩn nhận được hiển thị riêng là “BCH ẩn”. Quét cần máy chủ hỗ trợ Fulcrum-RPA.","translated"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","Địa chỉ thanh toán tái sử dụng (RPA)","translated"
"experimental.rpaWarning","Sending to paycodes requires signature grinding (not yet implemented). Receiving and scanning are available.","Gửi tới Paycode cần signature grinding (chưa triển khai). Có thể nhận và quét.","translated"
"faucet.captcha","Answer the captcha question","Trả lời câu hỏi captcha","translated"
"faucet.clickLink","Click the Chipnet Faucet link","Nhấp liên kết Faucet Chipnet","translated"
"faucet.copyAddress","Copy a BCH Chipnet address","Sao chép địa chỉ BCH Chipnet","translated"
"faucet.getCoins","Press ""Get Coins""","Nhấn “Get Coins”","translated"
"faucet.instructions","Instructions","Hướng dẫn","stable-term"
"faucet.name","Chipnet Faucet","Faucet Chipnet","stable-term"
"faucet.pasteAddress","Paste your address","Dán địa chỉ của bạn","translated"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","Chọn “chipnet” trong ô NETWORK","translated"
"faucet.tooltip","Get Chipnet BCH","Nhận BCH Chipnet","translated"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","Thêm máy chủ — host:cổng (ví dụ fusion.example.com:8789)","translated"
"fusion.autoTry","Auto — try each until one responds","Tự động — thử từng máy chủ đến khi có phản hồi","translated"
"fusion.busy","A fusion round is already running for this wallet.","Ví này đã có một vòng Fusion đang chạy.","translated"
"fusion.choose","Choose how to fuse:","Chọn cách hợp nhất:","translated"
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Some wallet-hardening items are still pending, but each round verifies your own outputs before signing, so it fails safely.","Cả đường máy chủ và Fusion P2P đều chạy CoinJoin thật trên mọi mạng. Một số mục tăng cường ví vẫn đang chờ, nhưng mỗi vòng xác minh đầu ra của bạn trước khi ký nên sẽ thất bại an toàn.","translated"
"fusion.coinjoinBoth","Both run a real CoinJoin.","Cả hai đều chạy CoinJoin thật.","translated"
"fusion.componentFeeRate","Component fee rate","Mức phí thành phần","translated"
"fusion.componentsPlayer","Components / player","Thành phần / người chơi","translated"
"fusion.connectingTor","Connecting via Tor{port}.","Đang kết nối qua Tor{port}.","translated"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","Đang chờ thời gian nghỉ của hợp nhất tự động.","translated"
"fusion.disable","Disable","Tắt","translated"
"fusion.donation","Donation","Đóng góp","translated"
"fusion.enable","Enable","Bật","translated"
"fusion.enabled","CashFusion Enabled","Đã bật CashFusion","translated"
"fusion.enableP2p","Enable P2P Fusion","Bật Fusion P2P","translated"
"fusion.enableServer","Enable Server Fusion","Bật Fusion qua máy chủ","translated"
"fusion.excessFeeRange","Excess fee range","Phạm vi phí dư","translated"
"fusion.experimentalPending","Experimental — still pending: {items}.","Thử nghiệm — vẫn đang chờ: {items}.","translated"
"fusion.failed","Failed ✗","Thất bại ✗","translated"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","CashFusion cố ý có ít máy chủ công khai — một tập ẩn danh lớn hơn trên ít máy chủ tốt hơn việc dàn trải quá mỏng. Hãy thêm máy chủ của bạn hoặc máy chủ cộng đồng ở trên.","translated"
"fusion.fused","Fused ✓ — txid {txid}","Đã hợp nhất ✓ — txid {txid}","translated"
"fusion.fusing","Fusing…","Đang hợp nhất…","translated"
"fusion.handshakeOk","Handshake OK ✓","Bắt tay OK ✓","translated"
"fusion.handshaking","Handshaking…","Đang bắt tay…","translated"
"fusion.hide","Hide","Ẩn","translated"
"fusion.howWorks","How does it work?","Hoạt động như thế nào?","translated"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","CashFusion cần kết nối TCP thô mà trình duyệt mobile/web không thể mở. Có sẵn trong ứng dụng desktop.","translated"
"fusion.more","more","thêm","translated"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","Hiện không có coin đủ điều kiện để hợp nhất.","translated"
"fusion.now","Fuse Now","Hợp nhất ngay","translated"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","CoinJoin qua máy chủ đã cấu hình trong mục Máy chủ. Cần Tor và ít nhất 2 người chơi cùng nhóm.","translated"
"fusion.openWallet","Open a wallet to run a P2P round.","Mở ví để chạy vòng P2P.","translated"
"fusion.or","or","hoặc","translated"
"fusion.p2pMode","P2P Fusion","Fusion P2P","stable-term"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","Không máy chủ — peer qua Nostr + Tor. Tự động hợp nhất khi bật. Bật mục này sẽ tắt Fusion qua máy chủ.","translated"
"fusion.p2pModeLabel","P2P Fusion","Fusion P2P","stable-term"
"fusion.poolTiers","Pool tiers","Nhóm pool","translated"
"fusion.privacy","Privacy","Riêng tư","translated"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Experimental wallet-hardening items are still pending, but your own outputs are verified before signing, so an invalid round fails safely.","Các bước 1–4 chạy trọn vẹn trên đường máy chủ: ví tham gia pool, trao đổi chữ ký mù, gửi qua Tor và phát CoinJoin đã lắp ráp. Fusion P2P chạy cùng vòng mà không cần máy chủ qua Nostr và Tor. Một số mục tăng cường ví thử nghiệm vẫn đang chờ, nhưng đầu ra của bạn được xác minh trước khi ký nên vòng không hợp lệ sẽ thất bại an toàn.","translated"
"fusion.queryAuto","Query (Auto)","Truy vấn (tự động)","translated"
"fusion.queryServer","Query Server","Truy vấn máy chủ","translated"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","Đây là máy chủ từ xa nên cần Tor — nhưng không tìm thấy proxy Tor. Khởi động Tor ở trên hoặc truy vấn sẽ bị từ chối.","translated"
"fusion.selected","● selected","● đã chọn","translated"
"fusion.serverMode","Fuse Now using CashFusion server","Hợp nhất ngay bằng máy chủ CashFusion","translated"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","Hợp nhất qua máy chủ CashFusion. Tự động hợp nhất khi bật.","translated"
"fusion.serverModeLabel","Server Fusion","Fusion qua máy chủ","translated"
"fusion.serverParameters","Server parameters (live)","Tham số máy chủ (trực tiếp)","translated"
"fusion.servers","Fusion servers","Máy chủ Fusion","stable-term"
"fusion.step1","1. Pool joining.","1. Tham gia pool.","translated"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","Ví thông báo cho máy chủ các UTXO muốn hợp nhất.","translated"
"fusion.step2","2. Blind signing.","2. Ký mù.","translated"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","Người tham gia tạo địa chỉ đầu ra mù và trao đổi chữ ký mù — không ai biết ánh xạ đầu vào–đầu ra.","translated"
"fusion.step3","3. Covert submission.","3. Gửi kín.","translated"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","Mỗi người tham gia gửi giao dịch qua Tor hoặc kết nối trực tiếp. Máy chủ lắp ráp giao dịch cuối.","translated"
"fusion.step4","4. Broadcast.","4. Phát giao dịch.","translated"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","Tất cả người tham gia phát giao dịch được xây dựng chung.","translated"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","CashFusion kết hợp UTXO từ nhiều người tham gia thành một giao dịch, phá liên kết lịch sử blockchain giữa đầu vào và đầu ra. Đây là giao thức không lưu ký — tiền luôn nằm trong quyền kiểm soát của bạn.","translated"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","Đang đồng bộ coin của ví — hãy thử lại sau giây lát.","translated"
"fusion.tiers","Tiers","Nhóm","translated"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","Tor đang tắt. Truy vấn Fusion từ xa sẽ bị từ chối — bật Tor ở trên hoặc dùng máy chủ localhost.","translated"
"hardware.active","active","đang hoạt động","translated"
"hardware.advanced","Advanced (derivation path)","Nâng cao (đường dẫn dẫn xuất)","translated"
"hardware.airGap","air-gap","cách ly","translated"
"hardware.beforeConnecting","Before connecting","Trước khi kết nối","translated"
"hardware.bip44Path","BIP44 path","Đường dẫn BIP44","translated"
"hardware.comingSoon","Coming soon","Sắp có","translated"
"hardware.connect","Connect {device}","Kết nối {device}","translated"
"hardware.connecting","Connecting…","Đang kết nối…","translated"
"hardware.connectionType","Connection type","Loại kết nối","translated"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","Thiết bị giữ khóa riêng của bạn. Khóa không bao giờ rời phần cứng.","translated"
"hardware.disconnect","Disconnect","Ngắt kết nối","translated"
"hardware.enableKeystone","Enable Keystone (QR mode)","Bật Keystone (chế độ QR)","translated"
"hardware.howItWorks","How it works","Cách hoạt động","translated"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","Ký QR cách ly của Keystone chưa sẵn sàng cho tiền thật.","translated"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","Ký QR cách ly — chưa được hỗ trợ","translated"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","USB: cắm → nhập PIN → mở ứng dụng Bitcoin Cash","translated"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","Bluetooth (Nano X): bật BLE → mở ứng dụng Bitcoin Cash","translated"
"hardware.ledgerStep3","The browser will show a device picker prompt","Trình duyệt sẽ hiển thị hộp chọn thiết bị","translated"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","USB (WebHID) hoặc Bluetooth (Nano X)","translated"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","Hỗ trợ {device} chưa hoàn tất. Hãy chọn thiết bị khác hoặc dùng ví phần mềm.","translated"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","Cài OneKey Bridge nếu cần","translated"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","Cắm OneKey bằng USB hoặc ghép nối Bluetooth","translated"
"hardware.onekeyStep3","Unlock your device with your PIN","Mở khóa thiết bị bằng PIN","translated"
"hardware.onekeyStep4","Allow the connection when requested","Cho phép kết nối khi được yêu cầu","translated"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","USB hoặc Bluetooth qua OneKey Bridge","translated"
"hardware.path","Path","Đường dẫn","translated"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","Ví tạo giao dịch chưa ký; thiết bị hiển thị chi tiết và chỉ trả lại chữ ký sau khi bạn xác nhận.","translated"
"hardware.softwareLabel","Software Wallet","Ví phần mềm","translated"
"hardware.softwareSubtitle","Encrypted keys stored on this device","Khóa mã hóa trên thiết bị này","translated"
"hardware.title","Hardware Wallet","Ví phần cứng","translated"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","Cài Trezor Suite — đã có daemon Bridge","translated"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","Cắm Trezor bằng USB hoặc ghép nối Bluetooth","translated"
"hardware.trezorStep3","Unlock your device with your PIN","Mở khóa thiết bị bằng PIN","translated"
"hardware.trezorStep4","Allow the connection popup when it appears","Cho phép popup kết nối khi xuất hiện","translated"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","USB hoặc Bluetooth qua Trezor Bridge","translated"
"history.awaitingConfirmation","Awaiting confirmation","Đang chờ xác nhận","translated"
"history.block","Block","Khối","translated"
"history.closeDetails","Close details","Đóng chi tiết","translated"
"history.confirmations","{count} confirmations","{count} lần xác nhận","stable-term"
"history.confirmed","Confirmed","Đã xác nhận","translated"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","Hiện Electrum không cung cấp thông tin chi tiết giao dịch.","translated"
"history.fee","Fee","Phí","translated"
"history.first","First","Đầu tiên","translated"
"history.last","Last","Cuối cùng","translated"
"history.loadDetailsFailed","Failed to load transaction details.","Không thể tải thông tin chi tiết giao dịch.","translated"
"history.loadingDetails","Loading transaction details…","Đang tải chi tiết giao dịch…","translated"
"history.newestFirst","Newest first","Mới nhất trước","translated"
"history.noActivity","No activity yet","Chưa có hoạt động","translated"
"history.noData","No data available.","Không có dữ liệu.","translated"
"history.noTransactions","No transactions available yet.","Chưa có giao dịch nào.","translated"
"history.oldestFirst","Oldest first","Cũ nhất trước","translated"
"history.openExplorer","Open in explorer","Mở trong trình khám phá","translated"
"history.output","Output","Đầu ra","translated"
"history.pending","Pending","Đang chờ","translated"
"history.perPage","{count} per page","{count} mỗi trang","translated"
"history.recipients","Recipients","Người nhận","translated"
"history.recorded","{count} recorded","Đã ghi nhận {count}","translated"
"history.senders","Senders","Người gửi","translated"
"history.status","Status","Trạng thái","stable-term"
"history.sync","Sync","Đồng bộ","translated"
"history.timestamp","Timestamp","Thời gian","translated"
"history.title","Transaction History","Lịch sử giao dịch","translated"
"history.transaction","Transaction","Giao dịch","stable-term"
"history.transactionHash","Transaction Hash","Mã băm giao dịch","translated"
"history.unavailable","Unavailable","Không khả dụng","translated"
"history.unconfirmed","Unconfirmed","Chưa xác nhận","translated"
"history.unknown","Unknown","Không rõ","translated"
"history.yourWallet","Your wallet","Ví của bạn","translated"
"home.block","Block","Khối","translated"
"home.confirmed","Confirmed","Đã xác nhận","translated"
"home.latestActivity","Latest wallet activity","Hoạt động mới nhất của ví","translated"
"home.noQrCode","No QR code detected. Try again.","Không phát hiện mã QR. Hãy thử lại.","translated"
"home.noRecentActivity","No recent activity yet.","Chưa có hoạt động gần đây.","translated"
"home.pending","Pending","Đang chờ","translated"
"home.pendingConfirmation","Pending confirmation","Đang chờ xác nhận","translated"
"home.portfolio","Portfolio","Danh mục","translated"
"home.quickActions","Quick Actions","Thao tác nhanh","translated"
"home.receive","Receive","Nhận","translated"
"home.recentActivity","Recent Activity","Hoạt động gần đây","translated"
"home.scanQr","Scan QR","Quét QR","translated"
"home.send","Send","Gửi","translated"
"home.sync","Sync","Đồng bộ","translated"
"home.syncing","Syncing…","Đang đồng bộ…","translated"
"home.title","Home","Trang chủ","translated"
"home.toggleBalance","Toggle BCH and USD balance","Đổi số dư BCH và USD","translated"
"home.unsupportedQr","QR scanned, but it is not a supported wallet payload.","Đã quét QR nhưng đây không phải dữ liệu ví được hỗ trợ.","translated"
"home.usdPriceUnavailable","USD price unavailable","Không có giá USD","translated"
"home.usdUnavailable","USD unavailable","Không có USD","translated"
"home.viewAll","View all","Xem tất cả","translated"
"home.walletOverview","Wallet overview","Tổng quan ví","translated"
"nav.actions","Actions","Thao tác","stable-term"
"nav.apps","Apps","Ứng dụng","translated"
"nav.assets","Assets","Tài sản","translated"
"nav.home","Home","Trang chủ","translated"
