"key","English (en)","Arabic (ar)","Status"
"contract.transferSpending","Spending Requirements: The recipient signs before the timeout; afterward, the sender can reclaim funds with a valid signature.","متطلبات الإنفاق: يوقّع المستلم قبل انتهاء المهلة؛ وبعدها يمكن للمرسل استعادة الأموال بتوقيع صالح.","translated"
"contract.transferUseCase","Use Cases: Useful for subscriptions, conditional payments, or escrow-like scenarios.","حالات الاستخدام: مفيد للاشتراكات أو المدفوعات المشروطة أو الحالات الشبيهة بحساب الضمان.","translated"
"contractPopup.back","Back","رجوع","translated"
"contractPopup.chooseFunction","Select a function","اختيار دالة","translated"
"contractPopup.enterData","Please enter data to generate the message.","أدخل البيانات لإنشاء الرسالة.","translated"
"contractPopup.enterMessage","Enter message for {name}","أدخل رسالة لـ {name}","translated"
"contractPopup.enterValue","Enter {name}","أدخل {name}","translated"
"contractPopup.fetchFailed","Failed to fetch keys.","فشل جلب المفاتيح.","translated"
"contractPopup.generated","Message generated successfully!","تم إنشاء الرسالة بنجاح!","translated"
"contractPopup.generateMessage","Generate Message","إنشاء رسالة","translated"
"contractPopup.generationFailed","Failed to generate message.","فشل إنشاء الرسالة.","translated"
"contractPopup.invalidFormat","Invalid {type} format. Please scan a valid QR code.","تنسيق {type} غير صالح. امسح رمز QR صالحًا.","translated"
"contractPopup.message","Message","الرسالة","stable-term"
"contractPopup.messageForCheck","message for checkdatasig","رسالة لـ checkdatasig","translated"
"contractPopup.noKeys","No keys found for address: {address}","لم يتم العثور على مفاتيح للعنوان: {address}","translated"
"contractPopup.noQr","No QR code detected. Please try again.","لم يتم العثور على رمز QR. حاول مرة أخرى.","translated"
"contractPopup.scanFor","Scan QR Code for {name}","مسح رمز QR لـ {name}","translated"
"contractPopup.select","Select","اختيار","translated"
"contractPopup.selectAddress","Select Address","اختيار عنوان","translated"
"contractPopup.selected","Selected {type}","تم اختيار {type}","translated"
"contractPopup.title","Select a Function","اختيار دالة","translated"
"contractView.address","Address","العنوان","translated"
"contractView.addressCopied","Address copied to clipboard!","تم نسخ العنوان إلى الحافظة!","translated"
"contractView.argumentTypeInfo","Argument type info","معلومات نوع الوسيط","translated"
"contractView.back","Back","رجوع","translated"
"contractView.balance","Balance","الرصيد","translated"
"contractView.blockHeight","Current Block Height","ارتفاع الكتلة الحالي","translated"
"contractView.blockHeightInfo","Blocks increment on an average interval of 10 minutes.","تزداد الكتل بمتوسط فاصل قدره 10 دقائق.","translated"
"contractView.constructorArgs","Constructor Arguments","وسائط المُنشئ","translated"
"contractView.copyFailed","Failed to copy address.","فشل نسخ العنوان.","translated"
"contractView.create","Create Contract","إنشاء عقد","translated"
"contractView.created","Contract created successfully!","تم إنشاء العقد بنجاح!","translated"
"contractView.createFailed","Failed to create contract: {message}","فشل إنشاء العقد: {message}","translated"
"contractView.createStep","3. Create the contract","3. أنشئ العقد","translated"
"contractView.datasigInfo","Data signature info","معلومات توقيع البيانات","translated"
"contractView.delete","Delete","حذف","translated"
"contractView.deleted","Contract deleted successfully!","تم حذف العقد بنجاح!","translated"
"contractView.deleteFailed","Failed to delete contract.","فشل حذف العقد.","translated"
"contractView.deleteFailedFallback","Failed to delete contract.","فشل حذف العقد.","translated"
"contractView.enterMessage","Enter message for {name}","أدخل رسالة لـ {name}","translated"
"contractView.enterType","Enter a value matching type: {type}.","أدخل قيمة تطابق النوع: {type}.","translated"
"contractView.error","Error","خطأ","translated"
"contractView.errorPrefix","Error: {message}","خطأ: {message}","translated"
"contractView.fillInputs","2. Fill constructor inputs","2. املأ مدخلات المُنشئ","translated"
"contractView.fillRequired","Fill in each required value before creating the contract.","املأ كل قيمة مطلوبة قبل إنشاء العقد.","translated"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","تجزئة عنوان/مفتاح عام من 20 بايت (سداسي). استخدم «اختيار عنوان».","translated"
"contractView.howWorks","How this works","طريقة العمل","translated"
"contractView.instantiated","Instantiated Contracts","العقود المنشأة","translated"
"contractView.loadContractsFailed","Failed to load available contracts.","فشل تحميل العقود المتاحة.","translated"
"contractView.loadDetailsFailed","Failed to load contract details.","فشل تحميل تفاصيل العقد.","translated"
"contractView.loadInstancesFailed","Failed to load contract instances.","فشل تحميل مثيلات العقود.","translated"
"contractView.noInputs","This contract template has no constructor inputs.","لا يحتوي قالب العقد هذا على مدخلات مُنشئ.","translated"
"contractView.noInstances","No contract instances yet.","لا توجد مثيلات عقود بعد.","translated"
"contractView.noQr","No QR code detected. Please try again.","لم يتم العثور على رمز QR. حاول مرة أخرى.","translated"
"contractView.pickTemplate","1. Pick a template","1. اختر قالبًا","translated"
"contractView.privateKeyUnavailable","Private key unavailable for this address.","المفتاح الخاص غير متاح لهذا العنوان.","translated"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","المفتاح العام بالصيغة السداسية. استخدم «اختيار عنوان» للملء تلقائيًا.","translated"
"contractView.scanQr","Scan QR Code for {name}","مسح QR لـ {name}","translated"
"contractView.selectAddress","Select Address","اختيار عنوان","translated"
"contractView.selectContract","Select a contract","اختيار عقد","translated"
"contractView.selectData","Please select an address and enter data to sign.","يرجى اختيار عنوان وإدخال بيانات للتوقيع.","translated"
"contractView.selected","Selected {type}","تم اختيار {type}","translated"
"contractView.signature","Signature","التوقيع","stable-term"
"contractView.signatureFailed","Failed to generate signature.","فشل إنشاء التوقيع.","translated"
"contractView.signatureGenerated","Signature generated successfully!","تم إنشاء التوقيع بنجاح!","translated"
"contractView.signingAddress","Signing address","عنوان التوقيع","translated"
"contractView.signMessage","Sign Message","توقيع الرسالة","translated"
"contractView.title","Contracts","العقود","translated"
"contractView.tokenAddress","Token address","عنوان الرمز","translated"
"contractView.unavailable","Unavailable","غير متاح","translated"
"contractView.unknownError","Unknown error","خطأ غير معروف","translated"
"contractView.update","Update","تحديث","translated"
"contractView.updated","Contract updated successfully!","تم تحديث العقد بنجاح!","translated"
"contractView.updateFailed","Failed to update contract.","فشل تحديث العقد.","translated"
"contractView.updateFailedFallback","Failed to update contract.","فشل تحديث العقد.","translated"
"derivation.accountIndex","Account index","فهرس الحساب","translated"
"derivation.addressDerivation","Address derivation","اشتقاق العنوان","translated"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","مسار حساب BIP44 المستخدم لاشتقاق هذه المحفظة.","translated"
"derivation.bip44AccountIndex","BIP44 account index","فهرس حساب BIP44","translated"
"derivation.bip44CoinType","BIP44 coin type","نوع عملة BIP44","translated"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","علامات الاشتقاق الصلبة ثابتة. تُشتق عناوين الاستلام والباقي تلقائيًا من فرعي /0/index و/1/index.","translated"
"derivation.coinType","Coin type","نوع العملة","translated"
"derivation.customize","Customize","تخصيص","translated"
"derivation.invalidActive","The active derivation path is invalid.","مسار الاشتقاق النشط غير صالح.","translated"
"derivation.invalidValues","Invalid BIP44 path values.","قيم مسار BIP44 غير صالحة.","translated"
"derivation.networkDefault","Network default: {value}","إعداد الشبكة الافتراضي: {value}","translated"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","مسار حساب BIP44 الثابت الذي تستخدمه هذه المحفظة.","translated"
"derivation.pathPreview","Path preview","معاينة المسار","translated"
"derivation.range","Enter whole numbers from 0 to {max}.","أدخل أعدادًا صحيحة من 0 إلى {max}.","translated"
"derivation.required","{field} is required.","{field} مطلوب.","translated"
"derivation.usuallyZero","Usually 0","عادةً 0","translated"
"derivation.walletNetwork","Wallet network","شبكة المحفظة","translated"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","اختر ما إذا كانت المحفظة تتصل بأموال حقيقية على Mainnet أو أموال اختبار على Chipnet.","translated"
"desktopMenu.about","About OPTN Wallet","حول محفظة OPTN","translated"
"desktopMenu.cannotExport","This wallet cannot be exported.","لا يمكن تصدير هذه المحفظة.","translated"
"desktopMenu.exported","Wallet exported.","تم تصدير المحفظة.","translated"
"desktopMenu.exportFailed","Could not export the wallet.","تعذر تصدير المحفظة.","translated"
"desktopMenu.exportWallet","Export Wallet…","تصدير المحفظة…","translated"
"desktopMenu.file","File","ملف","translated"
"desktopMenu.help","Help","المساعدة","translated"
"desktopMenu.history","Transaction History","سجل المعاملات","translated"
"desktopMenu.importNewWallet","Import New Wallet","استيراد محفظة جديدة","translated"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","ملف محفظة OPTN غير صالح.","translated"
"desktopMenu.lockWallet","Lock Wallet","قفل المحفظة","translated"
"desktopMenu.noSavedWallets","No saved wallets","لا توجد محافظ محفوظة","translated"
"desktopMenu.openWallet","Open Wallet","فتح المحفظة","translated"
"desktopMenu.openWalletFile","Open Wallet File…","فتح ملف محفظة…","translated"
"desktopMenu.quit","Quit","إنهاء","translated"
"desktopMenu.receive","Receive","استلام","translated"
"desktopMenu.refreshWallet","Refresh Wallet","تحديث المحفظة","translated"
"desktopMenu.send","Send","إرسال","translated"
"desktopMenu.settings","Settings","الإعدادات","translated"
"desktopMenu.toggleTheme","Toggle Theme","تبديل المظهر","translated"
"desktopMenu.view","View","عرض","translated"
"desktopMenu.wallet","Wallet","المحفظة","translated"
"desktopSecurity.authenticating","Authenticating…","جارٍ المصادقة…","translated"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","فشل إلغاء القفل الحيوي. استخدم كلمة المرور.","translated"
"desktopSecurity.confirmPassword","Confirm password","تأكيد كلمة المرور","translated"
"desktopSecurity.continue","Continue","متابعة","translated"
"desktopSecurity.enterPassword","Enter your password to unlock.","أدخل كلمة المرور لإلغاء القفل.","translated"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","هل نسيت كلمة المرور؟ أزل المحفظة وأعد استيراد عبارة الاسترداد.","translated"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","عبارة المرور غير صحيحة. حاول مرة أخرى.","translated"
"desktopSecurity.loading","Loading wallet…","جارٍ تحميل المحفظة…","translated"
"desktopSecurity.mismatch","Passphrases do not match.","عبارتا المرور غير متطابقتين.","translated"
"desktopSecurity.password","Password","كلمة المرور","translated"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","لا يتم تخزين كلمة المرور — تُشتق منها محليًا مفتاح التشفير.","translated"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","كلمة المرور (أو اتركها فارغة)","translated"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","فشل حفظ عبارة المرور. حاول مرة أخرى.","translated"
"desktopSecurity.secureWallet","Secure your wallet","تأمين محفظتك","translated"
"desktopSecurity.securing","Securing…","جارٍ التأمين…","translated"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","عيّن كلمة مرور لتشفير محفظتك. ستحتاج إليها عند فتح التطبيق. اتركها فارغة لاستخدام حماية حساب نظام التشغيل فقط.","translated"
"desktopSecurity.unlock","Unlock","إلغاء القفل","translated"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","فشل إلغاء القفل. حاول مرة أخرى.","translated"
"desktopSecurity.unlocking","Unlocking…","جارٍ إلغاء القفل…","translated"
"desktopSecurity.useBiometric","Use {label}","استخدام {label}","translated"
"desktopSecurity.walletLocked","Wallet locked","المحفظة مقفلة","translated"
"desktopWallet.addAnother","Add another wallet","إضافة محفظة أخرى","translated"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","هذه المحفظة مفتوحة بالفعل في نافذة أخرى.","translated"
"desktopWallet.backToWallets","Back to wallets","العودة إلى المحافظ","translated"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","فشل إلغاء القفل الحيوي: {message}","translated"
"desktopWallet.biometricUnlock","Biometric unlock","إلغاء القفل الحيوي","translated"
"desktopWallet.cancel","Cancel","إلغاء","translated"
"desktopWallet.delete","Delete","حذف","translated"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","حذف «{name}» ({network}، رقم {id})؟ سيبقى ملف .optn المحفوظ لتتمكن من استيراده لاحقًا.","translated"
"desktopWallet.deleteLabel","Delete {name}","حذف {name}","translated"
"desktopWallet.deleting","Deleting…","جارٍ الحذف…","translated"
"desktopWallet.device","Device","الجهاز","translated"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","أدخل كلمة مرور ملف المحفظة هذا.","translated"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","سيُستخدم تلقائيًا لتوقيع عمليات الإرسال من المحافظ البرمجية أثناء الاتصال. لا تُدعم بعد المحافظ المستقلة المعتمدة على الأجهزة فقط والتي تستخدم عناوين استلام خاصة بها.","translated"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","توصيل محفظة أجهزة","translated"
"desktopWallet.importFailed","Could not import this wallet file.","تعذر استيراد ملف المحفظة.","translated"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","كلمة مرور ملف المحفظة غير صحيحة.","translated"
"desktopWallet.open","Open","فتح","translated"
"desktopWallet.openButton","Open","فتح","translated"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","تعذر فتح المحفظة. حاول مرة أخرى.","translated"
"desktopWallet.openFile","Open “{name}”","فتح «{name}»","translated"
"desktopWallet.opening","Opening…","جارٍ الفتح…","translated"
"desktopWallet.password","Password","كلمة المرور","translated"
"desktopWallet.unlock","Unlock","إلغاء القفل","translated"
"desktopWallet.unlocking","Unlocking…","جارٍ إلغاء القفل…","translated"
"desktopWallet.useBiometric","Use {label}","استخدام {label}","translated"
"desktopWallet.walletNumber","Wallet #{id}","المحفظة رقم {id}","stable-term"
"desktopWallet.yourWallets","Your wallets","محافظك","translated"
"error.somethingWrong","Something went wrong.","حدث خطأ ما.","translated"
"experimental.cashFusionDescription","CashFusion is a non-custodial privacy protocol that combines your UTXOs with those of other users in a way that breaks transaction history linkage. Connect to a CashFusion server to participate. Your funds are never at risk — the protocol is trustless.","CashFusion بروتوكول خصوصية غير وصائي يجمع UTXOs الخاصة بك مع أموال مستخدمين آخرين لفصل سجل المعاملات.","translated"
"experimental.cashFusionWarning","Requires an active CashFusion server connection. Coming soon — toggle currently reserved.","يتطلب اتصالًا نشطًا بخادم CashFusion. قريبًا — التبديل محجوز حاليًا.","translated"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","هذه الميزات قيد التطوير النشط. فعّلها لاختبار قدرات جديدة؛ قد تتغير أو تظل غير مكتملة في تحديثات لاحقة.","translated"
"experimental.disable","Disable","تعطيل","translated"
"experimental.enable","Enable","تفعيل","translated"
"experimental.features","Experimental Features","ميزات تجريبية","translated"
"experimental.privacy","Privacy","الخصوصية","translated"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","تحمي خزائن Quantumroot الأموال باستخدام مخطط Schnorr LM-OTS المقاوم للحوسبة الكمومية. مفعّلة افتراضيًا.","translated"
"experimental.quantumSafe","Quantum-safe","آمن كموميًا","translated"
"experimental.rpaBadge","BCH RPA","BCH RPA","stable-term"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","ينشئ paycode ثابتًا يمكنك مشاركته علنًا. يشتق المرسلون عنوانًا فريدًا لكل دفعة عبر ECDH.","translated"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","عناوين الدفع القابلة لإعادة الاستخدام (RPA)","translated"
"experimental.rpaWarning","Sending to paycodes requires signature grinding (not yet implemented). Receiving and scanning are available.","يتطلب الإرسال إلى paycode طحن التوقيع (غير مطبق بعد). الاستلام والفحص متاحان.","translated"
"faucet.captcha","Answer the captcha question","أجب عن سؤال CAPTCHA","translated"
"faucet.clickLink","Click the Chipnet Faucet link","اضغط على رابط صنبور Chipnet","translated"
"faucet.copyAddress","Copy a BCH Chipnet address","انسخ عنوان BCH على Chipnet","translated"
"faucet.getCoins","Press ""Get Coins""","اضغط على Get Coins","translated"
"faucet.instructions","Instructions","التعليمات","stable-term"
"faucet.name","Chipnet Faucet","صنبور Chipnet","stable-term"
"faucet.pasteAddress","Paste your address","الصق عنوانك","translated"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","اختر chipnet في مربع NETWORK","translated"
"faucet.tooltip","Get Chipnet BCH","احصل على BCH من Chipnet","translated"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","أضف خادمًا — المضيف:المنفذ (مثل fusion.example.com:8789)","translated"
"fusion.autoTry","Auto — try each until one responds","تلقائي — جرّب كل خادم حتى يستجيب أحدها","translated"
"fusion.busy","A fusion round is already running for this wallet.","تجري جولة دمج بالفعل لهذه المحفظة.","translated"
"fusion.choose","Choose how to fuse:","اختر طريقة الدمج:","translated"
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Some wallet-hardening items are still pending, but each round verifies your own outputs before signing, so it fails safely.","ينفذ كل من مسار الخادم وP2P Fusion عمليات CoinJoin حقيقية على أي شبكة. ما زالت بعض عناصر تقوية المحفظة معلقة، لكن كل جولة تتحقق من مخرجاتك قبل التوقيع، لذلك تفشل بأمان عند عدم صلاحيتها.","translated"
"fusion.coinjoinBoth","Both run a real CoinJoin.","كلاهما ينفذ CoinJoin حقيقيًا.","translated"
"fusion.componentFeeRate","Component fee rate","معدل رسوم المكوّن","translated"
"fusion.componentsPlayer","Components / player","المكونات / اللاعب","translated"
"fusion.connectingTor","Connecting via Tor{port}.","جارٍ الاتصال عبر Tor{port}.","translated"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","بانتظار انتهاء مهلة الدمج التلقائي.","translated"
"fusion.disable","Disable","تعطيل","translated"
"fusion.donation","Donation","تبرع","translated"
"fusion.enable","Enable","تمكين","translated"
"fusion.enabled","CashFusion Enabled","تم تمكين CashFusion","translated"
"fusion.enableP2p","Enable P2P Fusion","تمكين الدمج عبر P2P","translated"
"fusion.enableServer","Enable Server Fusion","تمكين الدمج عبر الخادم","translated"
"fusion.excessFeeRange","Excess fee range","نطاق الرسوم الزائدة","translated"
"fusion.experimentalPending","Experimental — still pending: {items}.","تجريبي — ما زال معلقًا: {items}.","translated"
"fusion.failed","Failed ✗","فشل ✗","translated"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","يحتوي CashFusion عمدًا على عدد قليل من الخوادم العامة — فمجموعة إخفاء أكبر على خوادم أقل أفضل من التوزع على نطاق ضيق. أضف خادمك أو خادمًا مجتمعيًا أعلاه.","translated"
"fusion.fused","Fused ✓ — txid {txid}","تم الدمج ✓ — معرّف المعاملة {txid}","translated"
"fusion.fusing","Fusing…","جارٍ الدمج…","translated"
"fusion.handshakeOk","Handshake OK ✓","نجحت المصافحة ✓","translated"
"fusion.handshaking","Handshaking…","جارٍ إجراء المصافحة…","translated"
"fusion.hide","Hide","إخفاء","translated"
"fusion.howWorks","How does it work?","كيف يعمل؟","translated"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","يحتاج CashFusion إلى اتصال TCP خام لا يستطيع متصفح الهاتف أو الويب فتحه. يتوفر في تطبيق سطح المكتب.","translated"
"fusion.more","more","المزيد","translated"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","لا توجد عملات مؤهلة للدمج الآن.","translated"
"fusion.now","Fuse Now","الدمج الآن","translated"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","CoinJoin عبر الخادم المهيأ في الخوادم. يتطلب Tor ولاعبين اثنين على الأقل في فئة واحدة.","translated"
"fusion.openWallet","Open a wallet to run a P2P round.","افتح محفظة لتشغيل جولة P2P.","translated"
"fusion.or","or","أو","translated"
"fusion.p2pMode","P2P Fusion","P2P Fusion","stable-term"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","دون خادم — أقران عبر Nostr وTor. يُدمج تلقائيًا عند التمكين. يؤدي تفعيله إلى تعطيل الدمج عبر الخادم.","translated"
"fusion.p2pModeLabel","P2P Fusion","الدمج عبر P2P","stable-term"
"fusion.poolTiers","Pool tiers","فئات المجموعة","translated"
"fusion.privacy","Privacy","الخصوصية","translated"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Experimental wallet-hardening items are still pending, but your own outputs are verified before signing, so an invalid round fails safely.","تجري الخطوات 1–4 من البداية إلى النهاية عبر مسار الخادم: تنضم المحفظة إلى مجموعة، وتتبادل التوقيعات العمياء، وترسل عبر Tor، وتبث CoinJoin المجمّع. ينفذ P2P Fusion الجولة نفسها دون خادم عبر Nostr وTor. ما زالت بعض عناصر تقوية المحفظة التجريبية معلقة، لكن مخرجاتك تتحقق قبل التوقيع، لذلك تفشل الجولة بأمان عند عدم صلاحيتها.","translated"
"fusion.queryAuto","Query (Auto)","استعلام (تلقائي)","translated"
"fusion.queryServer","Query Server","استعلام عن الخادم","translated"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","هذا خادم بعيد، لذلك يلزم Tor — لكن لم يُعثر على وكيل Tor. شغّل Tor أعلاه، وإلا فسيُرفض الاستعلام.","translated"
"fusion.selected","● selected","● محدد","translated"
"fusion.serverMode","Fuse Now using CashFusion server","الدمج الآن باستخدام خادم CashFusion","translated"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","ادمج عبر خادم CashFusion. يُدمج تلقائيًا عند التمكين.","translated"
"fusion.serverModeLabel","Server Fusion","الدمج عبر الخادم","translated"
"fusion.serverParameters","Server parameters (live)","معلمات الخادم (مباشرة)","translated"
"fusion.servers","Fusion servers","خوادم الدمج","stable-term"
"fusion.step1","1. Pool joining.","1. الانضمام إلى مجموعة.","translated"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","تعلن محفظتك عن UTXOs التي تريد دمجها للخادم.","translated"
"fusion.step2","2. Blind signing.","2. التوقيع الأعمى.","translated"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","ينشئ المشاركون عناوين مخرجات معماة ويتبادلون توقيعات عمياء — لا يعرف أحد الربط بين المدخل والمخرج.","translated"
"fusion.step3","3. Covert submission.","3. الإرسال السري.","translated"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","يرسل كل مشارك المعاملة عبر Tor أو اتصال مباشر. ويجمع الخادم المعاملة النهائية.","translated"
"fusion.step4","4. Broadcast.","4. البث.","translated"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","يبث جميع المشاركين المعاملة المنشأة جماعيًا.","translated"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","يجمع CashFusion بين UTXOs من عدة مشاركين في معاملة واحدة، فيفصل الروابط التاريخية بين المدخلات والمخرجات. الخدمة غير وصائية — تبقى أموالك تحت سيطرتك.","translated"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","جارٍ مزامنة عملات المحفظة — حاول مرة أخرى بعد لحظة.","translated"
"fusion.tiers","Tiers","الفئات","translated"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","Tor متوقف. ستُرفض استعلامات الدمج البعيدة — فعّل Tor أعلاه أو استخدم خادمًا محليًا.","translated"
"hardware.active","active","نشط","translated"
"hardware.advanced","Advanced (derivation path)","متقدم (مسار الاشتقاق)","translated"
"hardware.airGap","air-gap","معزول","translated"
"hardware.beforeConnecting","Before connecting","قبل الاتصال","translated"
"hardware.bip44Path","BIP44 path","مسار BIP44","translated"
"hardware.comingSoon","Coming soon","قريبًا","translated"
"hardware.connect","Connect {device}","الاتصال بـ {device}","translated"
"hardware.connecting","Connecting…","جارٍ الاتصال…","translated"
"hardware.connectionType","Connection type","نوع الاتصال","translated"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","يحتفظ الجهاز بمفاتيحك الخاصة. لا تغادر المفاتيح الجهاز.","translated"
"hardware.disconnect","Disconnect","قطع الاتصال","translated"
"hardware.enableKeystone","Enable Keystone (QR mode)","تفعيل Keystone (وضع QR)","translated"
"hardware.howItWorks","How it works","كيف يعمل","translated"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","توقيع QR المعزول في Keystone غير جاهز للأموال الحقيقية.","translated"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","توقيع QR معزول — غير مدعوم بعد","translated"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","USB: وصّل → أدخل PIN → افتح تطبيق Bitcoin Cash","translated"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","Bluetooth (Nano X): فعّل BLE → افتح تطبيق Bitcoin Cash","translated"
"hardware.ledgerStep3","The browser will show a device picker prompt","سيعرض المتصفح منتقي الأجهزة","translated"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","USB (WebHID) أو Bluetooth (Nano X)","translated"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","لم يكتمل دعم {device}. اختر جهازًا آخر أو استخدم المحفظة البرمجية.","translated"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","ثبّت OneKey Bridge عند الحاجة","translated"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","وصّل OneKey عبر USB أو قارنه عبر Bluetooth","translated"
"hardware.onekeyStep3","Unlock your device with your PIN","افتح قفل الجهاز باستخدام PIN","translated"
"hardware.onekeyStep4","Allow the connection when requested","اسمح بالاتصال عند الطلب","translated"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","USB أو Bluetooth عبر OneKey Bridge","translated"
"hardware.path","Path","المسار","translated"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","تنشئ المحفظة معاملة غير موقعة؛ يعرض الجهاز التفاصيل ويعيد التوقيع فقط بعد تأكيدك.","translated"
"hardware.softwareLabel","Software Wallet","محفظة برمجية","translated"
"hardware.softwareSubtitle","Encrypted keys stored on this device","مفاتيح مشفرة مخزنة على هذا الجهاز","translated"
"hardware.title","Hardware Wallet","محفظة الأجهزة","translated"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","ثبّت Trezor Suite — يتضمن خدمة Bridge","translated"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","وصّل Trezor عبر USB أو قارنه عبر Bluetooth","translated"
"hardware.trezorStep3","Unlock your device with your PIN","افتح قفل الجهاز باستخدام PIN","translated"
"hardware.trezorStep4","Allow the connection popup when it appears","اسمح بنافذة الاتصال عند ظهورها","translated"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","USB أو Bluetooth عبر Trezor Bridge","translated"
"history.awaitingConfirmation","Awaiting confirmation","في انتظار التأكيد","translated"
"history.block","Block","كتلة","translated"
"history.closeDetails","Close details","إغلاق التفاصيل","translated"
"history.confirmations","{count} confirmations","{count} تأكيدات","stable-term"
