"key","English (en)","Korean (ko)","Status"
"contractView.enterMessage","Enter message for {name}","{name}의 메시지 입력","translated"
"contractView.enterType","Enter a value matching type: {type}.","유형에 맞는 값을 입력하세요: {type}.","translated"
"contractView.error","Error","오류","translated"
"contractView.errorPrefix","Error: {message}","오류: {message}","translated"
"contractView.fillInputs","2. Fill constructor inputs","2. 생성자 입력값 작성","translated"
"contractView.fillRequired","Fill in each required value before creating the contract.","컨트랙트를 만들기 전에 필수 값을 모두 입력하세요.","translated"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","주소/공개 키의 20바이트 해시(16진수)입니다. “주소 선택”을 사용하세요.","translated"
"contractView.howWorks","How this works","작동 방식","translated"
"contractView.instantiated","Instantiated Contracts","인스턴스화된 컨트랙트","translated"
"contractView.loadContractsFailed","Failed to load available contracts.","사용 가능한 컨트랙트를 불러오지 못했습니다.","translated"
"contractView.loadDetailsFailed","Failed to load contract details.","컨트랙트 세부 정보를 불러오지 못했습니다.","translated"
"contractView.loadInstancesFailed","Failed to load contract instances.","컨트랙트 인스턴스를 불러오지 못했습니다.","translated"
"contractView.noInputs","This contract template has no constructor inputs.","이 컨트랙트 템플릿에는 생성자 입력값이 없습니다.","translated"
"contractView.noInstances","No contract instances yet.","아직 컨트랙트 인스턴스가 없습니다.","translated"
"contractView.noQr","No QR code detected. Please try again.","QR 코드를 찾지 못했습니다. 다시 시도하세요.","translated"
"contractView.pickTemplate","1. Pick a template","1. 템플릿 선택","translated"
"contractView.privateKeyUnavailable","Private key unavailable for this address.","이 주소의 개인 키를 사용할 수 없습니다.","translated"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","16진수 공개 키입니다. 자동으로 입력하려면 “주소 선택”을 사용하세요.","translated"
"contractView.scanQr","Scan QR Code for {name}","{name}의 QR 코드 스캔","translated"
"contractView.selectAddress","Select Address","주소 선택","translated"
"contractView.selectContract","Select a contract","컨트랙트 선택","translated"
"contractView.selectData","Please select an address and enter data to sign.","주소를 선택하고 서명할 데이터를 입력하세요.","translated"
"contractView.selected","Selected {type}","{type} 선택됨","translated"
"contractView.signature","Signature","서명","stable-term"
"contractView.signatureFailed","Failed to generate signature.","서명을 생성하지 못했습니다.","translated"
"contractView.signatureGenerated","Signature generated successfully!","서명을 성공적으로 생성했습니다!","translated"
"contractView.signingAddress","Signing address","서명 주소","translated"
"contractView.signMessage","Sign Message","메시지 서명","translated"
"contractView.title","Contracts","컨트랙트","translated"
"contractView.tokenAddress","Token address","토큰 주소","translated"
"contractView.unavailable","Unavailable","사용할 수 없음","translated"
"contractView.unknownError","Unknown error","알 수 없는 오류","translated"
"contractView.update","Update","업데이트","translated"
"contractView.updated","Contract updated successfully!","컨트랙트를 성공적으로 업데이트했습니다!","translated"
"contractView.updateFailed","Failed to update contract.","컨트랙트를 업데이트하지 못했습니다.","translated"
"contractView.updateFailedFallback","Failed to update contract.","컨트랙트를 업데이트하지 못했습니다.","translated"
"derivation.accountIndex","Account index","계정 인덱스","translated"
"derivation.addressDerivation","Address derivation","주소 파생","translated"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","이 지갑을 파생하는 데 사용하는 BIP44 계정 경로입니다.","translated"
"derivation.bip44AccountIndex","BIP44 account index","BIP44 계정 인덱스","translated"
"derivation.bip44CoinType","BIP44 coin type","BIP44 코인 유형","translated"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","hardened 표시는 고정됩니다. 수신 및 잔돈 주소는 /0/index와 /1/index 브랜치에서 자동으로 파생됩니다.","translated"
"derivation.coinType","Coin type","코인 유형","translated"
"derivation.customize","Customize","맞춤 설정","translated"
"derivation.invalidActive","The active derivation path is invalid.","활성 파생 경로가 잘못되었습니다.","translated"
"derivation.invalidValues","Invalid BIP44 path values.","잘못된 BIP44 경로 값입니다.","translated"
"derivation.networkDefault","Network default: {value}","네트워크 기본값: {value}","translated"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","이 지갑에서 사용하는 고정 BIP44 계정 경로입니다.","translated"
"derivation.pathPreview","Path preview","경로 미리보기","translated"
"derivation.range","Enter whole numbers from 0 to {max}.","0부터 {max}까지의 정수를 입력하세요.","translated"
"derivation.required","{field} is required.","{field}은(는) 필수입니다.","translated"
"derivation.usuallyZero","Usually 0","보통 0","translated"
"derivation.walletNetwork","Wallet network","지갑 네트워크","translated"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","Mainnet의 실제 자금 또는 Chipnet의 테스트 자금에 연결할지 선택합니다.","translated"
"desktopMenu.about","About OPTN Wallet","OPTN Wallet 정보","translated"
"desktopMenu.cannotExport","This wallet cannot be exported.","이 지갑은 내보낼 수 없습니다.","translated"
"desktopMenu.exported","Wallet exported.","지갑을 내보냈습니다.","translated"
"desktopMenu.exportFailed","Could not export the wallet.","지갑을 내보내지 못했습니다.","translated"
"desktopMenu.exportWallet","Export Wallet…","지갑 내보내기…","translated"
"desktopMenu.file","File","파일","translated"
"desktopMenu.help","Help","도움말","translated"
"desktopMenu.history","Transaction History","거래 내역","translated"
"desktopMenu.importNewWallet","Import New Wallet","새 지갑 가져오기","translated"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","유효한 OPTN 지갑 파일이 아닙니다.","translated"
"desktopMenu.lockWallet","Lock Wallet","지갑 잠금","translated"
"desktopMenu.noSavedWallets","No saved wallets","저장된 지갑 없음","translated"
"desktopMenu.openWallet","Open Wallet","지갑 열기","translated"
"desktopMenu.openWalletFile","Open Wallet File…","지갑 파일 열기…","translated"
"desktopMenu.quit","Quit","종료","translated"
"desktopMenu.receive","Receive","받기","translated"
"desktopMenu.refreshWallet","Refresh Wallet","지갑 새로 고침","translated"
"desktopMenu.send","Send","보내기","translated"
"desktopMenu.settings","Settings","설정","translated"
"desktopMenu.toggleTheme","Toggle Theme","테마 전환","translated"
"desktopMenu.view","View","보기","translated"
"desktopMenu.wallet","Wallet","지갑","translated"
"desktopSecurity.authenticating","Authenticating…","인증 중…","translated"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","생체 인증 잠금 해제에 실패했습니다. 비밀번호를 사용하세요.","translated"
"desktopSecurity.confirmPassword","Confirm password","비밀번호 확인","translated"
"desktopSecurity.continue","Continue","계속","translated"
"desktopSecurity.enterPassword","Enter your password to unlock.","잠금을 해제하려면 비밀번호를 입력하세요.","translated"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","비밀번호를 잊었나요? 지갑을 제거하고 복구 문구를 다시 가져오세요.","translated"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","비밀번호가 올바르지 않습니다. 다시 시도하세요.","translated"
"desktopSecurity.loading","Loading wallet…","지갑 로드 중…","translated"
"desktopSecurity.mismatch","Passphrases do not match.","비밀번호가 일치하지 않습니다.","translated"
"desktopSecurity.password","Password","비밀번호","translated"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","비밀번호는 저장되지 않으며 암호화 키가 로컬에서 파생됩니다.","translated"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","비밀번호 (또는 비워 두기)","translated"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","비밀번호를 저장하지 못했습니다. 다시 시도하세요.","translated"
"desktopSecurity.secureWallet","Secure your wallet","지갑 보호","translated"
"desktopSecurity.securing","Securing…","보호 중…","translated"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","지갑을 암호화할 비밀번호를 설정하세요. 앱을 열 때마다 필요합니다. 비워 두면 운영체제 계정 보호만 사용합니다.","translated"
"desktopSecurity.unlock","Unlock","잠금 해제","translated"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","잠금 해제에 실패했습니다. 다시 시도하세요.","translated"
"desktopSecurity.unlocking","Unlocking…","잠금 해제 중…","translated"
"desktopSecurity.useBiometric","Use {label}","{label} 사용","translated"
"desktopSecurity.walletLocked","Wallet locked","지갑 잠김","translated"
"desktopWallet.addAnother","Add another wallet","다른 지갑 추가","translated"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","이 지갑은 다른 창에서 이미 열려 있습니다.","translated"
"desktopWallet.backToWallets","Back to wallets","지갑으로 돌아가기","translated"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","생체 인증 잠금 해제 실패: {message}","translated"
"desktopWallet.biometricUnlock","Biometric unlock","생체 인증 잠금 해제","translated"
"desktopWallet.cancel","Cancel","취소","translated"
"desktopWallet.delete","Delete","삭제","translated"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","“{name}”( {network}, #{id})을(를) 삭제할까요? 저장된 .optn 파일은 유지되므로 나중에 다시 가져올 수 있습니다.","translated"
"desktopWallet.deleteLabel","Delete {name}","{name} 삭제","translated"
"desktopWallet.deleting","Deleting…","삭제 중…","translated"
"desktopWallet.device","Device","기기","translated"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","이 지갑 파일의 비밀번호를 입력하세요.","translated"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","연결되어 있는 동안 소프트웨어 지갑의 전송에 자동으로 서명합니다. 자체 수신 주소가 있는 하드웨어 전용 지갑은 아직 지원되지 않습니다.","translated"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","하드웨어 지갑 연결","translated"
"desktopWallet.importFailed","Could not import this wallet file.","지갑 파일을 가져오지 못했습니다.","translated"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","지갑 파일의 비밀번호가 올바르지 않습니다.","translated"
"desktopWallet.open","Open","열기","translated"
"desktopWallet.openButton","Open","열기","translated"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","지갑을 열지 못했습니다. 다시 시도하세요.","translated"
"desktopWallet.openFile","Open “{name}”","“{name}” 열기","translated"
"desktopWallet.opening","Opening…","여는 중…","translated"
"desktopWallet.password","Password","비밀번호","translated"
"desktopWallet.unlock","Unlock","잠금 해제","translated"
"desktopWallet.unlocking","Unlocking…","잠금 해제 중…","translated"
"desktopWallet.useBiometric","Use {label}","{label} 사용","translated"
"desktopWallet.walletNumber","Wallet #{id}","지갑 #{id}","stable-term"
"desktopWallet.yourWallets","Your wallets","내 지갑","translated"
"error.somethingWrong","Something went wrong.","문제가 발생했습니다.","translated"
"experimental.cashFusionDescription","CashFusion is a non-custodial privacy protocol that combines your UTXOs with those of other users in a way that breaks transaction history linkage. Connect to a CashFusion server to participate. Your funds are never at risk — the protocol is trustless.","CashFusion은 다른 사용자의 UTXO와 내 UTXO를 결합해 거래 기록의 연결을 끊는 비수탁 개인정보 프로토콜입니다. 참여하려면 CashFusion 서버에 연결하세요. 프로토콜은 신뢰가 필요 없으므로 자금은 위험하지 않습니다.","translated"
"experimental.cashFusionWarning","Requires an active CashFusion server connection. Coming soon — toggle currently reserved.","활성 CashFusion 서버 연결이 필요합니다. 곧 제공되며 현재 토글은 예약 상태입니다.","translated"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","이 기능은 활발히 개발 중입니다. 새 기능을 테스트하려면 활성화하세요. 향후 업데이트에서 변경되거나 미완성일 수 있습니다.","translated"
"experimental.disable","Disable","비활성화","translated"
"experimental.enable","Enable","활성화","translated"
"experimental.features","Experimental Features","실험적 기능","translated"
"experimental.privacy","Privacy","개인정보 보호","translated"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","Quantumroot 볼트는 양자 내성 Schnorr LM-OTS 방식으로 자금을 보호합니다. 기본으로 활성화됩니다. 사용하지 않으면 끄고 Quantumroot를 숨길 수 있습니다.","translated"
"experimental.quantumSafe","Quantum-safe","양자 안전","translated"
"experimental.rpaBadge","BCH RPA","BCH RPA","stable-term"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","공개적으로 공유할 수 있는 정적 Paycode(paycode:q...)를 생성합니다. 송금자는 ECDH로 결제마다 고유한 일회성 주소를 파생합니다. 알림 트랜잭션이나 체인 부풀림이 없습니다. 받은 스텔스 자금은 “스텔스 BCH”로 따로 표시됩니다. 스캔에는 Fulcrum-RPA 서버가 필요합니다.","translated"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","재사용 가능한 결제 주소(RPA)","translated"
"experimental.rpaWarning","Sending to paycodes requires signature grinding (not yet implemented). Receiving and scanning are available.","Paycode로 보내려면 서명 grinding이 필요하며 아직 구현되지 않았습니다. 수신과 스캔은 사용할 수 있습니다.","translated"
"faucet.captcha","Answer the captcha question","captcha 질문에 답하기","translated"
"faucet.clickLink","Click the Chipnet Faucet link","Chipnet Faucet 링크 클릭","translated"
"faucet.copyAddress","Copy a BCH Chipnet address","BCH Chipnet 주소 복사","translated"
"faucet.getCoins","Press ""Get Coins""","“Get Coins” 누르기","translated"
"faucet.instructions","Instructions","안내","stable-term"
"faucet.name","Chipnet Faucet","Chipnet Faucet","stable-term"
"faucet.pasteAddress","Paste your address","주소 붙여넣기","translated"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","NETWORK 상자에서 “chipnet” 선택","translated"
"faucet.tooltip","Get Chipnet BCH","Chipnet BCH 받기","translated"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","서버 추가 — 호스트:포트(예: fusion.example.com:8789)","translated"
"fusion.autoTry","Auto — try each until one responds","자동 — 응답할 때까지 각각 시도","translated"
"fusion.busy","A fusion round is already running for this wallet.","이 지갑에서 Fusion 라운드가 이미 실행 중입니다.","translated"
"fusion.choose","Choose how to fuse:","융합 방법 선택:","translated"
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Some wallet-hardening items are still pending, but each round verifies your own outputs before signing, so it fails safely.","서버 경로와 P2P Fusion은 모든 네트워크에서 실제 CoinJoin을 실행합니다. 일부 지갑 강화 항목은 아직 대기 중이지만 각 라운드가 서명 전에 사용자 출력을 확인하므로 안전하게 실패합니다.","translated"
"fusion.coinjoinBoth","Both run a real CoinJoin.","둘 다 실제 CoinJoin을 실행합니다.","translated"
"fusion.componentFeeRate","Component fee rate","구성 요소 수수료율","translated"
"fusion.componentsPlayer","Components / player","구성 요소 / 참가자","translated"
"fusion.connectingTor","Connecting via Tor{port}.","Tor{port}를 통해 연결 중입니다.","translated"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","자동 융합 대기 시간 중입니다.","translated"
"fusion.disable","Disable","비활성화","translated"
"fusion.donation","Donation","기부","translated"
"fusion.enable","Enable","활성화","translated"
"fusion.enabled","CashFusion Enabled","CashFusion 활성화됨","translated"
"fusion.enableP2p","Enable P2P Fusion","P2P Fusion 활성화","translated"
"fusion.enableServer","Enable Server Fusion","서버 Fusion 활성화","translated"
"fusion.excessFeeRange","Excess fee range","초과 수수료 범위","translated"
"fusion.experimentalPending","Experimental — still pending: {items}.","실험적 기능 — 아직 대기 중: {items}.","translated"
"fusion.failed","Failed ✗","실패 ✗","translated"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","CashFusion은 의도적으로 공개 서버를 적게 운영합니다. 적은 서버에서 더 큰 익명 집합을 만드는 것이 지나치게 분산하는 것보다 좋습니다. 위에 개인 또는 커뮤니티 서버를 추가하세요.","translated"
"fusion.fused","Fused ✓ — txid {txid}","융합됨 ✓ — txid {txid}","translated"
"fusion.fusing","Fusing…","융합 중…","translated"
"fusion.handshakeOk","Handshake OK ✓","핸드셰이크 성공 ✓","translated"
"fusion.handshaking","Handshaking…","핸드셰이크 중…","translated"
"fusion.hide","Hide","숨기기","translated"
"fusion.howWorks","How does it work?","어떻게 작동하나요?","translated"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","CashFusion은 모바일/웹 브라우저가 열 수 없는 원시 TCP 연결이 필요합니다. 데스크톱 앱에서 사용할 수 있습니다.","translated"
"fusion.more","more","더 보기","translated"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","지금 융합할 수 있는 코인이 없습니다.","translated"
"fusion.now","Fuse Now","지금 융합","translated"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","서버 설정에 구성된 서버를 통한 CoinJoin입니다. Tor와 같은 티어의 참가자 2명 이상이 필요합니다.","translated"
"fusion.openWallet","Open a wallet to run a P2P round.","P2P 라운드를 실행하려면 지갑을 여세요.","translated"
"fusion.or","or","또는","translated"
"fusion.p2pMode","P2P Fusion","P2P Fusion","stable-term"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","서버 없음 — Nostr + Tor를 통한 피어 연결. 켜져 있으면 자동으로 융합하며, 켜면 서버 Fusion이 꺼집니다.","translated"
"fusion.p2pModeLabel","P2P Fusion","P2P Fusion","stable-term"
"fusion.poolTiers","Pool tiers","풀 티어","translated"
"fusion.privacy","Privacy","개인정보 보호","translated"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Experimental wallet-hardening items are still pending, but your own outputs are verified before signing, so an invalid round fails safely.","1~4단계는 서버 경로에서 끝까지 실행됩니다. 지갑이 풀에 참여하고 블라인드 서명을 교환한 뒤 Tor로 제출하고 조립된 CoinJoin을 브로드캐스트합니다. P2P Fusion은 Nostr와 Tor를 통해 서버 없이 같은 라운드를 실행합니다. 일부 실험적 지갑 강화 항목은 아직 대기 중이지만, 서명 전에 사용자의 출력을 확인하므로 잘못된 라운드는 안전하게 실패합니다.","translated"
"fusion.queryAuto","Query (Auto)","조회(자동)","translated"
"fusion.queryServer","Query Server","서버 조회","translated"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","원격 서버이므로 Tor가 필요하지만 Tor 프록시를 찾지 못했습니다. 위에서 Tor를 시작하거나 조회가 거부됩니다.","translated"
"fusion.selected","● selected","● 선택됨","translated"
"fusion.serverMode","Fuse Now using CashFusion server","CashFusion 서버로 지금 융합","translated"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","CashFusion 서버를 통해 융합합니다. 켜져 있으면 자동으로 융합합니다.","translated"
"fusion.serverModeLabel","Server Fusion","서버 Fusion","translated"
"fusion.serverParameters","Server parameters (live)","서버 매개변수(실시간)","translated"
"fusion.servers","Fusion servers","Fusion 서버","stable-term"
"fusion.step1","1. Pool joining.","1. 풀 참여.","translated"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","지갑이 융합할 UTXO를 서버에 알립니다.","translated"
"fusion.step2","2. Blind signing.","2. 블라인드 서명.","translated"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","참여자들이 블라인드 출력 주소를 만들고 블라인드 서명을 교환하므로 입력과 출력의 연결을 아무도 알 수 없습니다.","translated"
"fusion.step3","3. Covert submission.","3. 비공개 제출.","translated"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","각 참여자가 Tor 또는 직접 연결로 거래를 제출합니다. 서버가 최종 거래를 조립합니다.","translated"
"fusion.step4","4. Broadcast.","4. 브로드캐스트.","translated"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","모든 참여자가 함께 만든 거래를 브로드캐스트합니다.","translated"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","CashFusion은 여러 참여자의 UTXO를 하나의 거래로 결합해 블록체인 기록에서 입력과 출력의 연결을 끊습니다. 비수탁 방식이므로 자금은 항상 사용자가 통제합니다.","translated"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","지갑 코인 동기화 중입니다. 잠시 후 다시 시도하세요.","translated"
"fusion.tiers","Tiers","티어","translated"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","Tor가 꺼져 있습니다. 원격 Fusion 조회가 거부됩니다. 위에서 Tor를 켜거나 localhost 서버를 사용하세요.","translated"
"hardware.active","active","활성","translated"
"hardware.advanced","Advanced (derivation path)","고급 (파생 경로)","translated"
"hardware.airGap","air-gap","에어갭","translated"
"hardware.beforeConnecting","Before connecting","연결하기 전에","translated"
"hardware.bip44Path","BIP44 path","BIP44 경로","translated"
"hardware.comingSoon","Coming soon","곧 제공","translated"
"hardware.connect","Connect {device}","{device} 연결","translated"
"hardware.connecting","Connecting…","연결 중…","translated"
"hardware.connectionType","Connection type","연결 유형","translated"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","기기가 개인 키를 보관합니다. 키는 하드웨어를 떠나지 않습니다.","translated"
"hardware.disconnect","Disconnect","연결 해제","translated"
"hardware.enableKeystone","Enable Keystone (QR mode)","Keystone 활성화 (QR 모드)","translated"
"hardware.howItWorks","How it works","작동 방식","translated"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","Keystone 에어갭 QR 서명은 실제 자금에 아직 사용할 수 없습니다.","translated"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","에어갭 QR 서명 — 아직 지원되지 않음","translated"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","USB: 연결 → PIN 입력 → Bitcoin Cash 앱 열기","translated"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","Bluetooth (Nano X): BLE 활성화 → Bitcoin Cash 앱 열기","translated"
"hardware.ledgerStep3","The browser will show a device picker prompt","브라우저에 기기 선택 창이 표시됩니다","translated"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","USB (WebHID) 또는 Bluetooth (Nano X)","translated"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","{device} 지원은 아직 완료되지 않았습니다. 다른 기기를 선택하거나 소프트웨어 지갑을 사용하세요.","translated"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","필요하면 OneKey Bridge 설치","translated"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","USB로 OneKey를 연결하거나 Bluetooth로 페어링","translated"
"hardware.onekeyStep3","Unlock your device with your PIN","PIN으로 기기 잠금 해제","translated"
"hardware.onekeyStep4","Allow the connection when requested","요청되면 연결 허용","translated"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","OneKey Bridge를 통한 USB 또는 Bluetooth","translated"
"hardware.path","Path","경로","translated"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","지갑이 서명되지 않은 거래를 만들고 기기가 세부 정보를 표시합니다. 확인 후 기기는 서명만 돌려줍니다.","translated"
"hardware.softwareLabel","Software Wallet","소프트웨어 지갑","translated"
"hardware.softwareSubtitle","Encrypted keys stored on this device","이 기기에 저장된 암호화 키","translated"
"hardware.title","Hardware Wallet","하드웨어 지갑","translated"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","Trezor Suite 설치 — Bridge 데몬 포함","translated"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","USB로 Trezor를 연결하거나 Bluetooth로 페어링","translated"
"hardware.trezorStep3","Unlock your device with your PIN","PIN으로 기기 잠금 해제","translated"
"hardware.trezorStep4","Allow the connection popup when it appears","연결 팝업이 나타나면 허용","translated"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","Trezor Bridge를 통한 USB 또는 Bluetooth","translated"
"history.awaitingConfirmation","Awaiting confirmation","확인 대기 중","translated"
"history.block","Block","블록","translated"
"history.closeDetails","Close details","세부 정보 닫기","translated"
"history.confirmations","{count} confirmations","{count}회 확인","stable-term"
"history.confirmed","Confirmed","확인됨","translated"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","현재 Electrum에서 거래 세부 정보를 사용할 수 없습니다.","translated"
"history.fee","Fee","수수료","translated"
"history.first","First","처음","translated"
"history.last","Last","마지막","translated"
"history.loadDetailsFailed","Failed to load transaction details.","거래 세부 정보를 불러오지 못했습니다.","translated"
"history.loadingDetails","Loading transaction details…","거래 세부 정보 로드 중…","translated"
"history.newestFirst","Newest first","최신 순","translated"
"history.noActivity","No activity yet","활동 없음","translated"
"history.noData","No data available.","데이터 없음","translated"
"history.noTransactions","No transactions available yet.","트랜잭션 없음","translated"
"history.oldestFirst","Oldest first","오래된 순","translated"
"history.openExplorer","Open in explorer","탐색기에서 열기","translated"
"history.output","Output","출력","translated"
"history.pending","Pending","대기 중","translated"
"history.perPage","{count} per page","페이지당 {count}개","translated"
"history.recipients","Recipients","수신자","translated"
"history.recorded","{count} recorded","{count}개 기록됨","translated"
"history.senders","Senders","송신자","translated"
"history.status","Status","상태","stable-term"
"history.sync","Sync","동기화","translated"
"history.timestamp","Timestamp","타임스탬프","translated"
"history.title","Transaction History","거래 내역","translated"
"history.transaction","Transaction","트랜잭션","stable-term"
"history.transactionHash","Transaction Hash","트랜잭션 해시","translated"
"history.unavailable","Unavailable","사용할 수 없음","translated"
"history.unconfirmed","Unconfirmed","미확인","translated"
"history.unknown","Unknown","알 수 없음","translated"
"history.yourWallet","Your wallet","내 지갑","translated"
"home.block","Block","블록","translated"
"home.confirmed","Confirmed","확인됨","translated"
"home.latestActivity","Latest wallet activity","최근 지갑 활동","translated"
"home.noQrCode","No QR code detected. Try again.","QR 코드를 찾을 수 없습니다. 다시 시도하세요.","translated"
"home.noRecentActivity","No recent activity yet.","최근 활동이 없습니다.","translated"
"home.pending","Pending","대기 중","translated"
"home.pendingConfirmation","Pending confirmation","확인 대기 중","translated"
"home.portfolio","Portfolio","포트폴리오","translated"
"home.quickActions","Quick Actions","빠른 작업","translated"
"home.receive","Receive","받기","translated"
"home.recentActivity","Recent Activity","최근 활동","translated"
"home.scanQr","Scan QR","QR 스캔","translated"
"home.send","Send","보내기","translated"
"home.sync","Sync","동기화","translated"
"home.syncing","Syncing…","동기화 중…","translated"
"home.title","Home","홈","translated"
"home.toggleBalance","Toggle BCH and USD balance","BCH 및 USD 잔액 전환","translated"
"home.unsupportedQr","QR scanned, but it is not a supported wallet payload.","QR을 스캔했지만 지원되는 지갑 데이터가 아닙니다.","translated"
"home.usdPriceUnavailable","USD price unavailable","USD 가격 사용 불가","translated"
"home.usdUnavailable","USD unavailable","USD 사용 불가","translated"
"home.viewAll","View all","모두 보기","translated"
"home.walletOverview","Wallet overview","지갑 개요","translated"
"nav.actions","Actions","작업","stable-term"
"nav.apps","Apps","앱","translated"
"nav.assets","Assets","자산","translated"
"nav.home","Home","홈","translated"
"nav.settings","Settings","설정","translated"
"network.chipnet","Chipnet","Chipnet","stable-term"
"network.mainnet","Mainnet","Mainnet","stable-term"
"network.switch","Switch network. Current: {network}","네트워크 전환. 현재: {network}","translated"
"nftConfig.capability","NFT Capability","NFT 권한","translated"
"nftConfig.commitment","NFT Commitment","NFT 커밋먼트","translated"
"nftConfig.done","Done","완료","translated"
"nftConfig.minting","minting","발행","translated"
