"key","English (en)","Chinese (Simplified) (zh-CN)","Status"
"contract.msvaultSpending","Spending Requirements: Provide a valid signature and password-verified data signature while maintaining at least 4000 satoshis, or use a valid signature after the time lock expires.","支出要求：提供有效签名和密码验证的数据签名，同时金库保持至少 4000 satoshis；或在时间锁到期后使用有效签名。","translated"
"contract.msvaultUseCase","Use Case: Suitable for shared ownership or long-term storage with strict access controls.","用途：适合共享所有权或具有严格访问控制的长期存储。","translated"
"contract.multipleArbiters","Multiple Arbiters: Two arbiters can authorize release of funds.","多名仲裁者：两名仲裁者可以授权释放资金。","translated"
"contract.multiSignature","Multi-Signature: Requires signatures from multiple authorized parties.","多重签名：需要多名授权方的签名。","translated"
"contract.p2pkh","P2PKH (Pay-to-Public-Key-Hash)","P2PKH（支付到公钥哈希）","stable-term"
"contract.p2pkhDesc","P2PKH is a standard Bitcoin script that protects UTXOs by requiring a signature from the owner of a specified public-key hash.","P2PKH 是一种标准 Bitcoin 脚本，要求指定公钥哈希所有者签名，从而保护 UTXO 中的资金。","translated"
"contract.p2pkhSecurity","Security: A proven and reliable method for protecting digital assets.","安全性：保护数字资产的成熟可靠方法。","translated"
"contract.p2pkhSpending","Spending Requirements: Provide a valid signature matching the public-key hash in the contract.","支出要求：提供与合约中公钥哈希匹配的有效签名。","translated"
"contract.passwordProtection","Password Protection: Encrypts your private key with a user-defined password.","密码保护：使用用户定义的密码加密私钥。","translated"
"contract.simplicity","Simplicity: Easy to use and compatible with most Bitcoin wallets.","简单：易于使用，并兼容大多数 Bitcoin 钱包。","translated"
"contract.timeControl","Time-Based Control: Sets a deadline for the recipient to claim funds.","时间控制：为收款方领取资金设置期限。","translated"
"contract.transfer","TransferWithTimeout","TransferWithTimeout","stable-term"
"contract.transferDesc","TransferWithTimeout enables conditional transfers with a deadline. The recipient can claim funds before the timeout; the sender can reclaim them afterward.","TransferWithTimeout 支持带期限的条件转账。收款方可在超时前领取资金，发送方可在超时后收回资金。","translated"
"contract.transferSpending","Spending Requirements: The recipient signs before the timeout; afterward, the sender can reclaim funds with a valid signature.","支出要求：收款方在超时前签名；超时后发送方可以使用有效签名收回资金。","translated"
"contract.transferUseCase","Use Cases: Useful for subscriptions, conditional payments, or escrow-like scenarios.","用途：适合订阅、条件付款或类似托管的场景。","translated"
"contractPopup.back","Back","返回","translated"
"contractPopup.chooseFunction","Select a function","选择函数","translated"
"contractPopup.enterData","Please enter data to generate the message.","请输入用于生成消息的数据。","translated"
"contractPopup.enterMessage","Enter message for {name}","输入 {name} 的消息","translated"
"contractPopup.enterValue","Enter {name}","输入 {name}","translated"
"contractPopup.fetchFailed","Failed to fetch keys.","获取密钥失败。","translated"
"contractPopup.generated","Message generated successfully!","消息生成成功！","translated"
"contractPopup.generateMessage","Generate Message","生成消息","translated"
"contractPopup.generationFailed","Failed to generate message.","生成消息失败。","translated"
"contractPopup.invalidFormat","Invalid {type} format. Please scan a valid QR code.","{type} 格式无效。请扫描有效的二维码。","translated"
"contractPopup.message","Message","消息","stable-term"
"contractPopup.messageForCheck","message for checkdatasig","checkdatasig 消息","translated"
"contractPopup.noKeys","No keys found for address: {address}","未找到地址对应的密钥：{address}","translated"
"contractPopup.noQr","No QR code detected. Please try again.","未检测到二维码，请重试。","translated"
"contractPopup.scanFor","Scan QR Code for {name}","扫描 {name} 的二维码","translated"
"contractPopup.select","Select","选择","translated"
"contractPopup.selectAddress","Select Address","选择地址","translated"
"contractPopup.selected","Selected {type}","已选择 {type}","translated"
"contractPopup.title","Select a Function","选择函数","translated"
"contractView.address","Address","地址","translated"
"contractView.addressCopied","Address copied to clipboard!","地址已复制到剪贴板！","translated"
"contractView.argumentTypeInfo","Argument type info","参数类型信息","translated"
"contractView.back","Back","返回","translated"
"contractView.balance","Balance","余额","translated"
"contractView.blockHeight","Current Block Height","当前区块高度","translated"
"contractView.blockHeightInfo","Blocks increment on an average interval of 10 minutes.","区块平均每 10 分钟增加一次。","translated"
"contractView.constructorArgs","Constructor Arguments","构造函数参数","translated"
"contractView.copyFailed","Failed to copy address.","复制地址失败。","translated"
"contractView.create","Create Contract","创建合约","translated"
"contractView.created","Contract created successfully!","合约创建成功！","translated"
"contractView.createFailed","Failed to create contract: {message}","创建合约失败：{message}","translated"
"contractView.createStep","3. Create the contract","3. 创建合约","translated"
"contractView.datasigInfo","Data signature info","数据签名信息","translated"
"contractView.delete","Delete","删除","translated"
"contractView.deleted","Contract deleted successfully!","合约删除成功！","translated"
"contractView.deleteFailed","Failed to delete contract.","删除合约失败。","translated"
"contractView.deleteFailedFallback","Failed to delete contract.","删除合约失败。","translated"
"contractView.enterMessage","Enter message for {name}","输入 {name} 的消息","translated"
"contractView.enterType","Enter a value matching type: {type}.","输入符合类型的值：{type}。","translated"
"contractView.error","Error","错误","translated"
"contractView.errorPrefix","Error: {message}","错误：{message}","translated"
"contractView.fillInputs","2. Fill constructor inputs","2. 填写构造函数输入","translated"
"contractView.fillRequired","Fill in each required value before creating the contract.","创建合约前请填写每个必填值。","translated"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","地址/公钥的 20 字节哈希（十六进制）。使用“选择地址”。","translated"
"contractView.howWorks","How this works","工作原理","translated"
"contractView.instantiated","Instantiated Contracts","已实例化合约","translated"
"contractView.loadContractsFailed","Failed to load available contracts.","加载可用合约失败。","translated"
"contractView.loadDetailsFailed","Failed to load contract details.","加载合约详情失败。","translated"
"contractView.loadInstancesFailed","Failed to load contract instances.","加载合约实例失败。","translated"
"contractView.noInputs","This contract template has no constructor inputs.","此合约模板没有构造函数输入。","translated"
"contractView.noInstances","No contract instances yet.","暂无合约实例。","translated"
"contractView.noQr","No QR code detected. Please try again.","未检测到二维码，请重试。","translated"
"contractView.pickTemplate","1. Pick a template","1. 选择模板","translated"
"contractView.privateKeyUnavailable","Private key unavailable for this address.","此地址没有可用的私钥。","translated"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","十六进制公钥。使用“选择地址”自动填写。","translated"
"contractView.scanQr","Scan QR Code for {name}","扫描 {name} 的二维码","translated"
"contractView.selectAddress","Select Address","选择地址","translated"
"contractView.selectContract","Select a contract","选择合约","translated"
"contractView.selectData","Please select an address and enter data to sign.","请选择地址并输入要签名的数据。","translated"
"contractView.selected","Selected {type}","已选择 {type}","translated"
"contractView.signature","Signature","签名","stable-term"
"contractView.signatureFailed","Failed to generate signature.","生成签名失败。","translated"
"contractView.signatureGenerated","Signature generated successfully!","签名生成成功！","translated"
"contractView.signingAddress","Signing address","签名地址","translated"
"contractView.signMessage","Sign Message","签名消息","translated"
"contractView.title","Contracts","合约","translated"
"contractView.tokenAddress","Token address","代币地址","translated"
"contractView.unavailable","Unavailable","不可用","translated"
"contractView.unknownError","Unknown error","未知错误","translated"
"contractView.update","Update","更新","translated"
"contractView.updated","Contract updated successfully!","合约更新成功！","translated"
"contractView.updateFailed","Failed to update contract.","更新合约失败。","translated"
"contractView.updateFailedFallback","Failed to update contract.","更新合约失败。","translated"
"derivation.accountIndex","Account index","账户索引","translated"
"derivation.addressDerivation","Address derivation","地址派生","translated"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","用于派生此钱包的 BIP44 账户路径。","translated"
"derivation.bip44AccountIndex","BIP44 account index","BIP44 账户索引","translated"
"derivation.bip44CoinType","BIP44 coin type","BIP44 币种类型","translated"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","硬化标记固定不变。接收地址和找零地址会自动从 /0/index 和 /1/index 分支派生。","translated"
"derivation.coinType","Coin type","币种类型","translated"
"derivation.customize","Customize","自定义","translated"
"derivation.invalidActive","The active derivation path is invalid.","当前派生路径无效。","translated"
"derivation.invalidValues","Invalid BIP44 path values.","BIP44 路径值无效。","translated"
"derivation.networkDefault","Network default: {value}","网络默认值：{value}","translated"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","此钱包使用的固定 BIP44 账户路径。","translated"
"derivation.pathPreview","Path preview","路径预览","translated"
"derivation.range","Enter whole numbers from 0 to {max}.","请输入 0 到 {max} 之间的整数。","translated"
"derivation.required","{field} is required.","{field}为必填项。","translated"
"derivation.usuallyZero","Usually 0","通常为 0","translated"
"derivation.walletNetwork","Wallet network","钱包网络","translated"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","选择此钱包连接主网中的真实资金，还是 Chipnet 中的测试资金。","translated"
"desktopMenu.about","About OPTN Wallet","关于 OPTN Wallet","translated"
"desktopMenu.cannotExport","This wallet cannot be exported.","无法导出此钱包。","translated"
"desktopMenu.exported","Wallet exported.","钱包已导出。","translated"
"desktopMenu.exportFailed","Could not export the wallet.","钱包导出失败。","translated"
"desktopMenu.exportWallet","Export Wallet…","导出钱包…","translated"
"desktopMenu.file","File","文件","translated"
"desktopMenu.help","Help","帮助","translated"
"desktopMenu.history","Transaction History","交易历史","translated"
"desktopMenu.importNewWallet","Import New Wallet","导入新钱包","translated"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","这不是有效的 OPTN 钱包文件。","translated"
"desktopMenu.lockWallet","Lock Wallet","锁定钱包","translated"
"desktopMenu.noSavedWallets","No saved wallets","没有已保存的钱包","translated"
"desktopMenu.openWallet","Open Wallet","打开钱包","translated"
"desktopMenu.openWalletFile","Open Wallet File…","打开钱包文件…","translated"
"desktopMenu.quit","Quit","退出","translated"
"desktopMenu.receive","Receive","收款","translated"
"desktopMenu.refreshWallet","Refresh Wallet","刷新钱包","translated"
"desktopMenu.send","Send","发送","translated"
"desktopMenu.settings","Settings","设置","translated"
"desktopMenu.toggleTheme","Toggle Theme","切换主题","translated"
"desktopMenu.view","View","视图","translated"
"desktopMenu.wallet","Wallet","钱包","translated"
"desktopSecurity.authenticating","Authenticating…","验证中…","translated"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","生物识别解锁失败。请使用密码。","translated"
"desktopSecurity.confirmPassword","Confirm password","确认密码","translated"
"desktopSecurity.continue","Continue","继续","translated"
"desktopSecurity.enterPassword","Enter your password to unlock.","输入密码以解锁钱包。","translated"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","忘记密码？移除钱包后重新导入种子短语。","translated"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","密码不正确，请重试。","translated"
"desktopSecurity.loading","Loading wallet…","正在加载钱包…","translated"
"desktopSecurity.mismatch","Passphrases do not match.","两次输入的密码不一致。","translated"
"desktopSecurity.password","Password","密码","translated"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","密码不会被存储，只会在本地派生加密密钥。","translated"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","密码（可留空）","translated"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","保存密码失败，请重试。","translated"
"desktopSecurity.secureWallet","Secure your wallet","保护钱包","translated"
"desktopSecurity.securing","Securing…","保护中…","translated"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","设置密码来加密钱包。每次打开应用都需要输入。留空则仅使用操作系统账户保护。","translated"
"desktopSecurity.unlock","Unlock","解锁","translated"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","解锁失败，请重试。","translated"
"desktopSecurity.unlocking","Unlocking…","解锁中…","translated"
"desktopSecurity.useBiometric","Use {label}","使用 {label}","translated"
"desktopSecurity.walletLocked","Wallet locked","钱包已锁定","translated"
"desktopWallet.addAnother","Add another wallet","添加另一个钱包","translated"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","该钱包已在另一个窗口中打开。","translated"
"desktopWallet.backToWallets","Back to wallets","返回钱包列表","translated"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","生物识别解锁失败：{message}","translated"
"desktopWallet.biometricUnlock","Biometric unlock","生物识别解锁","translated"
"desktopWallet.cancel","Cancel","取消","translated"
"desktopWallet.delete","Delete","删除","translated"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","删除“{name}”（{network}，#{id}）？保存的 .optn 文件会保留，以便稍后重新导入。","translated"
"desktopWallet.deleteLabel","Delete {name}","删除 {name}","translated"
"desktopWallet.deleting","Deleting…","删除中…","translated"
"desktopWallet.device","Device","设备","translated"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","请输入此钱包文件的密码。","translated"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","连接期间，它会自动用于为软件钱包发送交易签名。暂不支持拥有独立收款地址的纯硬件钱包。","translated"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","连接硬件钱包","translated"
"desktopWallet.importFailed","Could not import this wallet file.","无法导入此钱包文件。","translated"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","钱包文件密码不正确。","translated"
"desktopWallet.open","Open","打开","translated"
"desktopWallet.openButton","Open","打开","translated"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","无法打开此钱包，请重试。","translated"
"desktopWallet.openFile","Open “{name}”","打开“{name}”","translated"
"desktopWallet.opening","Opening…","打开中…","translated"
"desktopWallet.password","Password","密码","translated"
"desktopWallet.unlock","Unlock","解锁","translated"
"desktopWallet.unlocking","Unlocking…","解锁中…","translated"
"desktopWallet.useBiometric","Use {label}","使用 {label}","translated"
"desktopWallet.walletNumber","Wallet #{id}","钱包 #{id}","stable-term"
"desktopWallet.yourWallets","Your wallets","你的钱包","translated"
"error.somethingWrong","Something went wrong.","出现问题。","translated"
"experimental.cashFusionDescription","CashFusion is a non-custodial privacy protocol that combines your UTXOs with those of other users in a way that breaks transaction history linkage. Connect to a CashFusion server to participate. Your funds are never at risk — the protocol is trustless.","CashFusion 是一种非托管隐私协议，将你的 UTXO 与其他用户的 UTXO 组合，以打断输入与输出之间的交易历史关联。连接 CashFusion 服务器即可参与。协议无需信任，资金不会面临托管风险。","translated"
"experimental.cashFusionWarning","Requires an active CashFusion server connection. Coming soon — toggle currently reserved.","需要有效的 CashFusion 服务器连接。即将推出；此开关目前仅作预留。","translated"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","这些功能正在积极开发中。启用它们可以测试新能力，但未来版本中可能变化或不完整。","translated"
"experimental.disable","Disable","禁用","translated"
"experimental.enable","Enable","启用","translated"
"experimental.features","Experimental Features","实验性功能","translated"
"experimental.privacy","Privacy","隐私","translated"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","Quantumroot 金库使用抗量子 Schnorr LM-OTS 方案保护资金。默认启用；如果不使用，可关闭以隐藏 Quantumroot。","translated"
"experimental.quantumSafe","Quantum-safe","抗量子","translated"
"experimental.rpaBadge","BCH RPA","BCH RPA","stable-term"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","生成可公开分享的静态支付码（paycode:q...）。发送方通过 ECDH 为每笔付款推导唯一的一次性地址，不需要通知交易，也不会增加链上负担。收到的隐匿资金会单独显示为“隐匿 BCH”。扫描需要支持 Fulcrum-RPA 的服务器。","translated"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","可复用支付地址（RPA）","translated"
"experimental.rpaWarning","Sending to paycodes requires signature grinding (not yet implemented). Receiving and scanning are available.","向支付码发送需要签名穷举（尚未实现）。接收和扫描功能可用。","translated"
"faucet.captcha","Answer the captcha question","回答验证码问题","translated"
"faucet.clickLink","Click the Chipnet Faucet link","点击 Chipnet 水龙头链接","translated"
"faucet.copyAddress","Copy a BCH Chipnet address","复制 BCH Chipnet 地址","translated"
"faucet.getCoins","Press ""Get Coins""","点击“Get Coins”","translated"
"faucet.instructions","Instructions","使用说明","stable-term"
"faucet.name","Chipnet Faucet","Chipnet 水龙头","stable-term"
"faucet.pasteAddress","Paste your address","粘贴你的地址","translated"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","在 NETWORK 框中选择“chipnet”","translated"
"faucet.tooltip","Get Chipnet BCH","获取 Chipnet BCH","translated"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","添加服务器 — 主机:端口（例如 fusion.example.com:8789）","translated"
"fusion.autoTry","Auto — try each until one responds","自动 — 依次尝试直到有服务器响应","translated"
"fusion.busy","A fusion round is already running for this wallet.","此钱包已有融合轮次正在运行。","translated"
"fusion.choose","Choose how to fuse:","选择融合方式：","translated"
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Some wallet-hardening items are still pending, but each round verifies your own outputs before signing, so it fails safely.","服务器路径和 P2P Fusion 都会在任何网络上运行真实 CoinJoin。部分钱包强化项目仍在完善，但每轮都会在签名前验证您自己的输出，因此会安全失败。","translated"
"fusion.coinjoinBoth","Both run a real CoinJoin.","两种方式都会运行真实的 CoinJoin。","translated"
"fusion.componentFeeRate","Component fee rate","组件费率","translated"
"fusion.componentsPlayer","Components / player","组件数 / 参与者","translated"
"fusion.connectingTor","Connecting via Tor{port}.","正在通过 Tor 连接{port}。","translated"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","正在等待自动融合冷却时间。","translated"
"fusion.disable","Disable","禁用","translated"
"fusion.donation","Donation","捐赠","translated"
"fusion.enable","Enable","启用","translated"
"fusion.enabled","CashFusion Enabled","CashFusion 已启用","translated"
"fusion.enableP2p","Enable P2P Fusion","启用 P2P Fusion","translated"
"fusion.enableServer","Enable Server Fusion","启用服务器融合","translated"
"fusion.excessFeeRange","Excess fee range","额外费用范围","translated"
"fusion.experimentalPending","Experimental — still pending: {items}.","实验性功能，仍待完成：{items}。","translated"
"fusion.failed","Failed ✗","失败 ✗","translated"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","CashFusion 有意保持较少的公共服务器；在较少服务器上形成更大的匿名集，比把参与者分散开更好。你可以在上方添加自己的服务器或社区服务器。","translated"
"fusion.fused","Fused ✓ — txid {txid}","已融合 ✓ — txid {txid}","translated"
"fusion.fusing","Fusing…","融合中…","translated"
"fusion.handshakeOk","Handshake OK ✓","握手成功 ✓","translated"
"fusion.handshaking","Handshaking…","握手中…","translated"
"fusion.hide","Hide","隐藏","translated"
"fusion.howWorks","How does it work?","它如何工作？","translated"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","CashFusion 需要移动端或网页浏览器无法打开的原始 TCP 连接。桌面应用可用。","translated"
"fusion.more","more","更多","translated"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","当前没有符合条件的币可进行融合。","translated"
"fusion.now","Fuse Now","立即融合","translated"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","通过“服务器”中配置的服务器进行 CoinJoin。需要 Tor，并且一个层级中至少有 2 位参与者。","translated"
"fusion.openWallet","Open a wallet to run a P2P round.","打开钱包以运行 P2P 轮次。","translated"
"fusion.or","or","或","translated"
"fusion.p2pMode","P2P Fusion","P2P Fusion","stable-term"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","无服务器，通过 Nostr + Tor 连接节点。启用后会自动融合，开启此项会关闭服务器融合。","translated"
"fusion.p2pModeLabel","P2P Fusion","P2P Fusion","stable-term"
"fusion.poolTiers","Pool tiers","池层级","translated"
"fusion.privacy","Privacy","隐私","translated"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Experimental wallet-hardening items are still pending, but your own outputs are verified before signing, so an invalid round fails safely.","步骤 1–4 会在服务器路径上端到端运行：钱包加入池、交换盲签名、通过 Tor 提交，并广播组装好的 CoinJoin。P2P Fusion 通过 Nostr 和 Tor 在没有服务器的情况下运行相同轮次。部分实验性钱包强化项目仍在完善，但签名前会验证您自己的输出，因此无效轮次会安全失败。","translated"
"fusion.queryAuto","Query (Auto)","查询（自动）","translated"
"fusion.queryServer","Query Server","查询服务器","translated"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","这是远程服务器，需要 Tor，但未找到 Tor 代理。请在上方启动 Tor，否则查询会被拒绝。","translated"
"fusion.selected","● selected","● 已选择","translated"
"fusion.serverMode","Fuse Now using CashFusion server","使用 CashFusion 服务器立即融合","translated"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","通过 CashFusion 服务器融合，启用后会自动融合。","translated"
"fusion.serverModeLabel","Server Fusion","服务器融合","translated"
"fusion.serverParameters","Server parameters (live)","服务器参数（实时）","translated"
"fusion.servers","Fusion servers","融合服务器","stable-term"
"fusion.step1","1. Pool joining.","1. 加入池。","translated"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","钱包向服务器宣布希望参与融合的 UTXO。","translated"
"fusion.step2","2. Blind signing.","2. 盲签名。","translated"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","参与者生成盲化的输出地址并交换盲签名，任何人都不知道输入到输出的对应关系。","translated"
"fusion.step3","3. Covert submission.","3. 隐蔽提交。","translated"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","每位参与者通过 Tor 或直接连接独立提交交易，服务器组装最终交易。","translated"
"fusion.step4","4. Broadcast.","4. 广播。","translated"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","所有参与者广播共同构建的交易。","translated"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","CashFusion 将多个参与者的 UTXO 组合成一笔交易，打断输入与输出之间的区块链历史关联。它是非托管的，资金始终由你控制。","translated"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","正在同步钱包币，请稍后重试。","translated"
"fusion.tiers","Tiers","层级","translated"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","Tor 已关闭。远程融合查询会被拒绝，请在上方启用 Tor 或使用本地主机服务器。","translated"
"hardware.active","active","活动","translated"
"hardware.advanced","Advanced (derivation path)","高级（派生路径）","translated"
"hardware.airGap","air-gap","隔离","translated"
"hardware.beforeConnecting","Before connecting","连接前","translated"
"hardware.bip44Path","BIP44 path","BIP44 路径","translated"
"hardware.comingSoon","Coming soon","即将推出","translated"
"hardware.connect","Connect {device}","连接 {device}","translated"
"hardware.connecting","Connecting…","连接中…","translated"
"hardware.connectionType","Connection type","连接类型","translated"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","设备保存你的私钥，钱包作为桥梁。密钥永远不会离开硬件设备。","translated"
"hardware.disconnect","Disconnect","断开连接","translated"
"hardware.enableKeystone","Enable Keystone (QR mode)","启用 Keystone（二维码模式）","translated"
"hardware.howItWorks","How it works","工作原理","translated"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","Keystone 的隔离二维码签名尚未完成；当前版本无法生成或读取所需二维码。该功能已规划，但尚未准备好处理真实资金。","translated"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","隔离二维码签名 — 尚不支持","translated"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","USB：插入 → 输入 PIN → 打开 Bitcoin Cash 应用","translated"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","蓝牙（Nano X）：启用 BLE → 打开 Bitcoin Cash 应用","translated"
"hardware.ledgerStep3","The browser will show a device picker prompt","浏览器会显示设备选择提示","translated"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","USB（WebHID）或蓝牙（Nano X）","translated"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","{device} 支持尚未完成；此版本无法连接或签名。请选择其他设备，或使用软件钱包。","translated"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","如果尚未安装，请先安装 OneKey Bridge","translated"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","插入 OneKey 设备或通过蓝牙配对","translated"
"hardware.onekeyStep3","Unlock your device with your PIN","使用 PIN 解锁设备","translated"
"hardware.onekeyStep4","Allow the connection when requested","出现请求时允许连接","translated"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","通过 OneKey Bridge 使用 USB 或蓝牙","translated"
"hardware.path","Path","路径","translated"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","你的私钥永远不会离开设备。钱包创建未签名交易，设备在屏幕上显示详情，你进行实体确认，设备只返回签名。这类似于 Electron Cash 的硬件钱包模式。","translated"
"hardware.softwareLabel","Software Wallet","软件钱包","translated"
"hardware.softwareSubtitle","Encrypted keys stored on this device","加密密钥存储在此设备上","translated"
"hardware.title","Hardware Wallet","硬件钱包","translated"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","安装 Trezor Suite，其中包含 Bridge 守护进程","translated"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","插入 Trezor（USB）或通过蓝牙配对（较新型号）","translated"
"hardware.trezorStep3","Unlock your device with your PIN","使用 PIN 解锁设备","translated"
"hardware.trezorStep4","Allow the connection popup when it appears","出现连接弹窗时允许连接","translated"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","通过 Trezor Bridge 使用 USB 或蓝牙","translated"
"history.awaitingConfirmation","Awaiting confirmation","等待确认","translated"
"history.block","Block","区块","translated"
"history.closeDetails","Close details","关闭详情","translated"
"history.confirmations","{count} confirmations","{count} 次确认","stable-term"
"history.confirmed","Confirmed","已确认","translated"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","Electrum 当前无法提供交易详情。","translated"
"history.fee","Fee","费用","translated"
"history.first","First","第一页","translated"
"history.last","Last","最后一页","translated"
"history.loadDetailsFailed","Failed to load transaction details.","加载交易详情失败。","translated"
"history.loadingDetails","Loading transaction details…","正在加载交易详情…","translated"
"history.newestFirst","Newest first","最新优先","translated"
"history.noActivity","No activity yet","暂无活动","translated"
"history.noData","No data available.","暂无数据。","translated"
"history.noTransactions","No transactions available yet.","暂无可用交易。","translated"
"history.oldestFirst","Oldest first","最早优先","translated"
"history.openExplorer","Open in explorer","在浏览器中打开","translated"
"history.output","Output","输出","translated"
"history.pending","Pending","待处理","translated"
"history.perPage","{count} per page","每页 {count} 笔","translated"
"history.recipients","Recipients","接收方","translated"
"history.recorded","{count} recorded","已记录 {count} 笔","translated"
"history.senders","Senders","发送方","translated"
"history.status","Status","状态","stable-term"
"history.sync","Sync","同步","translated"
"history.timestamp","Timestamp","时间戳","translated"
"history.title","Transaction History","交易历史","translated"
"history.transaction","Transaction","交易","stable-term"
"history.transactionHash","Transaction Hash","交易哈希","translated"
"history.unavailable","Unavailable","不可用","translated"
"history.unconfirmed","Unconfirmed","未确认","translated"
"history.unknown","Unknown","未知","translated"
"history.yourWallet","Your wallet","你的钱包","translated"
"home.block","Block","区块","translated"
"home.confirmed","Confirmed","已确认","translated"
"home.latestActivity","Latest wallet activity","钱包最新活动","translated"
"home.noQrCode","No QR code detected. Try again.","未检测到二维码，请重试。","translated"
