"key","English (en)","Portuguese (Brazil) (pt-BR)","Status"
"contractView.delete","Delete","Excluir","translated"
"contractView.deleted","Contract deleted successfully!","Contrato excluído com sucesso!","translated"
"contractView.deleteFailed","Failed to delete contract.","Falha ao excluir o contrato.","translated"
"contractView.deleteFailedFallback","Failed to delete contract.","Falha ao excluir o contrato.","translated"
"contractView.enterMessage","Enter message for {name}","Digite a mensagem para {name}","translated"
"contractView.enterType","Enter a value matching type: {type}.","Digite um valor compatível com o tipo: {type}.","translated"
"contractView.error","Error","Erro","translated"
"contractView.errorPrefix","Error: {message}","Erro: {message}","translated"
"contractView.fillInputs","2. Fill constructor inputs","2. Preencha as entradas do construtor","translated"
"contractView.fillRequired","Fill in each required value before creating the contract.","Preencha cada valor obrigatório antes de criar o contrato.","translated"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","Hash de 20 bytes (hexadecimal) de um endereço ou chave pública. Use “Selecionar endereço”.","translated"
"contractView.howWorks","How this works","Como funciona","translated"
"contractView.instantiated","Instantiated Contracts","Contratos instanciados","translated"
"contractView.loadContractsFailed","Failed to load available contracts.","Falha ao carregar os contratos disponíveis.","translated"
"contractView.loadDetailsFailed","Failed to load contract details.","Falha ao carregar os detalhes do contrato.","translated"
"contractView.loadInstancesFailed","Failed to load contract instances.","Falha ao carregar as instâncias de contrato.","translated"
"contractView.noInputs","This contract template has no constructor inputs.","Este modelo de contrato não tem entradas do construtor.","translated"
"contractView.noInstances","No contract instances yet.","Ainda não há instâncias de contrato.","translated"
"contractView.noQr","No QR code detected. Please try again.","Nenhum código QR detectado. Tente novamente.","translated"
"contractView.pickTemplate","1. Pick a template","1. Escolha um modelo","translated"
"contractView.privateKeyUnavailable","Private key unavailable for this address.","Chave privada indisponível para este endereço.","translated"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","Chave pública em hexadecimal. Use “Selecionar endereço” para preencher automaticamente.","translated"
"contractView.scanQr","Scan QR Code for {name}","Escanear código QR para {name}","translated"
"contractView.selectAddress","Select Address","Selecionar endereço","translated"
"contractView.selectContract","Select a contract","Selecione um contrato","translated"
"contractView.selectData","Please select an address and enter data to sign.","Selecione um endereço e digite os dados para assinar.","translated"
"contractView.selected","Selected {type}","{type} selecionado","translated"
"contractView.signature","Signature","Assinatura","stable-term"
"contractView.signatureFailed","Failed to generate signature.","Falha ao gerar a assinatura.","translated"
"contractView.signatureGenerated","Signature generated successfully!","Assinatura gerada com sucesso!","translated"
"contractView.signingAddress","Signing address","Endereço de assinatura","translated"
"contractView.signMessage","Sign Message","Assinar mensagem","translated"
"contractView.title","Contracts","Contratos","translated"
"contractView.tokenAddress","Token address","Endereço do token","translated"
"contractView.unavailable","Unavailable","Indisponível","translated"
"contractView.unknownError","Unknown error","Erro desconhecido","translated"
"contractView.update","Update","Atualizar","translated"
"contractView.updated","Contract updated successfully!","Contrato atualizado com sucesso!","translated"
"contractView.updateFailed","Failed to update contract.","Falha ao atualizar o contrato.","translated"
"contractView.updateFailedFallback","Failed to update contract.","Falha ao atualizar o contrato.","translated"
"derivation.accountIndex","Account index","Índice da conta","translated"
"derivation.addressDerivation","Address derivation","Derivação de endereço","translated"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","Caminho de conta BIP44 usado para derivar esta carteira.","translated"
"derivation.bip44AccountIndex","BIP44 account index","Índice da conta BIP44","translated"
"derivation.bip44CoinType","BIP44 coin type","Tipo de moeda BIP44","translated"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","Os marcadores hardened são fixos. Os endereços de recebimento e troco são derivados automaticamente dos ramos /0/index e /1/index.","translated"
"derivation.coinType","Coin type","Tipo de moeda","translated"
"derivation.customize","Customize","Personalizar","translated"
"derivation.invalidActive","The active derivation path is invalid.","O caminho de derivação ativo é inválido.","translated"
"derivation.invalidValues","Invalid BIP44 path values.","Valores de caminho BIP44 inválidos.","translated"
"derivation.networkDefault","Network default: {value}","Padrão da rede: {value}","translated"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","O caminho fixo da conta BIP44 usado por esta carteira.","translated"
"derivation.pathPreview","Path preview","Prévia do caminho","translated"
"derivation.range","Enter whole numbers from 0 to {max}.","Insira números inteiros de 0 a {max}.","translated"
"derivation.required","{field} is required.","{field} é obrigatório.","translated"
"derivation.usuallyZero","Usually 0","Normalmente 0","translated"
"derivation.walletNetwork","Wallet network","Rede da carteira","translated"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","Escolha se esta carteira se conecta a fundos reais na Mainnet ou a fundos de teste no Chipnet.","translated"
"desktopMenu.about","About OPTN Wallet","Sobre o OPTN Wallet","translated"
"desktopMenu.cannotExport","This wallet cannot be exported.","Esta carteira não pode ser exportada.","translated"
"desktopMenu.exported","Wallet exported.","Carteira exportada.","translated"
"desktopMenu.exportFailed","Could not export the wallet.","Não foi possível exportar a carteira.","translated"
"desktopMenu.exportWallet","Export Wallet…","Exportar carteira…","translated"
"desktopMenu.file","File","Arquivo","translated"
"desktopMenu.help","Help","Ajuda","translated"
"desktopMenu.history","Transaction History","Histórico de transações","translated"
"desktopMenu.importNewWallet","Import New Wallet","Importar nova carteira","translated"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","Esse não é um arquivo de carteira OPTN válido.","translated"
"desktopMenu.lockWallet","Lock Wallet","Bloquear carteira","translated"
"desktopMenu.noSavedWallets","No saved wallets","Nenhuma carteira salva","translated"
"desktopMenu.openWallet","Open Wallet","Abrir carteira","translated"
"desktopMenu.openWalletFile","Open Wallet File…","Abrir arquivo da carteira…","translated"
"desktopMenu.quit","Quit","Sair","translated"
"desktopMenu.receive","Receive","Receber","translated"
"desktopMenu.refreshWallet","Refresh Wallet","Atualizar carteira","translated"
"desktopMenu.send","Send","Enviar","translated"
"desktopMenu.settings","Settings","Configurações","translated"
"desktopMenu.toggleTheme","Toggle Theme","Alternar tema","translated"
"desktopMenu.view","View","Exibir","translated"
"desktopMenu.wallet","Wallet","Carteira","translated"
"desktopSecurity.authenticating","Authenticating…","Autenticando…","translated"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","Falha no desbloqueio biométrico. Use sua senha.","translated"
"desktopSecurity.confirmPassword","Confirm password","Confirmar senha","translated"
"desktopSecurity.continue","Continue","Continuar","translated"
"desktopSecurity.enterPassword","Enter your password to unlock.","Digite sua senha para desbloquear.","translated"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","Esqueceu a senha? Remova a carteira e importe novamente sua frase de recuperação.","translated"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","Senha incorreta. Tente novamente.","translated"
"desktopSecurity.loading","Loading wallet…","Carregando carteira…","translated"
"desktopSecurity.mismatch","Passphrases do not match.","As senhas não coincidem.","translated"
"desktopSecurity.password","Password","Senha","translated"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","Sua senha nunca é armazenada — ela deriva sua chave de criptografia localmente.","translated"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","Senha (ou deixe em branco)","translated"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","Falha ao salvar a senha. Tente novamente.","translated"
"desktopSecurity.secureWallet","Secure your wallet","Proteja sua carteira","translated"
"desktopSecurity.securing","Securing…","Protegendo…","translated"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","Defina uma senha para criptografar sua carteira. Você precisará dela sempre que abrir o app. Deixe em branco para usar somente a proteção da conta do sistema.","translated"
"desktopSecurity.unlock","Unlock","Desbloquear","translated"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","Falha ao desbloquear. Tente novamente.","translated"
"desktopSecurity.unlocking","Unlocking…","Desbloqueando…","translated"
"desktopSecurity.useBiometric","Use {label}","Usar {label}","translated"
"desktopSecurity.walletLocked","Wallet locked","Carteira bloqueada","translated"
"desktopWallet.addAnother","Add another wallet","Adicionar outra carteira","translated"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","Essa carteira já está aberta em outra janela.","translated"
"desktopWallet.backToWallets","Back to wallets","Voltar às carteiras","translated"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","Falha no desbloqueio biométrico: {message}","translated"
"desktopWallet.biometricUnlock","Biometric unlock","Desbloqueio biométrico","translated"
"desktopWallet.cancel","Cancel","Cancelar","translated"
"desktopWallet.delete","Delete","Excluir","translated"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","Excluir “{name}” ({network}, #{id})? O arquivo .optn salvo será mantido para que você possa importá-lo novamente.","translated"
"desktopWallet.deleteLabel","Delete {name}","Excluir {name}","translated"
"desktopWallet.deleting","Deleting…","Excluindo…","translated"
"desktopWallet.device","Device","Dispositivo","translated"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","Insira a senha deste arquivo de carteira.","translated"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","Será usado automaticamente para assinar envios de carteiras de software enquanto estiver conectado. Carteiras somente de hardware, com endereços próprios de recebimento, ainda não são compatíveis.","translated"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","Conectar carteira de hardware","translated"
"desktopWallet.importFailed","Could not import this wallet file.","Não foi possível importar este arquivo de carteira.","translated"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","Senha incorreta para este arquivo de carteira.","translated"
"desktopWallet.open","Open","Abrir","translated"
"desktopWallet.openButton","Open","Abrir","translated"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","Não foi possível abrir esta carteira. Tente novamente.","translated"
"desktopWallet.openFile","Open “{name}”","Abrir “{name}”","translated"
"desktopWallet.opening","Opening…","Abrindo…","translated"
"desktopWallet.password","Password","Senha","translated"
"desktopWallet.unlock","Unlock","Desbloquear","translated"
"desktopWallet.unlocking","Unlocking…","Desbloqueando…","translated"
"desktopWallet.useBiometric","Use {label}","Usar {label}","translated"
"desktopWallet.walletNumber","Wallet #{id}","Carteira #{id}","stable-term"
"desktopWallet.yourWallets","Your wallets","Suas carteiras","translated"
"error.somethingWrong","Something went wrong.","Algo deu errado.","translated"
"experimental.cashFusionDescription","CashFusion is a non-custodial privacy protocol that combines your UTXOs with those of other users in a way that breaks transaction history linkage. Connect to a CashFusion server to participate. Your funds are never at risk — the protocol is trustless.","CashFusion é um protocolo de privacidade sem custódia que combina seus UTXOs com os de outros usuários para quebrar o vínculo do histórico de transações. Conecte-se a um servidor CashFusion para participar. Seus fundos nunca ficam em risco — o protocolo não exige confiança.","translated"
"experimental.cashFusionWarning","Requires an active CashFusion server connection. Coming soon — toggle currently reserved.","Exige uma conexão ativa a um servidor CashFusion. Em breve — o alternador está reservado no momento.","translated"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","Esses recursos estão em desenvolvimento ativo. Ative-os para testar novas capacidades — podem mudar ou ficar incompletos em atualizações futuras.","translated"
"experimental.disable","Disable","Desativar","translated"
"experimental.enable","Enable","Ativar","translated"
"experimental.features","Experimental Features","Recursos experimentais","translated"
"experimental.privacy","Privacy","Privacidade","translated"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","Os cofres Quantumroot protegem fundos com um esquema Schnorr LM-OTS resistente a quantum. Ativado por padrão. Desative para ocultar o Quantumroot se não o usar.","translated"
"experimental.quantumSafe","Quantum-safe","Resistente a quantum","translated"
"experimental.rpaBadge","BCH RPA","BCH RPA","stable-term"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","Gera um Paycode estático (paycode:q...) que você pode compartilhar publicamente. Remetentes derivam um endereço exclusivo para cada pagamento via ECDH — sem transação de notificação e sem inchaço da cadeia. Fundos furtivos recebidos aparecem separadamente como “BCH furtivo”. A varredura exige um servidor compatível com Fulcrum-RPA.","translated"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","Endereços de pagamento reutilizáveis (RPA)","translated"
"experimental.rpaWarning","Sending to paycodes requires signature grinding (not yet implemented). Receiving and scanning are available.","Enviar para Paycodes exige grinding de assinatura (ainda não implementado). Recebimento e varredura estão disponíveis.","translated"
"faucet.captcha","Answer the captcha question","Responda à pergunta do captcha","translated"
"faucet.clickLink","Click the Chipnet Faucet link","Clique no link do Faucet do Chipnet","translated"
"faucet.copyAddress","Copy a BCH Chipnet address","Copie um endereço BCH do Chipnet","translated"
"faucet.getCoins","Press ""Get Coins""","Pressione “Get Coins”","translated"
"faucet.instructions","Instructions","Instruções","stable-term"
"faucet.name","Chipnet Faucet","Faucet do Chipnet","stable-term"
"faucet.pasteAddress","Paste your address","Cole seu endereço","translated"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","Selecione “chipnet” na caixa NETWORK","translated"
"faucet.tooltip","Get Chipnet BCH","Obter BCH do Chipnet","translated"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","Adicionar servidor — host:porta (por exemplo, fusion.example.com:8789)","translated"
"fusion.autoTry","Auto — try each until one responds","Automático — tentar cada um até obter resposta","translated"
"fusion.busy","A fusion round is already running for this wallet.","Uma rodada de Fusion já está em execução para esta carteira.","translated"
"fusion.choose","Choose how to fuse:","Escolha como fundir:","translated"
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Some wallet-hardening items are still pending, but each round verifies your own outputs before signing, so it fails safely.","O caminho do servidor e a Fusion P2P executam CoinJoins reais em qualquer rede. Alguns itens de reforço da carteira ainda estão pendentes, mas cada rodada verifica suas próprias saídas antes da assinatura e falha com segurança.","translated"
"fusion.coinjoinBoth","Both run a real CoinJoin.","Ambos executam um CoinJoin real.","translated"
"fusion.componentFeeRate","Component fee rate","Taxa de comissão do componente","translated"
"fusion.componentsPlayer","Components / player","Componentes / participante","translated"
"fusion.connectingTor","Connecting via Tor{port}.","Conectando via Tor{port}.","translated"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","Aguardando o intervalo da fusão automática.","translated"
"fusion.disable","Disable","Desativar","translated"
"fusion.donation","Donation","Doação","translated"
"fusion.enable","Enable","Ativar","translated"
"fusion.enabled","CashFusion Enabled","CashFusion ativado","translated"
"fusion.enableP2p","Enable P2P Fusion","Ativar Fusion P2P","translated"
"fusion.enableServer","Enable Server Fusion","Ativar Fusion por servidor","translated"
"fusion.excessFeeRange","Excess fee range","Faixa de comissão excedente","translated"
"fusion.experimentalPending","Experimental — still pending: {items}.","Experimental — ainda pendente: {items}.","translated"
"fusion.failed","Failed ✗","Falhou ✗","translated"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","O CashFusion tem intencionalmente poucos servidores públicos — um conjunto de anonimato maior em menos servidores é melhor do que se espalhar demais. Adicione seu próprio servidor ou um servidor da comunidade acima.","translated"
"fusion.fused","Fused ✓ — txid {txid}","Fundido ✓ — txid {txid}","translated"
"fusion.fusing","Fusing…","Fundindo…","translated"
"fusion.handshakeOk","Handshake OK ✓","Negociação OK ✓","translated"
"fusion.handshaking","Handshaking…","Negociando…","translated"
"fusion.hide","Hide","Ocultar","translated"
"fusion.howWorks","How does it work?","Como funciona?","translated"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","O CashFusion precisa de uma conexão TCP bruta, que um navegador mobile/web não pode abrir. Disponível no app para desktop.","translated"
"fusion.more","more","mais","translated"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","Nenhuma moeda pode ser fundida agora.","translated"
"fusion.now","Fuse Now","Fundir agora","translated"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","CoinJoin pelo servidor configurado em Servidores. Requer Tor e pelo menos 2 participantes em um nível.","translated"
"fusion.openWallet","Open a wallet to run a P2P round.","Abra uma carteira para executar uma rodada P2P.","translated"
"fusion.or","or","ou","translated"
"fusion.p2pMode","P2P Fusion","Fusion P2P","stable-term"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","Sem servidor — pares via Nostr + Tor. Faz a fusão automática quando ativado. Ativar desliga a Fusion por servidor.","translated"
"fusion.p2pModeLabel","P2P Fusion","Fusion P2P","stable-term"
"fusion.poolTiers","Pool tiers","Níveis do pool","translated"
"fusion.privacy","Privacy","Privacidade","translated"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Experimental wallet-hardening items are still pending, but your own outputs are verified before signing, so an invalid round fails safely.","As etapas 1–4 são executadas de ponta a ponta pelo caminho do servidor: a carteira entra em um pool, troca assinaturas cegas, envia via Tor e transmite o CoinJoin montado. A Fusion P2P executa a mesma rodada sem servidor, usando Nostr e Tor. Alguns itens experimentais de reforço da carteira ainda estão pendentes, mas suas próprias saídas são verificadas antes da assinatura, portanto uma rodada inválida falha com segurança.","translated"
"fusion.queryAuto","Query (Auto)","Consultar (automático)","translated"
"fusion.queryServer","Query Server","Consultar servidor","translated"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","Este é um servidor remoto, então o Tor é obrigatório — mas nenhum proxy Tor foi encontrado. Inicie o Tor acima ou a consulta será recusada.","translated"
"fusion.selected","● selected","● selecionado","translated"
"fusion.serverMode","Fuse Now using CashFusion server","Fundir agora usando o servidor CashFusion","translated"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","Funda via servidor CashFusion. Faz a fusão automática quando ativado.","translated"
"fusion.serverModeLabel","Server Fusion","Fusion por servidor","translated"
"fusion.serverParameters","Server parameters (live)","Parâmetros do servidor (ao vivo)","translated"
"fusion.servers","Fusion servers","Servidores Fusion","stable-term"
"fusion.step1","1. Pool joining.","1. Entrada no pool.","translated"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","Sua carteira anuncia ao servidor os UTXOs que deseja fundir.","translated"
"fusion.step2","2. Blind signing.","2. Assinatura cega.","translated"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","Os participantes geram endereços de saída cegos e trocam assinaturas cegas — ninguém descobre o mapeamento entre entradas e saídas.","translated"
"fusion.step3","3. Covert submission.","3. Envio reservado.","translated"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","Cada participante envia a transação via Tor ou conexão direta. O servidor monta a transação final.","translated"
"fusion.step4","4. Broadcast.","4. Transmissão.","translated"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","Todos os participantes transmitem a transação construída em conjunto.","translated"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","O CashFusion combina UTXOs de vários participantes em uma única transação, rompendo os vínculos entre entradas e saídas no histórico da blockchain. É não custodial — seus fundos nunca deixam seu controle.","translated"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","Sincronizando moedas da carteira — tente novamente em instantes.","translated"
"fusion.tiers","Tiers","Níveis","translated"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","O Tor está desligado. Consultas remotas de Fusion serão recusadas — ative o Tor acima ou use um servidor localhost.","translated"
"hardware.active","active","ativo","translated"
"hardware.advanced","Advanced (derivation path)","Avançado (caminho de derivação)","translated"
"hardware.airGap","air-gap","isolado","translated"
"hardware.beforeConnecting","Before connecting","Antes de conectar","translated"
"hardware.bip44Path","BIP44 path","Caminho BIP44","translated"
"hardware.comingSoon","Coming soon","Em breve","translated"
"hardware.connect","Connect {device}","Conectar {device}","translated"
"hardware.connecting","Connecting…","Conectando…","translated"
"hardware.connectionType","Connection type","Tipo de conexão","translated"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","O dispositivo mantém suas chaves privadas. As chaves nunca saem do hardware.","translated"
"hardware.disconnect","Disconnect","Desconectar","translated"
"hardware.enableKeystone","Enable Keystone (QR mode)","Ativar Keystone (modo QR)","translated"
"hardware.howItWorks","How it works","Como funciona","translated"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","A assinatura QR isolada do Keystone ainda não está pronta para fundos reais.","translated"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","Assinatura QR isolada — ainda não suportada","translated"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","USB: conecte → digite o PIN → abra o app Bitcoin Cash","translated"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","Bluetooth (Nano X): ative BLE → abra o app Bitcoin Cash","translated"
"hardware.ledgerStep3","The browser will show a device picker prompt","O navegador exibirá um seletor de dispositivo","translated"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","USB (WebHID) ou Bluetooth (Nano X)","translated"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","O suporte a {device} ainda não está pronto. Escolha outro dispositivo ou use a carteira de software.","translated"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","Instale o OneKey Bridge se necessário","translated"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","Conecte o OneKey por USB ou Bluetooth","translated"
"hardware.onekeyStep3","Unlock your device with your PIN","Desbloqueie o dispositivo com seu PIN","translated"
"hardware.onekeyStep4","Allow the connection when requested","Permita a conexão quando solicitado","translated"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","USB ou Bluetooth via OneKey Bridge","translated"
"hardware.path","Path","Caminho","translated"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","A carteira cria uma transação sem assinatura; o dispositivo mostra os detalhes e devolve apenas a assinatura após sua confirmação.","translated"
"hardware.softwareLabel","Software Wallet","Carteira de software","translated"
"hardware.softwareSubtitle","Encrypted keys stored on this device","Chaves criptografadas neste dispositivo","translated"
"hardware.title","Hardware Wallet","Carteira de hardware","translated"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","Instale o Trezor Suite — ele inclui o daemon Bridge","translated"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","Conecte o Trezor por USB ou emparelhe via Bluetooth","translated"
"hardware.trezorStep3","Unlock your device with your PIN","Desbloqueie o dispositivo com seu PIN","translated"
"hardware.trezorStep4","Allow the connection popup when it appears","Permita o popup de conexão quando aparecer","translated"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","USB ou Bluetooth via Trezor Bridge","translated"
"history.awaitingConfirmation","Awaiting confirmation","Aguardando confirmação","translated"
"history.block","Block","Bloco","translated"
"history.closeDetails","Close details","Fechar detalhes","translated"
"history.confirmations","{count} confirmations","{count} confirmações","stable-term"
"history.confirmed","Confirmed","Confirmada","translated"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","Os detalhes da transação não estão disponíveis no Electrum agora.","translated"
"history.fee","Fee","Taxa","translated"
"history.first","First","Primeira","translated"
"history.last","Last","Última","translated"
"history.loadDetailsFailed","Failed to load transaction details.","Falha ao carregar os detalhes da transação.","translated"
"history.loadingDetails","Loading transaction details…","Carregando detalhes da transação…","translated"
"history.newestFirst","Newest first","Mais recentes primeiro","translated"
"history.noActivity","No activity yet","Ainda não há atividade","translated"
"history.noData","No data available.","Nenhum dado disponível.","translated"
"history.noTransactions","No transactions available yet.","Ainda não há transações disponíveis.","translated"
"history.oldestFirst","Oldest first","Mais antigas primeiro","translated"
"history.openExplorer","Open in explorer","Abrir no explorador","translated"
"history.output","Output","Saída","translated"
"history.pending","Pending","Pendente","translated"
"history.perPage","{count} per page","{count} por página","translated"
"history.recipients","Recipients","Destinatários","translated"
"history.recorded","{count} recorded","{count} registradas","translated"
"history.senders","Senders","Remetentes","translated"
"history.status","Status","Status","stable-term"
"history.sync","Sync","Sincronizar","translated"
"history.timestamp","Timestamp","Data e hora","translated"
"history.title","Transaction History","Histórico de transações","translated"
"history.transaction","Transaction","Transação","stable-term"
"history.transactionHash","Transaction Hash","Hash da transação","translated"
"history.unavailable","Unavailable","Indisponível","translated"
"history.unconfirmed","Unconfirmed","Não confirmada","translated"
"history.unknown","Unknown","Desconhecido","translated"
"history.yourWallet","Your wallet","Sua carteira","translated"
"home.block","Block","Bloco","translated"
"home.confirmed","Confirmed","Confirmada","translated"
"home.latestActivity","Latest wallet activity","Atividade mais recente da carteira","translated"
"home.noQrCode","No QR code detected. Try again.","Nenhum código QR detectado. Tente novamente.","translated"
"home.noRecentActivity","No recent activity yet.","Ainda não há atividade recente.","translated"
"home.pending","Pending","Pendente","translated"
"home.pendingConfirmation","Pending confirmation","Aguardando confirmação","translated"
"home.portfolio","Portfolio","Portfólio","translated"
"home.quickActions","Quick Actions","Ações rápidas","translated"
"home.receive","Receive","Receber","translated"
"home.recentActivity","Recent Activity","Atividade recente","translated"
"home.scanQr","Scan QR","Ler QR","translated"
"home.send","Send","Enviar","translated"
"home.sync","Sync","Sincronizar","translated"
"home.syncing","Syncing…","Sincronizando…","translated"
"home.title","Home","Início","translated"
"home.toggleBalance","Toggle BCH and USD balance","Alternar saldo em BCH e USD","translated"
"home.unsupportedQr","QR scanned, but it is not a supported wallet payload.","QR lido, mas o conteúdo não é compatível com esta carteira.","translated"
"home.usdPriceUnavailable","USD price unavailable","Preço em USD indisponível","translated"
"home.usdUnavailable","USD unavailable","USD indisponível","translated"
"home.viewAll","View all","Ver tudo","translated"
"home.walletOverview","Wallet overview","Visão geral da carteira","translated"
"nav.actions","Actions","Ações","stable-term"
"nav.apps","Apps","Aplicativos","translated"
"nav.assets","Assets","Ativos","translated"
"nav.home","Home","Início","translated"
"nav.settings","Settings","Configurações","translated"
"network.chipnet","Chipnet","Chipnet","stable-term"
"network.mainnet","Mainnet","Mainnet","stable-term"
"network.switch","Switch network. Current: {network}","Trocar de rede. Atual: {network}","translated"
"nftConfig.capability","NFT Capability","Capacidade do NFT","translated"
"nftConfig.commitment","NFT Commitment","Commitment do NFT","translated"
"nftConfig.done","Done","Concluído","translated"
"nftConfig.minting","minting","emissão","translated"
"nftConfig.mintingDescription","one NFT authority that can create multiple next NFTs.","uma autoridade NFT que pode criar vários NFTs seguintes.","translated"
"nftConfig.mutable","mutable","mutável","translated"
"nftConfig.mutableDescription","one NFT that may update its commitment when spent.","um NFT que pode atualizar seu commitment ao ser gasto.","translated"
"nftConfig.none","none","nenhuma","translated"
"nftConfig.noneDescription","one immutable NFT, best for approvals or receipts.","um NFT imutável, ideal para aprovações ou recibos.","translated"
"nftConfig.placeholder","Up to 40 bytes","Até 40 bytes","translated"
"nftConfig.title","NFT Configuration","Configuração de NFT","translated"
"nostr.active","{active}/{total} active","{active}/{total} ativos","translated"
"nostr.add","Add","Adicionar","translated"
"nostr.chat","Nostr chat","Chat Nostr","translated"
"nostr.checking","Checking…","Verificando…","translated"
"nostr.checkRelayStatus","Check relay status","Verificar status dos relays","translated"
"nostr.connected","connected","conectado","translated"
"nostr.deriving","Deriving…","Derivando…","translated"
