"key","English (en)","French (fr)","Status"
"contractView.delete","Delete","Supprimer","translated"
"contractView.deleted","Contract deleted successfully!","Contrat supprimé avec succès !","translated"
"contractView.deleteFailed","Failed to delete contract.","Échec de la suppression du contrat.","translated"
"contractView.deleteFailedFallback","Failed to delete contract.","Échec de la suppression du contrat.","translated"
"contractView.enterMessage","Enter message for {name}","Saisissez un message pour {name}","translated"
"contractView.enterType","Enter a value matching type: {type}.","Saisissez une valeur correspondant au type : {type}.","translated"
"contractView.error","Error","Erreur","translated"
"contractView.errorPrefix","Error: {message}","Erreur : {message}","translated"
"contractView.fillInputs","2. Fill constructor inputs","2. Remplir les entrées du constructeur","translated"
"contractView.fillRequired","Fill in each required value before creating the contract.","Remplissez chaque valeur obligatoire avant de créer le contrat.","translated"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","Hash de 20 octets (hexadécimal) d’une adresse ou clé publique. Utilisez « Sélectionner une adresse ».","translated"
"contractView.howWorks","How this works","Fonctionnement","translated"
"contractView.instantiated","Instantiated Contracts","Contrats instanciés","translated"
"contractView.loadContractsFailed","Failed to load available contracts.","Échec du chargement des contrats disponibles.","translated"
"contractView.loadDetailsFailed","Failed to load contract details.","Échec du chargement des détails du contrat.","translated"
"contractView.loadInstancesFailed","Failed to load contract instances.","Échec du chargement des instances de contrat.","translated"
"contractView.noInputs","This contract template has no constructor inputs.","Ce modèle de contrat ne possède aucune entrée de constructeur.","translated"
"contractView.noInstances","No contract instances yet.","Aucune instance de contrat pour le moment.","translated"
"contractView.noQr","No QR code detected. Please try again.","Aucun QR code détecté. Réessayez.","translated"
"contractView.pickTemplate","1. Pick a template","1. Choisir un modèle","translated"
"contractView.privateKeyUnavailable","Private key unavailable for this address.","Clé privée indisponible pour cette adresse.","translated"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","Clé publique en hexadécimal. Utilisez « Sélectionner une adresse » pour remplir automatiquement.","translated"
"contractView.scanQr","Scan QR Code for {name}","Scanner le QR code de {name}","translated"
"contractView.selectAddress","Select Address","Sélectionner une adresse","translated"
"contractView.selectContract","Select a contract","Sélectionner un contrat","translated"
"contractView.selectData","Please select an address and enter data to sign.","Sélectionnez une adresse et saisissez les données à signer.","translated"
"contractView.selected","Selected {type}","{type} sélectionné","translated"
"contractView.signature","Signature","Signature","stable-term"
"contractView.signatureFailed","Failed to generate signature.","Échec de la génération de la signature.","translated"
"contractView.signatureGenerated","Signature generated successfully!","Signature générée avec succès !","translated"
"contractView.signingAddress","Signing address","Adresse de signature","translated"
"contractView.signMessage","Sign Message","Signer le message","translated"
"contractView.title","Contracts","Contrats","translated"
"contractView.tokenAddress","Token address","Adresse du token","translated"
"contractView.unavailable","Unavailable","Indisponible","translated"
"contractView.unknownError","Unknown error","Erreur inconnue","translated"
"contractView.update","Update","Mettre à jour","translated"
"contractView.updated","Contract updated successfully!","Contrat mis à jour avec succès !","translated"
"contractView.updateFailed","Failed to update contract.","Échec de la mise à jour du contrat.","translated"
"contractView.updateFailedFallback","Failed to update contract.","Échec de la mise à jour du contrat.","translated"
"derivation.accountIndex","Account index","Index du compte","translated"
"derivation.addressDerivation","Address derivation","Dérivation d’adresse","translated"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","Chemin de compte BIP44 utilisé pour dériver ce portefeuille.","translated"
"derivation.bip44AccountIndex","BIP44 account index","Index du compte BIP44","translated"
"derivation.bip44CoinType","BIP44 coin type","Type de coin BIP44","translated"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","Les marqueurs hardened sont fixes. Les adresses de réception et de monnaie sont dérivées automatiquement des branches /0/index et /1/index.","translated"
"derivation.coinType","Coin type","Type de coin","translated"
"derivation.customize","Customize","Personnaliser","translated"
"derivation.invalidActive","The active derivation path is invalid.","Le chemin de dérivation actif est invalide.","translated"
"derivation.invalidValues","Invalid BIP44 path values.","Valeurs de chemin BIP44 invalides.","translated"
"derivation.networkDefault","Network default: {value}","Valeur réseau par défaut : {value}","translated"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","Chemin de compte BIP44 fixe utilisé par ce portefeuille.","translated"
"derivation.pathPreview","Path preview","Aperçu du chemin","translated"
"derivation.range","Enter whole numbers from 0 to {max}.","Saisissez des nombres entiers de 0 à {max}.","translated"
"derivation.required","{field} is required.","{field} est obligatoire.","translated"
"derivation.usuallyZero","Usually 0","Généralement 0","translated"
"derivation.walletNetwork","Wallet network","Réseau du portefeuille","translated"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","Choisissez entre les fonds réels sur Mainnet et les fonds de test sur Chipnet.","translated"
"desktopMenu.about","About OPTN Wallet","À propos d’OPTN Wallet","translated"
"desktopMenu.cannotExport","This wallet cannot be exported.","Ce portefeuille ne peut pas être exporté.","translated"
"desktopMenu.exported","Wallet exported.","Portefeuille exporté.","translated"
"desktopMenu.exportFailed","Could not export the wallet.","Impossible d’exporter le portefeuille.","translated"
"desktopMenu.exportWallet","Export Wallet…","Exporter le portefeuille…","translated"
"desktopMenu.file","File","Fichier","translated"
"desktopMenu.help","Help","Aide","translated"
"desktopMenu.history","Transaction History","Historique des transactions","translated"
"desktopMenu.importNewWallet","Import New Wallet","Importer un nouveau portefeuille","translated"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","Ce fichier n’est pas un portefeuille OPTN valide.","translated"
"desktopMenu.lockWallet","Lock Wallet","Verrouiller le portefeuille","translated"
"desktopMenu.noSavedWallets","No saved wallets","Aucun portefeuille enregistré","translated"
"desktopMenu.openWallet","Open Wallet","Ouvrir le portefeuille","translated"
"desktopMenu.openWalletFile","Open Wallet File…","Ouvrir le fichier du portefeuille…","translated"
"desktopMenu.quit","Quit","Quitter","translated"
"desktopMenu.receive","Receive","Recevoir","translated"
"desktopMenu.refreshWallet","Refresh Wallet","Actualiser le portefeuille","translated"
"desktopMenu.send","Send","Envoyer","translated"
"desktopMenu.settings","Settings","Paramètres","translated"
"desktopMenu.toggleTheme","Toggle Theme","Changer de thème","translated"
"desktopMenu.view","View","Affichage","translated"
"desktopMenu.wallet","Wallet","Portefeuille","translated"
"desktopSecurity.authenticating","Authenticating…","Authentification…","translated"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","Échec du déverrouillage biométrique. Utilisez votre mot de passe.","translated"
"desktopSecurity.confirmPassword","Confirm password","Confirmer le mot de passe","translated"
"desktopSecurity.continue","Continue","Continuer","translated"
"desktopSecurity.enterPassword","Enter your password to unlock.","Saisissez votre mot de passe pour déverrouiller.","translated"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","Mot de passe oublié ? Supprimez le portefeuille et réimportez votre phrase de récupération.","translated"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","Mot de passe incorrect. Réessayez.","translated"
"desktopSecurity.loading","Loading wallet…","Chargement du portefeuille…","translated"
"desktopSecurity.mismatch","Passphrases do not match.","Les mots de passe ne correspondent pas.","translated"
"desktopSecurity.password","Password","Mot de passe","translated"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","Votre mot de passe n’est jamais enregistré — la clé de chiffrement est dérivée localement.","translated"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","Mot de passe (ou laisser vide)","translated"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","Échec de l’enregistrement du mot de passe. Réessayez.","translated"
"desktopSecurity.secureWallet","Secure your wallet","Sécuriser votre portefeuille","translated"
"desktopSecurity.securing","Securing…","Sécurisation…","translated"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","Définissez un mot de passe pour chiffrer votre portefeuille. Il sera nécessaire à chaque ouverture. Laissez vide pour utiliser uniquement la protection du compte système.","translated"
"desktopSecurity.unlock","Unlock","Déverrouiller","translated"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","Échec du déverrouillage. Réessayez.","translated"
"desktopSecurity.unlocking","Unlocking…","Déverrouillage…","translated"
"desktopSecurity.useBiometric","Use {label}","Utiliser {label}","translated"
"desktopSecurity.walletLocked","Wallet locked","Portefeuille verrouillé","translated"
"desktopWallet.addAnother","Add another wallet","Ajouter un portefeuille","translated"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","Ce portefeuille est déjà ouvert dans une autre fenêtre.","translated"
"desktopWallet.backToWallets","Back to wallets","Retour aux portefeuilles","translated"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","Échec du déverrouillage biométrique : {message}","translated"
"desktopWallet.biometricUnlock","Biometric unlock","Déverrouillage biométrique","translated"
"desktopWallet.cancel","Cancel","Annuler","translated"
"desktopWallet.delete","Delete","Supprimer","translated"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","Supprimer « {name} » ({network}, n° {id}) ? Le fichier .optn enregistré est conservé pour permettre une réimportation.","translated"
"desktopWallet.deleteLabel","Delete {name}","Supprimer {name}","translated"
"desktopWallet.deleting","Deleting…","Suppression…","translated"
"desktopWallet.device","Device","Appareil","translated"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","Saisissez le mot de passe de ce fichier de portefeuille.","translated"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","Il servira automatiquement à signer les envois des portefeuilles logiciels lorsqu’il est connecté. Les portefeuilles matériel autonomes avec leurs propres adresses de réception ne sont pas encore pris en charge.","translated"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","Connecter un portefeuille matériel","translated"
"desktopWallet.importFailed","Could not import this wallet file.","Impossible d’importer ce fichier de portefeuille.","translated"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","Mot de passe incorrect pour ce fichier de portefeuille.","translated"
"desktopWallet.open","Open","Ouvrir","translated"
"desktopWallet.openButton","Open","Ouvrir","translated"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","Impossible d’ouvrir ce portefeuille. Réessayez.","translated"
"desktopWallet.openFile","Open “{name}”","Ouvrir « {name} »","translated"
"desktopWallet.opening","Opening…","Ouverture…","translated"
"desktopWallet.password","Password","Mot de passe","translated"
"desktopWallet.unlock","Unlock","Déverrouiller","translated"
"desktopWallet.unlocking","Unlocking…","Déverrouillage…","translated"
"desktopWallet.useBiometric","Use {label}","Utiliser {label}","translated"
"desktopWallet.walletNumber","Wallet #{id}","Portefeuille n° {id}","stable-term"
"desktopWallet.yourWallets","Your wallets","Vos portefeuilles","translated"
"error.somethingWrong","Something went wrong.","Une erreur est survenue.","translated"
"experimental.cashFusionDescription","CashFusion is a non-custodial privacy protocol that combines your UTXOs with those of other users in a way that breaks transaction history linkage. Connect to a CashFusion server to participate. Your funds are never at risk — the protocol is trustless.","CashFusion est un protocole de confidentialité non dépositaire qui combine vos UTXO avec ceux d’autres utilisateurs afin de rompre le lien de l’historique des transactions. Connectez-vous à un serveur CashFusion pour participer. Vos fonds ne sont jamais en danger : le protocole ne repose pas sur la confiance.","translated"
"experimental.cashFusionWarning","Requires an active CashFusion server connection. Coming soon — toggle currently reserved.","Nécessite une connexion active à un serveur CashFusion. Bientôt disponible — ce bouton est réservé pour le moment.","translated"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","Ces fonctionnalités sont en cours de développement. Activez-les pour tester de nouvelles capacités ; elles peuvent changer ou rester incomplètes lors de futures mises à jour.","translated"
"experimental.disable","Disable","Désactiver","translated"
"experimental.enable","Enable","Activer","translated"
"experimental.features","Experimental Features","Fonctionnalités expérimentales","translated"
"experimental.privacy","Privacy","Confidentialité","translated"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","Les coffres Quantumroot protègent les fonds avec un schéma Schnorr LM-OTS résistant au quantique. Activé par défaut. Désactivez-le pour masquer Quantumroot si vous ne l’utilisez pas.","translated"
"experimental.quantumSafe","Quantum-safe","Résistant au quantique","translated"
"experimental.rpaBadge","BCH RPA","BCH RPA","stable-term"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","Génère un Paycode statique (paycode:q...) partageable publiquement. Les expéditeurs dérivent une adresse unique par paiement via ECDH, sans transaction de notification ni surcharge de la chaîne. Les fonds furtifs reçus apparaissent séparément comme « BCH furtif ». Le scan nécessite un serveur compatible Fulcrum-RPA.","translated"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","Adresses de paiement réutilisables (RPA)","translated"
"experimental.rpaWarning","Sending to paycodes requires signature grinding (not yet implemented). Receiving and scanning are available.","L’envoi vers des Paycodes exige du signature grinding (non implémenté). La réception et le scan sont disponibles.","translated"
"faucet.captcha","Answer the captcha question","Répondez à la question captcha","translated"
"faucet.clickLink","Click the Chipnet Faucet link","Cliquez sur le lien Faucet Chipnet","translated"
"faucet.copyAddress","Copy a BCH Chipnet address","Copiez une adresse BCH Chipnet","translated"
"faucet.getCoins","Press ""Get Coins""","Appuyez sur « Get Coins »","translated"
"faucet.instructions","Instructions","Instructions","stable-term"
"faucet.name","Chipnet Faucet","Faucet Chipnet","stable-term"
"faucet.pasteAddress","Paste your address","Collez votre adresse","translated"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","Sélectionnez « chipnet » dans la zone NETWORK","translated"
"faucet.tooltip","Get Chipnet BCH","Obtenir des BCH Chipnet","translated"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","Ajouter un serveur — hôte:port (ex. fusion.example.com:8789)","translated"
"fusion.autoTry","Auto — try each until one responds","Automatique — essayer chacun jusqu’à obtenir une réponse","translated"
"fusion.busy","A fusion round is already running for this wallet.","Un tour de Fusion est déjà en cours pour ce portefeuille.","translated"
"fusion.choose","Choose how to fuse:","Choisissez le mode de fusion :","translated"
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Some wallet-hardening items are still pending, but each round verifies your own outputs before signing, so it fails safely.","Le parcours serveur et la Fusion P2P exécutent de vrais CoinJoin sur n’importe quel réseau. Certains renforcements du portefeuille sont encore en attente, mais chaque tour vérifie vos sorties avant la signature et échoue en toute sécurité.","translated"
"fusion.coinjoinBoth","Both run a real CoinJoin.","Les deux exécutent un véritable CoinJoin.","translated"
"fusion.componentFeeRate","Component fee rate","Taux de frais du composant","translated"
"fusion.componentsPlayer","Components / player","Composants / participant","translated"
"fusion.connectingTor","Connecting via Tor{port}.","Connexion via Tor{port}.","translated"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","En attente du délai de refroidissement de la fusion automatique.","translated"
"fusion.disable","Disable","Désactiver","translated"
"fusion.donation","Donation","Don","translated"
"fusion.enable","Enable","Activer","translated"
"fusion.enabled","CashFusion Enabled","CashFusion activé","translated"
"fusion.enableP2p","Enable P2P Fusion","Activer la Fusion P2P","translated"
"fusion.enableServer","Enable Server Fusion","Activer la fusion par serveur","translated"
"fusion.excessFeeRange","Excess fee range","Plage de frais excédentaires","translated"
"fusion.experimentalPending","Experimental — still pending: {items}.","Expérimental — encore en attente : {items}.","translated"
"fusion.failed","Failed ✗","Échec ✗","translated"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","CashFusion compte volontairement peu de serveurs publics : un ensemble d’anonymat plus grand sur moins de serveurs vaut mieux qu’une dispersion excessive. Ajoutez votre serveur ou un serveur communautaire ci-dessus.","translated"
"fusion.fused","Fused ✓ — txid {txid}","Fusionnée ✓ — txid {txid}","translated"
"fusion.fusing","Fusing…","Fusion en cours…","translated"
"fusion.handshakeOk","Handshake OK ✓","Négociation réussie ✓","translated"
"fusion.handshaking","Handshaking…","Négociation…","translated"
"fusion.hide","Hide","Masquer","translated"
"fusion.howWorks","How does it work?","Comment cela fonctionne-t-il ?","translated"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","CashFusion nécessite une connexion TCP brute qu’un navigateur mobile/web ne peut pas ouvrir. Disponible dans l’application de bureau.","translated"
"fusion.more","more","plus","translated"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","Aucune pièce ne peut être fusionnée pour le moment.","translated"
"fusion.now","Fuse Now","Fusionner maintenant","translated"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","CoinJoin via le serveur configuré dans Serveurs. Nécessite Tor et au moins 2 participants dans un niveau.","translated"
"fusion.openWallet","Open a wallet to run a P2P round.","Ouvrez un portefeuille pour lancer un tour P2P.","translated"
"fusion.or","or","ou","translated"
"fusion.p2pMode","P2P Fusion","Fusion P2P","stable-term"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","Sans serveur — pairs via Nostr + Tor. Fusion automatique lorsque l’option est activée. L’activation désactive la fusion par serveur.","translated"
"fusion.p2pModeLabel","P2P Fusion","Fusion P2P","stable-term"
"fusion.poolTiers","Pool tiers","Niveaux du pool","translated"
"fusion.privacy","Privacy","Confidentialité","translated"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Experimental wallet-hardening items are still pending, but your own outputs are verified before signing, so an invalid round fails safely.","Les étapes 1 à 4 s’exécutent de bout en bout sur le parcours serveur : le portefeuille rejoint un pool, échange des signatures aveugles, soumet via Tor et diffuse le CoinJoin assemblé. La Fusion P2P exécute le même tour sans serveur via Nostr et Tor. Certains renforcements expérimentaux du portefeuille sont encore en attente, mais vos sorties sont vérifiées avant la signature : un tour invalide échoue donc en toute sécurité.","translated"
"fusion.queryAuto","Query (Auto)","Interroger (automatique)","translated"
"fusion.queryServer","Query Server","Interroger le serveur","translated"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","Il s’agit d’un serveur distant, Tor est donc requis — mais aucun proxy Tor n’a été trouvé. Démarrez Tor ci-dessus, sinon la requête sera refusée.","translated"
"fusion.selected","● selected","● sélectionné","translated"
"fusion.serverMode","Fuse Now using CashFusion server","Fusionner maintenant avec un serveur CashFusion","translated"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","Fusionne via un serveur CashFusion. Fusion automatique lorsque l’option est activée.","translated"
"fusion.serverModeLabel","Server Fusion","Fusion par serveur","translated"
"fusion.serverParameters","Server parameters (live)","Paramètres du serveur (en direct)","translated"
"fusion.servers","Fusion servers","Serveurs Fusion","stable-term"
"fusion.step1","1. Pool joining.","1. Rejoindre le pool.","translated"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","Votre portefeuille annonce au serveur les UTXO qu’il souhaite fusionner.","translated"
"fusion.step2","2. Blind signing.","2. Signature aveugle.","translated"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","Les participants génèrent des adresses de sortie aveugles et échangent des signatures aveugles : personne ne découvre la correspondance entre entrées et sorties.","translated"
"fusion.step3","3. Covert submission.","3. Soumission discrète.","translated"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","Chaque participant soumet la transaction via Tor ou une connexion directe. Le serveur assemble la transaction finale.","translated"
"fusion.step4","4. Broadcast.","4. Diffusion.","translated"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","Tous les participants diffusent la transaction construite ensemble.","translated"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","CashFusion combine les UTXO de nombreux participants en une seule transaction, rompant les liens entre entrées et sorties dans l’historique de la blockchain. Il est non dépositaire : vos fonds restent sous votre contrôle.","translated"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","Synchronisation des pièces du portefeuille — réessayez dans un instant.","translated"
"fusion.tiers","Tiers","Niveaux","translated"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","Tor est désactivé. Les requêtes Fusion distantes seront refusées — activez Tor ci-dessus ou utilisez un serveur localhost.","translated"
"hardware.active","active","actif","translated"
"hardware.advanced","Advanced (derivation path)","Avancé (chemin de dérivation)","translated"
"hardware.airGap","air-gap","isolé","translated"
"hardware.beforeConnecting","Before connecting","Avant la connexion","translated"
"hardware.bip44Path","BIP44 path","Chemin BIP44","translated"
"hardware.comingSoon","Coming soon","Bientôt disponible","translated"
"hardware.connect","Connect {device}","Connecter {device}","translated"
"hardware.connecting","Connecting…","Connexion…","translated"
"hardware.connectionType","Connection type","Type de connexion","translated"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","L’appareil conserve vos clés privées. Les clés ne quittent jamais le matériel.","translated"
"hardware.disconnect","Disconnect","Déconnecter","translated"
"hardware.enableKeystone","Enable Keystone (QR mode)","Activer Keystone (mode QR)","translated"
"hardware.howItWorks","How it works","Fonctionnement","translated"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","La signature QR isolée de Keystone n’est pas prête pour des fonds réels.","translated"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","Signature QR isolée — pas encore prise en charge","translated"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","USB : branchez → saisissez le PIN → ouvrez Bitcoin Cash","translated"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","Bluetooth (Nano X) : activez BLE → ouvrez Bitcoin Cash","translated"
"hardware.ledgerStep3","The browser will show a device picker prompt","Le navigateur affichera un sélecteur d’appareil","translated"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","USB (WebHID) ou Bluetooth (Nano X)","translated"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","La prise en charge de {device} n’est pas terminée. Choisissez un autre appareil ou utilisez le portefeuille logiciel.","translated"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","Installez OneKey Bridge si nécessaire","translated"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","Branchez OneKey en USB ou Bluetooth","translated"
"hardware.onekeyStep3","Unlock your device with your PIN","Déverrouillez l’appareil avec votre PIN","translated"
"hardware.onekeyStep4","Allow the connection when requested","Autorisez la connexion lorsqu’elle est demandée","translated"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","USB ou Bluetooth via OneKey Bridge","translated"
"hardware.path","Path","Chemin","translated"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","Le portefeuille crée une transaction non signée ; l’appareil affiche les détails et renvoie uniquement la signature après votre confirmation.","translated"
"hardware.softwareLabel","Software Wallet","Portefeuille logiciel","translated"
"hardware.softwareSubtitle","Encrypted keys stored on this device","Clés chiffrées stockées sur cet appareil","translated"
"hardware.title","Hardware Wallet","Portefeuille matériel","translated"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","Installez Trezor Suite — le daemon Bridge est inclus","translated"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","Branchez Trezor en USB ou associez-le en Bluetooth","translated"
"hardware.trezorStep3","Unlock your device with your PIN","Déverrouillez l’appareil avec votre PIN","translated"
"hardware.trezorStep4","Allow the connection popup when it appears","Autorisez la fenêtre de connexion lorsqu’elle apparaît","translated"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","USB ou Bluetooth via Trezor Bridge","translated"
"history.awaitingConfirmation","Awaiting confirmation","En attente de confirmation","translated"
"history.block","Block","Bloc","translated"
"history.closeDetails","Close details","Fermer les détails","translated"
"history.confirmations","{count} confirmations","{count} confirmations","stable-term"
"history.confirmed","Confirmed","Confirmée","translated"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","Les détails de la transaction sont actuellement indisponibles depuis Electrum.","translated"
"history.fee","Fee","Frais","translated"
"history.first","First","Première","translated"
"history.last","Last","Dernière","translated"
"history.loadDetailsFailed","Failed to load transaction details.","Échec du chargement des détails de la transaction.","translated"
"history.loadingDetails","Loading transaction details…","Chargement des détails de la transaction…","translated"
"history.newestFirst","Newest first","Plus récentes en premier","translated"
"history.noActivity","No activity yet","Aucune activité","translated"
"history.noData","No data available.","Aucune donnée","translated"
"history.noTransactions","No transactions available yet.","Aucune transaction","translated"
"history.oldestFirst","Oldest first","Plus anciennes en premier","translated"
"history.openExplorer","Open in explorer","Ouvrir dans l’explorateur","translated"
"history.output","Output","Sortie","translated"
"history.pending","Pending","En attente","translated"
"history.perPage","{count} per page","{count} par page","translated"
"history.recipients","Recipients","Destinataires","translated"
"history.recorded","{count} recorded","{count} enregistrées","translated"
"history.senders","Senders","Expéditeurs","translated"
"history.status","Status","État","stable-term"
"history.sync","Sync","Synchroniser","translated"
"history.timestamp","Timestamp","Horodatage","translated"
"history.title","Transaction History","Historique","translated"
"history.transaction","Transaction","Transaction","stable-term"
"history.transactionHash","Transaction Hash","Hachage de transaction","translated"
"history.unavailable","Unavailable","Indisponible","translated"
"history.unconfirmed","Unconfirmed","Non confirmée","translated"
"history.unknown","Unknown","Inconnue","translated"
"history.yourWallet","Your wallet","Votre portefeuille","translated"
"home.block","Block","Bloc","translated"
"home.confirmed","Confirmed","Confirmée","translated"
"home.latestActivity","Latest wallet activity","Dernière activité du portefeuille","translated"
"home.noQrCode","No QR code detected. Try again.","Aucun code QR détecté. Réessayez.","translated"
"home.noRecentActivity","No recent activity yet.","Aucune activité récente pour le moment.","translated"
"home.pending","Pending","En attente","translated"
"home.pendingConfirmation","Pending confirmation","Confirmation en attente","translated"
"home.portfolio","Portfolio","Portefeuille","translated"
"home.quickActions","Quick Actions","Actions rapides","translated"
"home.receive","Receive","Recevoir","translated"
"home.recentActivity","Recent Activity","Activité récente","translated"
"home.scanQr","Scan QR","Scanner un QR","translated"
"home.send","Send","Envoyer","translated"
"home.sync","Sync","Synchroniser","translated"
"home.syncing","Syncing…","Synchronisation…","translated"
"home.title","Home","Accueil","translated"
"home.toggleBalance","Toggle BCH and USD balance","Afficher le solde en BCH et en USD","translated"
"home.unsupportedQr","QR scanned, but it is not a supported wallet payload.","QR scanné, mais il ne s’agit pas d’une donnée de portefeuille prise en charge.","translated"
"home.usdPriceUnavailable","USD price unavailable","Prix USD indisponible","translated"
"home.usdUnavailable","USD unavailable","USD indisponible","translated"
"home.viewAll","View all","Tout afficher","translated"
"home.walletOverview","Wallet overview","Vue d’ensemble du portefeuille","translated"
"nav.actions","Actions","Actions","stable-term"
"nav.apps","Apps","Applications","translated"
"nav.assets","Assets","Actifs","translated"
"nav.home","Home","Accueil","translated"
"nav.settings","Settings","Paramètres","translated"
"network.chipnet","Chipnet","Chipnet","stable-term"
"network.mainnet","Mainnet","Mainnet","stable-term"
"network.switch","Switch network. Current: {network}","Changer de réseau. Actuel : {network}","translated"
"nftConfig.capability","NFT Capability","Capacité NFT","translated"
"nftConfig.commitment","NFT Commitment","Commitment NFT","translated"
"nftConfig.done","Done","Terminé","translated"
"nftConfig.minting","minting","émission","translated"
"nftConfig.mintingDescription","one NFT authority that can create multiple next NFTs.","une autorité NFT pouvant créer plusieurs NFT suivants.","translated"
