"key","English (en)","Russian (ru)","Status"
"contract.passwordProtection","Password Protection: Encrypts your private key with a user-defined password.","Защита паролем: шифрует закрытый ключ паролем, заданным пользователем.","translated"
"contract.simplicity","Simplicity: Easy to use and compatible with most Bitcoin wallets.","Простота: легко использовать, совместим с большинством Bitcoin-кошельков.","translated"
"contract.timeControl","Time-Based Control: Sets a deadline for the recipient to claim funds.","Контроль времени: задаёт срок, до которого получатель может получить средства.","translated"
"contract.transfer","TransferWithTimeout","TransferWithTimeout","stable-term"
"contract.transferDesc","TransferWithTimeout enables conditional transfers with a deadline. The recipient can claim funds before the timeout; the sender can reclaim them afterward.","TransferWithTimeout поддерживает условные переводы с крайним сроком. Получатель может получить средства до срока, а после него отправитель может вернуть их.","translated"
"contract.transferSpending","Spending Requirements: The recipient signs before the timeout; afterward, the sender can reclaim funds with a valid signature.","Условия расходования: получатель подписывает до срока; после него отправитель может вернуть средства действительной подписью.","translated"
"contract.transferUseCase","Use Cases: Useful for subscriptions, conditional payments, or escrow-like scenarios.","Применение: полезно для подписок, условных платежей и сценариев, похожих на escrow.","translated"
"contractPopup.back","Back","Назад","translated"
"contractPopup.chooseFunction","Select a function","Выберите функцию","translated"
"contractPopup.enterData","Please enter data to generate the message.","Введите данные для создания сообщения.","translated"
"contractPopup.enterMessage","Enter message for {name}","Введите сообщение для {name}","translated"
"contractPopup.enterValue","Enter {name}","Введите {name}","translated"
"contractPopup.fetchFailed","Failed to fetch keys.","Не удалось получить ключи.","translated"
"contractPopup.generated","Message generated successfully!","Сообщение создано.","translated"
"contractPopup.generateMessage","Generate Message","Создать сообщение","translated"
"contractPopup.generationFailed","Failed to generate message.","Не удалось создать сообщение.","translated"
"contractPopup.invalidFormat","Invalid {type} format. Please scan a valid QR code.","Недействительный формат {type}. Отсканируйте действительный QR.","translated"
"contractPopup.message","Message","Сообщение","stable-term"
"contractPopup.messageForCheck","message for checkdatasig","сообщение для checkdatasig","translated"
"contractPopup.noKeys","No keys found for address: {address}","Ключи для адреса не найдены: {address}","translated"
"contractPopup.noQr","No QR code detected. Please try again.","QR-код не обнаружен. Повторите попытку.","translated"
"contractPopup.scanFor","Scan QR Code for {name}","Сканировать QR для {name}","translated"
"contractPopup.select","Select","Выбрать","translated"
"contractPopup.selectAddress","Select Address","Выбрать адрес","translated"
"contractPopup.selected","Selected {type}","Выбрано: {type}","translated"
"contractPopup.title","Select a Function","Выберите функцию","translated"
"contractView.address","Address","Адрес","translated"
"contractView.addressCopied","Address copied to clipboard!","Адрес скопирован в буфер обмена!","translated"
"contractView.argumentTypeInfo","Argument type info","Сведения о типе аргумента","translated"
"contractView.back","Back","Назад","translated"
"contractView.balance","Balance","Баланс","translated"
"contractView.blockHeight","Current Block Height","Текущая высота блока","translated"
"contractView.blockHeightInfo","Blocks increment on an average interval of 10 minutes.","Блоки добавляются в среднем каждые 10 минут.","translated"
"contractView.constructorArgs","Constructor Arguments","Аргументы конструктора","translated"
"contractView.copyFailed","Failed to copy address.","Не удалось скопировать адрес.","translated"
"contractView.create","Create Contract","Создать контракт","translated"
"contractView.created","Contract created successfully!","Контракт успешно создан!","translated"
"contractView.createFailed","Failed to create contract: {message}","Не удалось создать контракт: {message}","translated"
"contractView.createStep","3. Create the contract","3. Создайте контракт","translated"
"contractView.datasigInfo","Data signature info","Сведения о подписи данных","translated"
"contractView.delete","Delete","Удалить","translated"
"contractView.deleted","Contract deleted successfully!","Контракт успешно удалён!","translated"
"contractView.deleteFailed","Failed to delete contract.","Не удалось удалить контракт.","translated"
"contractView.deleteFailedFallback","Failed to delete contract.","Не удалось удалить контракт.","translated"
"contractView.enterMessage","Enter message for {name}","Введите сообщение для {name}","translated"
"contractView.enterType","Enter a value matching type: {type}.","Введите значение типа {type}.","translated"
"contractView.error","Error","Ошибка","translated"
"contractView.errorPrefix","Error: {message}","Ошибка: {message}","translated"
"contractView.fillInputs","2. Fill constructor inputs","2. Заполните входы конструктора","translated"
"contractView.fillRequired","Fill in each required value before creating the contract.","Заполните все обязательные значения перед созданием контракта.","translated"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","20-байтный хеш адреса или открытого ключа (hex). Используйте «Выбрать адрес».","translated"
"contractView.howWorks","How this works","Как это работает","translated"
"contractView.instantiated","Instantiated Contracts","Созданные экземпляры контрактов","translated"
"contractView.loadContractsFailed","Failed to load available contracts.","Не удалось загрузить доступные контракты.","translated"
"contractView.loadDetailsFailed","Failed to load contract details.","Не удалось загрузить сведения о контракте.","translated"
"contractView.loadInstancesFailed","Failed to load contract instances.","Не удалось загрузить экземпляры контрактов.","translated"
"contractView.noInputs","This contract template has no constructor inputs.","В этом шаблоне контракта нет входов конструктора.","translated"
"contractView.noInstances","No contract instances yet.","Экземпляров контрактов пока нет.","translated"
"contractView.noQr","No QR code detected. Please try again.","QR-код не обнаружен. Повторите попытку.","translated"
"contractView.pickTemplate","1. Pick a template","1. Выберите шаблон","translated"
"contractView.privateKeyUnavailable","Private key unavailable for this address.","Закрытый ключ для этого адреса недоступен.","translated"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","Открытый ключ в шестнадцатеричном виде. Используйте «Выбрать адрес» для автоматического заполнения.","translated"
"contractView.scanQr","Scan QR Code for {name}","Сканировать QR-код для {name}","translated"
"contractView.selectAddress","Select Address","Выбрать адрес","translated"
"contractView.selectContract","Select a contract","Выберите контракт","translated"
"contractView.selectData","Please select an address and enter data to sign.","Выберите адрес и введите данные для подписи.","translated"
"contractView.selected","Selected {type}","Выбрано: {type}","translated"
"contractView.signature","Signature","Подпись","stable-term"
"contractView.signatureFailed","Failed to generate signature.","Не удалось создать подпись.","translated"
"contractView.signatureGenerated","Signature generated successfully!","Подпись успешно создана!","translated"
"contractView.signingAddress","Signing address","Адрес подписи","translated"
"contractView.signMessage","Sign Message","Подписать сообщение","translated"
"contractView.title","Contracts","Контракты","translated"
"contractView.tokenAddress","Token address","Адрес токена","translated"
"contractView.unavailable","Unavailable","Недоступно","translated"
"contractView.unknownError","Unknown error","Неизвестная ошибка","translated"
"contractView.update","Update","Обновить","translated"
"contractView.updated","Contract updated successfully!","Контракт успешно обновлён!","translated"
"contractView.updateFailed","Failed to update contract.","Не удалось обновить контракт.","translated"
"contractView.updateFailedFallback","Failed to update contract.","Не удалось обновить контракт.","translated"
"derivation.accountIndex","Account index","Индекс аккаунта","translated"
"derivation.addressDerivation","Address derivation","Деривация адреса","translated"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","Путь аккаунта BIP44, используемый для создания этого кошелька.","translated"
"derivation.bip44AccountIndex","BIP44 account index","Индекс аккаунта BIP44","translated"
"derivation.bip44CoinType","BIP44 coin type","Тип coin BIP44","translated"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","Маркеры hardened фиксированы. Адреса получения и сдачи автоматически выводятся из ветвей /0/index и /1/index.","translated"
"derivation.coinType","Coin type","Тип coin","translated"
"derivation.customize","Customize","Настроить","translated"
"derivation.invalidActive","The active derivation path is invalid.","Активный путь деривации недействителен.","translated"
"derivation.invalidValues","Invalid BIP44 path values.","Недействительные значения пути BIP44.","translated"
"derivation.networkDefault","Network default: {value}","Сетевое значение по умолчанию: {value}","translated"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","Фиксированный путь аккаунта BIP44, используемый этим кошельком.","translated"
"derivation.pathPreview","Path preview","Предпросмотр пути","translated"
"derivation.range","Enter whole numbers from 0 to {max}.","Введите целые числа от 0 до {max}.","translated"
"derivation.required","{field} is required.","{field} обязателен.","translated"
"derivation.usuallyZero","Usually 0","Обычно 0","translated"
"derivation.walletNetwork","Wallet network","Сеть кошелька","translated"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","Выберите реальные средства в Mainnet или тестовые средства в Chipnet.","translated"
"desktopMenu.about","About OPTN Wallet","Об OPTN Wallet","translated"
"desktopMenu.cannotExport","This wallet cannot be exported.","Этот кошелёк нельзя экспортировать.","translated"
"desktopMenu.exported","Wallet exported.","Кошелёк экспортирован.","translated"
"desktopMenu.exportFailed","Could not export the wallet.","Не удалось экспортировать кошелёк.","translated"
"desktopMenu.exportWallet","Export Wallet…","Экспортировать кошелёк…","translated"
"desktopMenu.file","File","Файл","translated"
"desktopMenu.help","Help","Помощь","translated"
"desktopMenu.history","Transaction History","История транзакций","translated"
"desktopMenu.importNewWallet","Import New Wallet","Импортировать новый кошелёк","translated"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","Это недопустимый файл кошелька OPTN.","translated"
"desktopMenu.lockWallet","Lock Wallet","Заблокировать кошелёк","translated"
"desktopMenu.noSavedWallets","No saved wallets","Нет сохранённых кошельков","translated"
"desktopMenu.openWallet","Open Wallet","Открыть кошелёк","translated"
"desktopMenu.openWalletFile","Open Wallet File…","Открыть файл кошелька…","translated"
"desktopMenu.quit","Quit","Выйти","translated"
"desktopMenu.receive","Receive","Получить","translated"
"desktopMenu.refreshWallet","Refresh Wallet","Обновить кошелёк","translated"
"desktopMenu.send","Send","Отправить","translated"
"desktopMenu.settings","Settings","Настройки","translated"
"desktopMenu.toggleTheme","Toggle Theme","Сменить тему","translated"
"desktopMenu.view","View","Вид","translated"
"desktopMenu.wallet","Wallet","Кошелёк","translated"
"desktopSecurity.authenticating","Authenticating…","Аутентификация…","translated"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","Не удалось разблокировать биометрией. Используйте пароль.","translated"
"desktopSecurity.confirmPassword","Confirm password","Подтвердите пароль","translated"
"desktopSecurity.continue","Continue","Продолжить","translated"
"desktopSecurity.enterPassword","Enter your password to unlock.","Введите пароль для разблокировки.","translated"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","Забыли пароль? Удалите кошелёк и повторно импортируйте фразу восстановления.","translated"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","Неверный пароль. Повторите попытку.","translated"
"desktopSecurity.loading","Loading wallet…","Загрузка кошелька…","translated"
"desktopSecurity.mismatch","Passphrases do not match.","Пароли не совпадают.","translated"
"desktopSecurity.password","Password","Пароль","translated"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","Пароль не сохраняется — ключ шифрования выводится локально.","translated"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","Пароль (или оставьте пустым)","translated"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","Не удалось сохранить пароль. Повторите попытку.","translated"
"desktopSecurity.secureWallet","Secure your wallet","Защитите кошелёк","translated"
"desktopSecurity.securing","Securing…","Защита…","translated"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","Задайте пароль для шифрования кошелька. Он понадобится при каждом открытии приложения. Оставьте поле пустым, чтобы использовать только защиту учётной записи ОС.","translated"
"desktopSecurity.unlock","Unlock","Разблокировать","translated"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","Не удалось разблокировать. Повторите попытку.","translated"
"desktopSecurity.unlocking","Unlocking…","Разблокировка…","translated"
"desktopSecurity.useBiometric","Use {label}","Использовать {label}","translated"
"desktopSecurity.walletLocked","Wallet locked","Кошелёк заблокирован","translated"
"desktopWallet.addAnother","Add another wallet","Добавить кошелёк","translated"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","Этот кошелёк уже открыт в другом окне.","translated"
"desktopWallet.backToWallets","Back to wallets","Назад к кошелькам","translated"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","Не удалось разблокировать биометрией: {message}","translated"
"desktopWallet.biometricUnlock","Biometric unlock","Биометрическая разблокировка","translated"
"desktopWallet.cancel","Cancel","Отмена","translated"
"desktopWallet.delete","Delete","Удалить","translated"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","Удалить «{name}» ({network}, №{id})? Сохранённый файл .optn останется, и его можно будет импортировать снова.","translated"
"desktopWallet.deleteLabel","Delete {name}","Удалить {name}","translated"
"desktopWallet.deleting","Deleting…","Удаление…","translated"
"desktopWallet.device","Device","Устройство","translated"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","Введите пароль файла кошелька.","translated"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","При подключении он будет автоматически подписывать отправку из программных кошельков. Отдельные аппаратные кошельки со своими адресами получения пока не поддерживаются.","translated"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","Подключить аппаратный кошелёк","translated"
"desktopWallet.importFailed","Could not import this wallet file.","Не удалось импортировать файл кошелька.","translated"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","Неверный пароль для файла кошелька.","translated"
"desktopWallet.open","Open","Открыть","translated"
"desktopWallet.openButton","Open","Открыть","translated"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","Не удалось открыть кошелёк. Повторите попытку.","translated"
"desktopWallet.openFile","Open “{name}”","Открыть «{name}»","translated"
"desktopWallet.opening","Opening…","Открытие…","translated"
"desktopWallet.password","Password","Пароль","translated"
"desktopWallet.unlock","Unlock","Разблокировать","translated"
"desktopWallet.unlocking","Unlocking…","Разблокировка…","translated"
"desktopWallet.useBiometric","Use {label}","Использовать {label}","translated"
"desktopWallet.walletNumber","Wallet #{id}","Кошелёк №{id}","stable-term"
"desktopWallet.yourWallets","Your wallets","Ваши кошельки","translated"
"error.somethingWrong","Something went wrong.","Что-то пошло не так.","translated"
"experimental.cashFusionDescription","CashFusion is a non-custodial privacy protocol that combines your UTXOs with those of other users in a way that breaks transaction history linkage. Connect to a CashFusion server to participate. Your funds are never at risk — the protocol is trustless.","CashFusion — некастодиальный протокол конфиденциальности, который объединяет ваши UTXO с UTXO других пользователей и разрывает связи истории транзакций. Подключитесь к серверу CashFusion для участия. Средства не подвергаются риску: протокол не требует доверия.","translated"
"experimental.cashFusionWarning","Requires an active CashFusion server connection. Coming soon — toggle currently reserved.","Требуется активное подключение к серверу CashFusion. Скоро; переключатель пока зарезервирован.","translated"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","Эти функции активно разрабатываются. Включите их для проверки новых возможностей; в будущих обновлениях они могут измениться или остаться незавершёнными.","translated"
"experimental.disable","Disable","Отключить","translated"
"experimental.enable","Enable","Включить","translated"
"experimental.features","Experimental Features","Экспериментальные функции","translated"
"experimental.privacy","Privacy","Конфиденциальность","translated"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","Хранилища Quantumroot защищают средства квантово-устойчивой схемой Schnorr LM-OTS. Включено по умолчанию. Отключите, чтобы скрыть Quantumroot, если не используете его.","translated"
"experimental.quantumSafe","Quantum-safe","Квантово-безопасный","translated"
"experimental.rpaBadge","BCH RPA","BCH RPA","stable-term"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","Создаёт статический Paycode (paycode:q...), которым можно делиться публично. Отправители выводят уникальный одноразовый адрес для каждого платежа через ECDH — без транзакции уведомления и раздувания цепочки. Полученные скрытые средства отображаются отдельно как «Скрытый BCH». Для сканирования нужен сервер Fulcrum-RPA.","translated"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","Повторно используемые платёжные адреса (RPA)","translated"
"experimental.rpaWarning","Sending to paycodes requires signature grinding (not yet implemented). Receiving and scanning are available.","Отправка на Paycode требует signature grinding (ещё не реализовано). Получение и сканирование доступны.","translated"
"faucet.captcha","Answer the captcha question","Ответьте на вопрос captcha","translated"
"faucet.clickLink","Click the Chipnet Faucet link","Нажмите ссылку Faucet Chipnet","translated"
"faucet.copyAddress","Copy a BCH Chipnet address","Скопируйте адрес BCH Chipnet","translated"
"faucet.getCoins","Press ""Get Coins""","Нажмите «Get Coins»","translated"
"faucet.instructions","Instructions","Инструкции","stable-term"
"faucet.name","Chipnet Faucet","Faucet Chipnet","stable-term"
"faucet.pasteAddress","Paste your address","Вставьте свой адрес","translated"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","Выберите «chipnet» в поле NETWORK","translated"
"faucet.tooltip","Get Chipnet BCH","Получить BCH Chipnet","translated"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","Добавить сервер — хост:порт (например fusion.example.com:8789)","translated"
"fusion.autoTry","Auto — try each until one responds","Автоматически — пробовать каждый до ответа","translated"
"fusion.busy","A fusion round is already running for this wallet.","Для этого кошелька уже выполняется раунд Fusion.","translated"
"fusion.choose","Choose how to fuse:","Выберите способ объединения:","translated"
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Some wallet-hardening items are still pending, but each round verifies your own outputs before signing, so it fails safely.","И серверный путь, и P2P Fusion выполняют настоящие CoinJoin в любой сети. Некоторые усиления кошелька ещё ожидаются, но каждый раунд проверяет ваши выходы до подписи и безопасно завершается при ошибке.","translated"
"fusion.coinjoinBoth","Both run a real CoinJoin.","Оба режима выполняют настоящий CoinJoin.","translated"
"fusion.componentFeeRate","Component fee rate","Ставка комиссии компонента","translated"
"fusion.componentsPlayer","Components / player","Компоненты / участник","translated"
"fusion.connectingTor","Connecting via Tor{port}.","Подключение через Tor{port}.","translated"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","Ожидание паузы автоматического объединения.","translated"
"fusion.disable","Disable","Отключить","translated"
"fusion.donation","Donation","Пожертвование","translated"
"fusion.enable","Enable","Включить","translated"
"fusion.enabled","CashFusion Enabled","CashFusion включён","translated"
"fusion.enableP2p","Enable P2P Fusion","Включить P2P Fusion","translated"
"fusion.enableServer","Enable Server Fusion","Включить Fusion через сервер","translated"
"fusion.excessFeeRange","Excess fee range","Диапазон дополнительной комиссии","translated"
"fusion.experimentalPending","Experimental — still pending: {items}.","Экспериментальная функция — ещё ожидается: {items}.","translated"
"fusion.failed","Failed ✗","Ошибка ✗","translated"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","У CashFusion намеренно мало публичных серверов: большой набор анонимности на меньшем числе серверов лучше, чем чрезмерное распределение. Добавьте выше свой сервер или сервер сообщества.","translated"
"fusion.fused","Fused ✓ — txid {txid}","Объединено ✓ — txid {txid}","translated"
"fusion.fusing","Fusing…","Объединение…","translated"
"fusion.handshakeOk","Handshake OK ✓","Связь установлена ✓","translated"
"fusion.handshaking","Handshaking…","Установка связи…","translated"
"fusion.hide","Hide","Скрыть","translated"
"fusion.howWorks","How does it work?","Как это работает?","translated"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","CashFusion требует необработанное TCP-соединение, которое мобильный или веб-браузер открыть не может. Доступно в приложении для компьютера.","translated"
"fusion.more","more","ещё","translated"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","Сейчас нет монет, подходящих для объединения.","translated"
"fusion.now","Fuse Now","Объединить сейчас","translated"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","CoinJoin через сервер, настроенный в разделе «Серверы». Нужны Tor и минимум 2 участника в одном уровне.","translated"
"fusion.openWallet","Open a wallet to run a P2P round.","Откройте кошелёк, чтобы запустить раунд P2P.","translated"
"fusion.or","or","или","translated"
"fusion.p2pMode","P2P Fusion","P2P Fusion","stable-term"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","Без сервера — пиры через Nostr + Tor. При включении выполняется автоматически и отключает Fusion через сервер.","translated"
"fusion.p2pModeLabel","P2P Fusion","P2P Fusion","stable-term"
"fusion.poolTiers","Pool tiers","Уровни пула","translated"
"fusion.privacy","Privacy","Конфиденциальность","translated"
"fusion.protocolNote","Steps 1–4 run end-to-end on the server path: the wallet joins a pool, exchanges blind signatures, submits over Tor, and broadcasts the assembled CoinJoin. P2P Fusion runs the same round without a server over Nostr and Tor. Experimental wallet-hardening items are still pending, but your own outputs are verified before signing, so an invalid round fails safely.","Шаги 1–4 полностью выполняются через сервер: кошелёк входит в пул, обменивается слепыми подписями, отправляет через Tor и транслирует собранный CoinJoin. P2P Fusion выполняет тот же раунд без сервера через Nostr и Tor. Некоторые экспериментальные усиления кошелька ещё ожидаются, но ваши выходы проверяются до подписи, поэтому недействительный раунд безопасно завершается ошибкой.","translated"
"fusion.queryAuto","Query (Auto)","Запрос (автоматически)","translated"
"fusion.queryServer","Query Server","Запросить сервер","translated"
"fusion.remoteTorRequired","This is a remote server, so Tor is required — but no Tor proxy was found. Start Tor above, or the query will be refused.","Это удалённый сервер, поэтому нужен Tor, но прокси Tor не найден. Запустите Tor выше, иначе запрос будет отклонён.","translated"
"fusion.selected","● selected","● выбран","translated"
"fusion.serverMode","Fuse Now using CashFusion server","Объединить сейчас через сервер CashFusion","translated"
"fusion.serverModeDescription","Fuse via a CashFusion server. Auto-fuses when on.","Объединение через сервер CashFusion. При включении выполняется автоматически.","translated"
"fusion.serverModeLabel","Server Fusion","Fusion через сервер","translated"
"fusion.serverParameters","Server parameters (live)","Параметры сервера (текущие)","translated"
"fusion.servers","Fusion servers","Серверы Fusion","stable-term"
"fusion.step1","1. Pool joining.","1. Вход в пул.","translated"
"fusion.step1Text","Your wallet announces UTXOs it wants to fuse to the server.","Кошелёк сообщает серверу, какие UTXO он хочет объединить.","translated"
"fusion.step2","2. Blind signing.","2. Слепая подпись.","translated"
"fusion.step2Text","Participants generate blinded output addresses and exchange blind signatures — nobody learns the input-to-output mapping.","Участники создают слепые адреса выходов и обмениваются слепыми подписями — никто не узнаёт соответствие входов и выходов.","translated"
"fusion.step3","3. Covert submission.","3. Скрытая отправка.","translated"
"fusion.step3Text","Each participant submits the transaction via Tor or direct connection. The server assembles the final transaction.","Каждый участник отправляет транзакцию через Tor или напрямую. Сервер собирает итоговую транзакцию.","translated"
"fusion.step4","4. Broadcast.","4. Трансляция.","translated"
"fusion.step4Text","All participants broadcast the jointly constructed transaction.","Все участники транслируют совместно созданную транзакцию.","translated"
"fusion.summary","CashFusion combines UTXOs from many participants into a single transaction, breaking blockchain history links between inputs and outputs. It is non-custodial — your funds never leave your control.","CashFusion объединяет UTXO многих участников в одну транзакцию, разрывая связи между входами и выходами в истории блокчейна. Это некастодиальный протокол: средства остаются под вашим контролем.","translated"
"fusion.syncingCoins","Syncing wallet coins — try again in a moment.","Синхронизация монет кошелька — повторите попытку через мгновение.","translated"
"fusion.tiers","Tiers","Уровни","translated"
"fusion.torOff","Tor is off. Remote fusion queries will be refused — enable Tor above, or use a localhost server.","Tor выключен. Удалённые запросы Fusion будут отклонены — включите Tor выше или используйте сервер localhost.","translated"
"hardware.active","active","активен","translated"
"hardware.advanced","Advanced (derivation path)","Расширенные (путь деривации)","translated"
"hardware.airGap","air-gap","изолированный","translated"
"hardware.beforeConnecting","Before connecting","Перед подключением","translated"
"hardware.bip44Path","BIP44 path","Путь BIP44","translated"
"hardware.comingSoon","Coming soon","Скоро","translated"
"hardware.connect","Connect {device}","Подключить {device}","translated"
"hardware.connecting","Connecting…","Подключение…","translated"
"hardware.connectionType","Connection type","Тип подключения","translated"
"hardware.description","The device holds your private keys. The wallet is the bridge. Keys never leave the hardware.","Устройство хранит ваши приватные ключи. Ключи не покидают устройство.","translated"
"hardware.disconnect","Disconnect","Отключить","translated"
"hardware.enableKeystone","Enable Keystone (QR mode)","Включить Keystone (режим QR)","translated"
"hardware.howItWorks","How it works","Как это работает","translated"
"hardware.keystoneHow","Keystone's air-gapped QR signing isn't finished yet — the app can't build or read the QR codes it would need to in this build. Support is planned but not ready for real funds.","Изолированная QR-подпись Keystone пока не готова для реальных средств.","translated"
"hardware.keystoneSubtitle","Air-gapped QR signing — not yet supported","Изолированная QR-подпись — пока не поддерживается","translated"
"hardware.ledgerStep1","USB: plug in → enter PIN → open Bitcoin Cash app","USB: подключите → введите PIN → откройте Bitcoin Cash","translated"
"hardware.ledgerStep2","Bluetooth (Nano X): enable BLE on device → open Bitcoin Cash app","Bluetooth (Nano X): включите BLE → откройте Bitcoin Cash","translated"
"hardware.ledgerStep3","The browser will show a device picker prompt","Браузер покажет окно выбора устройства","translated"
"hardware.ledgerSubtitle","USB (WebHID) or Bluetooth (Nano X)","USB (WebHID) или Bluetooth (Nano X)","translated"
"hardware.notSupported","{device} support isn't finished yet — it can't connect or sign in this build. Pick another device, or use the software wallet.","Поддержка {device} ещё не завершена. Выберите другое устройство или используйте программный кошелёк.","translated"
"hardware.onekeyStep1","Install OneKey Bridge if not already installed","При необходимости установите OneKey Bridge","translated"
"hardware.onekeyStep2","Plug in your OneKey device or pair via Bluetooth","Подключите OneKey по USB или Bluetooth","translated"
"hardware.onekeyStep3","Unlock your device with your PIN","Разблокируйте устройство с помощью PIN","translated"
"hardware.onekeyStep4","Allow the connection when requested","Разрешите подключение по запросу","translated"
"hardware.onekeySubtitle","USB or Bluetooth via OneKey Bridge","USB или Bluetooth через OneKey Bridge","translated"
"hardware.path","Path","Путь","translated"
"hardware.softwareHow","Your private keys never leave the device. The wallet builds an unsigned transaction, the device shows the details on its screen, you physically confirm, and the device sends back only the signature. Like Electron Cash's hardware wallet mode.","Кошелёк создаёт неподписанную транзакцию, устройство показывает детали, а после вашего подтверждения возвращает только подпись.","translated"
"hardware.softwareLabel","Software Wallet","Программный кошелёк","translated"
"hardware.softwareSubtitle","Encrypted keys stored on this device","Зашифрованные ключи на этом устройстве","translated"
"hardware.title","Hardware Wallet","Аппаратный кошелёк","translated"
"hardware.trezorStep1","Install Trezor Suite — it includes the Bridge daemon","Установите Trezor Suite — в него входит служба Bridge","translated"
"hardware.trezorStep2","Plug in your Trezor (USB) or pair via Bluetooth (newer models)","Подключите Trezor по USB или выполните сопряжение по Bluetooth","translated"
"hardware.trezorStep3","Unlock your device with your PIN","Разблокируйте устройство с помощью PIN","translated"
"hardware.trezorStep4","Allow the connection popup when it appears","Разрешите окно подключения при появлении","translated"
"hardware.trezorSubtitle","USB or Bluetooth via Trezor Bridge","USB или Bluetooth через Trezor Bridge","translated"
"history.awaitingConfirmation","Awaiting confirmation","Ожидание подтверждения","translated"
"history.block","Block","Блок","translated"
"history.closeDetails","Close details","Закрыть сведения","translated"
"history.confirmations","{count} confirmations","Подтверждений: {count}","stable-term"
"history.confirmed","Confirmed","Подтверждено","translated"
"history.detailsUnavailable","Transaction details are not available from Electrum right now.","Сведения о транзакции сейчас недоступны из Electrum.","translated"
"history.fee","Fee","Комиссия","translated"
"history.first","First","Первая","translated"
"history.last","Last","Последняя","translated"
"history.loadDetailsFailed","Failed to load transaction details.","Не удалось загрузить сведения о транзакции.","translated"
"history.loadingDetails","Loading transaction details…","Загрузка сведений о транзакции…","translated"
"history.newestFirst","Newest first","Сначала новые","translated"
"history.noActivity","No activity yet","Нет активности","translated"
"history.noData","No data available.","Нет данных","translated"
"history.noTransactions","No transactions available yet.","Нет транзакций","translated"
"history.oldestFirst","Oldest first","Сначала старые","translated"
"history.openExplorer","Open in explorer","Открыть в обозревателе","translated"
"history.output","Output","Выход","translated"
"history.pending","Pending","Ожидание","translated"
"history.perPage","{count} per page","{count} на странице","translated"
"history.recipients","Recipients","Получатели","translated"
"history.recorded","{count} recorded","{count} записей","translated"
"history.senders","Senders","Отправители","translated"
"history.status","Status","Статус","stable-term"
"history.sync","Sync","Синхронизировать","translated"
"history.timestamp","Timestamp","Временная метка","translated"
"history.title","Transaction History","История","translated"
