"key","English (en)","Hausa (Nigeria) (ha-NG)","Status"
"console.appLog","App Log","Littafin ayyukan manhaja","translated"
"console.clear","Clear","Share","translated"
"console.noEntries","No log entries yet.","Babu shigarwa a littafin ayyuka tukuna.","translated"
"console.placeholder","method [params…]","method [params…]","stable-term"
"console.rpc","Electrum RPC","Electrum RPC","stable-term"
"console.send","Send","Aika","translated"
"console.sending","…","…","stable-term"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","Rubuta: hanya siga1 siga2 — misali server.version ko blockchain.headers.subscribe","translated"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","Arbiter: amintaccen ɓangare da ke ba da izinin sakin kuɗi.","translated"
"contract.available","Available Contracts","Kwangilolin da ke samuwa","translated"
"contract.bip38","BIP38 (Password-Protected Private Keys)","BIP38 (Private keys masu kariyar kalmar sirri)","translated"
"contract.bip38Desc","The BIP38 contract secures private keys with a password. Its UTXOs require both the correct password and a valid signature.","Kwangilar BIP38 tana kare private keys da kalmar sirri. UTXO ɗinta na buƙatar kalmar sirri madaidaiciya da sa hannu mai inganci.","translated"
"contract.bip38Spending","Spending Requirements: Provide a valid owner signature and a data signature verifying the password.","Sharuɗɗan kashewa: samar da sa hannun mai shi mai inganci da sa hannun data da ke tabbatar da kalmar sirri.","translated"
"contract.bip38UseCase","Use Case: Ideal for protecting private keys against theft or unauthorized access, especially for long-term storage.","Amfani: ya dace don kare private keys daga sata ko shiga ba tare da izini ba, musamman wajen dogon ajiya.","translated"
"contract.enhancedTrust","Enhanced Trust: Useful for transactions requiring multiple trusted parties.","Ƙarin amincewa: ya dace da cinikin da ke buƙatar ɓangarori amintattu da yawa.","translated"
"contract.escrow","Escrow","Escrow","stable-term"
"contract.escrowDesc","The Escrow contract supports secure transactions between a buyer and seller with a trusted arbiter. Funds are released only with the arbiter’s approval.","Kwangilar Escrow tana taimakawa amintaccen ciniki tsakanin mai siya da mai sayarwa tare da amintaccen arbiter. Ana sakin kuɗi ne kawai da amincewar arbiter.","translated"
"contract.escrowMS2","EscrowMS2 (Multi-Party Escrow)","EscrowMS2 (Escrow na ɓangarori da yawa)","stable-term"
"contract.escrowMS2Desc","EscrowMS2 extends escrow with two arbiters. Funds can be released with one arbiter’s approval or both arbiters’ combined approval.","EscrowMS2 yana faɗaɗa escrow da arbiter biyu. Ana iya sakin kuɗi da amincewar arbiter ɗaya ko amincewar su biyun tare.","translated"
"contract.escrowMS2Spending","Spending Requirements: One arbiter or both arbiters provide valid signatures, and the full amount goes to the buyer or seller.","Sharuɗɗan kashewa: arbiter ɗaya ko su biyun suna samar da sa hannu mai inganci, kuma dukan adadin yana zuwa mai siya ko mai sayarwa.","translated"
"contract.escrowSecurity","Security: Funds remain locked until the arbiter approves, helping prevent fraud or disputes.","Tsaro: kuɗi suna nan a kulle har sai arbiter ya amince, wanda ke taimakawa hana zamba ko jayayya.","translated"
"contract.escrowSpending","Spending Requirements: The arbiter provides a valid signature and the full amount goes to the buyer’s or seller’s public-key-hash address.","Sharuɗɗan kashewa: arbiter yana samar da sa hannu mai inganci, kuma dukan adadin yana zuwa adireshin public-key-hash na mai siya ko mai sayarwa.","translated"
"contract.howToUse","How to Use Covenant Contracts","Yadda ake amfani da covenant contracts","translated"
"contract.howToUseText","Open the Contracts section, choose a contract type, configure its conditions, and deploy it. To spend from contract UTXOs, meet the specific spending requirements above. Detailed instructions and examples are available in the app documentation.","Buɗe sashen Kwangiloli, zaɓi nau’in kwangila, tsara sharuɗɗanta sannan ka tura ta. Don kashe daga UTXO na kwangila, cika takamaiman sharuɗɗan kashewa da ke sama. Ana samun cikakkun umarni da misalai a takardun manhaja.","translated"
"contract.intro","Covenant contracts in the OPTN Wallet are smart contracts that enforce rules for spending digital assets. Each contract locks funds in UTXOs that can only be spent by meeting predefined conditions.","Covenant contracts a OPTN Wallet smart contracts ne da ke tilasta dokokin kashe kadarorin dijital. Kowace kwangila tana kulle kuɗi a UTXO, kuma za a iya kashe su ne kawai idan an cika sharuɗɗan da aka riga aka tsara.","translated"
"contract.msvault","MSVault (Multi-Signature Vault)","MSVault (Vault mai sa hannu da yawa)","stable-term"
"contract.msvaultDesc","MSVault creates a secure shared or long-term vault requiring multiple signatures and a password. It enforces a minimum balance and time lock.","MSVault yana ƙirƙirar vault na haɗin gwiwa ko dogon lokaci da ke buƙatar sa hannu da yawa da kalmar sirri. Yana tilasta ƙaramin ma’auni da kulle na lokaci.","translated"
"contract.msvaultSpending","Spending Requirements: Provide a valid signature and password-verified data signature while maintaining at least 4000 satoshis, or use a valid signature after the time lock expires.","Sharuɗɗan kashewa: samar da sa hannu mai inganci da sa hannun data da kalmar sirri ta tabbatar, kana riƙe aƙalla satoshis 4000, ko amfani da ingantaccen sa hannu bayan kulle na lokaci ya ƙare.","translated"
"contract.msvaultUseCase","Use Case: Suitable for shared ownership or long-term storage with strict access controls.","Amfani: ya dace da mallakar haɗin gwiwa ko dogon ajiya mai tsauraran ikon shiga.","translated"
"contract.multipleArbiters","Multiple Arbiters: Two arbiters can authorize release of funds.","Arbiters da yawa: arbiter biyu na iya ba da izinin sakin kuɗi.","translated"
"contract.multiSignature","Multi-Signature: Requires signatures from multiple authorized parties.","Sa hannu da yawa: yana buƙatar sa hannun ɓangarori masu izini da yawa.","translated"
"contract.p2pkh","P2PKH (Pay-to-Public-Key-Hash)","P2PKH (Pay-to-Public-Key-Hash)","stable-term"
"contract.p2pkhDesc","P2PKH is a standard Bitcoin script that protects UTXOs by requiring a signature from the owner of a specified public-key hash.","P2PKH Bitcoin script ne na yau da kullum da ke kare UTXO ta hanyar buƙatar sa hannun mai hash na public key da aka nuna.","translated"
"contract.p2pkhSecurity","Security: A proven and reliable method for protecting digital assets.","Tsaro: ingantacciyar hanya mai aminci don kare kadarorin dijital.","translated"
"contract.p2pkhSpending","Spending Requirements: Provide a valid signature matching the public-key hash in the contract.","Sharuɗɗan kashewa: samar da sa hannu mai inganci da ya dace da public-key-hash na kwangila.","translated"
"contract.passwordProtection","Password Protection: Encrypts your private key with a user-defined password.","Kariyar kalmar sirri: tana ɓoye private key da kalmar sirrin da mai amfani ya saita.","translated"
"contract.simplicity","Simplicity: Easy to use and compatible with most Bitcoin wallets.","Sauƙi: mai sauƙin amfani kuma ya dace da yawancin Bitcoin wallets.","translated"
"contract.timeControl","Time-Based Control: Sets a deadline for the recipient to claim funds.","Ikon lokaci: yana saita wa’adin da mai karɓa zai karɓi kuɗi.","translated"
"contract.transfer","TransferWithTimeout","TransferWithTimeout","stable-term"
"contract.transferDesc","TransferWithTimeout enables conditional transfers with a deadline. The recipient can claim funds before the timeout; the sender can reclaim them afterward.","TransferWithTimeout yana ba da damar canja wuri mai sharaɗi tare da wa’adi. Mai karɓa zai iya karɓar kuɗi kafin wa’adin; daga baya mai aikawa zai iya dawo da su.","translated"
"contract.transferSpending","Spending Requirements: The recipient signs before the timeout; afterward, the sender can reclaim funds with a valid signature.","Sharuɗɗan kashewa: mai karɓa ya sa hannu kafin wa’adi; daga baya mai aikawa zai iya dawo da kuɗi da sa hannu mai inganci.","translated"
"contract.transferUseCase","Use Cases: Useful for subscriptions, conditional payments, or escrow-like scenarios.","Amfani: yana da amfani ga biyan kuɗin rajista, biyan kuɗi mai sharaɗi ko yanayin kama da escrow.","translated"
"contractPopup.back","Back","Koma","translated"
"contractPopup.chooseFunction","Select a function","Zaɓi aiki","translated"
"contractPopup.enterData","Please enter data to generate the message.","Shigar da bayanai don ƙirƙirar saƙo.","translated"
"contractPopup.enterMessage","Enter message for {name}","Shigar da saƙo don {name}","translated"
"contractPopup.enterValue","Enter {name}","Shigar da {name}","translated"
"contractPopup.fetchFailed","Failed to fetch keys.","Samo maɓalli ya gaza.","translated"
"contractPopup.generated","Message generated successfully!","An ƙirƙiri saƙo cikin nasara!","translated"
"contractPopup.generateMessage","Generate Message","Ƙirƙiri saƙo","translated"
"contractPopup.generationFailed","Failed to generate message.","Ƙirƙirar saƙo ya gaza.","translated"
"contractPopup.invalidFormat","Invalid {type} format. Please scan a valid QR code.","Tsarin {type} ba daidai ba. Duba ingantaccen QR.","translated"
"contractPopup.message","Message","Saƙo","stable-term"
"contractPopup.messageForCheck","message for checkdatasig","saƙo don checkdatasig","translated"
"contractPopup.noKeys","No keys found for address: {address}","Ba a sami maɓalli don adireshi ba: {address}","translated"
"contractPopup.noQr","No QR code detected. Please try again.","Ba a gano lambar QR ba. Sake gwadawa.","translated"
"contractPopup.scanFor","Scan QR Code for {name}","Duba QR don {name}","translated"
"contractPopup.select","Select","Zaɓi","translated"
"contractPopup.selectAddress","Select Address","Zaɓi adireshi","translated"
"contractPopup.selected","Selected {type}","An zaɓi {type}","translated"
"contractPopup.title","Select a Function","Zaɓi aiki","translated"
"contractView.address","Address","Adireshi","translated"
"contractView.addressCopied","Address copied to clipboard!","An kwafi adireshi zuwa clipboard!","translated"
"contractView.argumentTypeInfo","Argument type info","Bayanan nau’in argument","translated"
"contractView.back","Back","Koma","translated"
"contractView.balance","Balance","Ma’auni","translated"
"contractView.blockHeight","Current Block Height","Tsayin block na yanzu","translated"
"contractView.blockHeightInfo","Blocks increment on an average interval of 10 minutes.","Blocks suna ƙaruwa a matsakaicin tazarar mintuna 10.","translated"
"contractView.constructorArgs","Constructor Arguments","Muhawarar constructor","translated"
"contractView.copyFailed","Failed to copy address.","An kasa kwafin adireshi.","translated"
"contractView.create","Create Contract","Ƙirƙiri kwangila","translated"
"contractView.created","Contract created successfully!","An ƙirƙiri kwangila cikin nasara!","translated"
"contractView.createFailed","Failed to create contract: {message}","An kasa ƙirƙirar kwangila: {message}","translated"
"contractView.createStep","3. Create the contract","3. Ƙirƙiri kwangilar","translated"
"contractView.datasigInfo","Data signature info","Bayanan sa hannun data","translated"
"contractView.delete","Delete","Share","translated"
"contractView.deleted","Contract deleted successfully!","An share kwangila cikin nasara!","translated"
"contractView.deleteFailed","Failed to delete contract.","An kasa share kwangila.","translated"
"contractView.deleteFailedFallback","Failed to delete contract.","An kasa share kwangila.","translated"
"contractView.enterMessage","Enter message for {name}","Shigar da saƙo don {name}","translated"
"contractView.enterType","Enter a value matching type: {type}.","Shigar da darajar da ta dace da nau’in: {type}.","translated"
"contractView.error","Error","Kuskure","translated"
"contractView.errorPrefix","Error: {message}","Kuskure: {message}","translated"
"contractView.fillInputs","2. Fill constructor inputs","2. Cika abubuwan shigar da constructor","translated"
"contractView.fillRequired","Fill in each required value before creating the contract.","Cika kowace darajar da ake buƙata kafin ƙirƙirar kwangila.","translated"
"contractView.hashInfo","20-byte hash (hex) of an address/public key. Use “Select Address”.","Hash na bytes 20 (hex) na adireshi/public key. Yi amfani da “Zaɓi adireshi”.","translated"
"contractView.howWorks","How this works","Yadda yake aiki","translated"
"contractView.instantiated","Instantiated Contracts","Kwangilolin da aka ƙirƙira","translated"
"contractView.loadContractsFailed","Failed to load available contracts.","An kasa loda kwangilolin da ke samuwa.","translated"
"contractView.loadDetailsFailed","Failed to load contract details.","An kasa loda bayanan kwangila.","translated"
"contractView.loadInstancesFailed","Failed to load contract instances.","An kasa loda kwangilolin da aka ƙirƙira.","translated"
"contractView.noInputs","This contract template has no constructor inputs.","Wannan samfurin kwangila ba shi da abubuwan shigar constructor.","translated"
"contractView.noInstances","No contract instances yet.","Babu kwangila da aka ƙirƙira tukuna.","translated"
"contractView.noQr","No QR code detected. Please try again.","Ba a gano QR code ba. Sake gwadawa.","translated"
"contractView.pickTemplate","1. Pick a template","1. Zaɓi samfurin","translated"
"contractView.privateKeyUnavailable","Private key unavailable for this address.","Private key ba ya samuwa ga wannan adireshin.","translated"
"contractView.publicKeyInfo","Public key in hex. Use “Select Address” to fill automatically.","Public key a hex. Yi amfani da “Zaɓi adireshi” don cikawa kai tsaye.","translated"
"contractView.scanQr","Scan QR Code for {name}","Duba QR code na {name}","translated"
"contractView.selectAddress","Select Address","Zaɓi adireshi","translated"
"contractView.selectContract","Select a contract","Zaɓi kwangila","translated"
"contractView.selectData","Please select an address and enter data to sign.","Da fatan zaɓi adireshi ka shigar da data don sa hannu.","translated"
"contractView.selected","Selected {type}","An zaɓi {type}","translated"
"contractView.signature","Signature","Sa hannu","stable-term"
"contractView.signatureFailed","Failed to generate signature.","An kasa samar da sa hannu.","translated"
"contractView.signatureGenerated","Signature generated successfully!","An samar da sa hannu cikin nasara!","translated"
"contractView.signingAddress","Signing address","Adireshin sa hannu","translated"
"contractView.signMessage","Sign Message","Sa hannu kan saƙo","translated"
"contractView.title","Contracts","Kwangiloli","translated"
"contractView.tokenAddress","Token address","Adireshin token","translated"
"contractView.unavailable","Unavailable","Ba ya samuwa","translated"
"contractView.unknownError","Unknown error","Kuskuren da ba a sani ba","translated"
"contractView.update","Update","Sabunta","translated"
"contractView.updated","Contract updated successfully!","An sabunta kwangila cikin nasara!","translated"
"contractView.updateFailed","Failed to update contract.","An kasa sabunta kwangila.","translated"
"contractView.updateFailedFallback","Failed to update contract.","An kasa sabunta kwangila.","translated"
"derivation.accountIndex","Account index","Fihirisar account","translated"
"derivation.addressDerivation","Address derivation","Samo adireshi","translated"
"derivation.addressDerivationDescription","BIP44 account path used to derive this wallet.","Hanyar account na BIP44 da ake amfani da ita wajen samo wannan wallet.","translated"
"derivation.bip44AccountIndex","BIP44 account index","Fihirisar account na BIP44","translated"
"derivation.bip44CoinType","BIP44 coin type","Nau’in coin na BIP44","translated"
"derivation.branchDescription","Hardened markers are fixed. Receive and change addresses are derived automatically from the /0/index and /1/index branches.","Alamomin hardened a kulle suke. Ana samo adireshin karɓa da canji kai tsaye daga rassan /0/index da /1/index.","translated"
"derivation.coinType","Coin type","Nau’in coin","translated"
"derivation.customize","Customize","Keɓance","translated"
"derivation.invalidActive","The active derivation path is invalid.","Hanyar derivation mai aiki ba daidai ba ce.","translated"
"derivation.invalidValues","Invalid BIP44 path values.","Ƙimomin hanyar BIP44 ba daidai ba ne.","translated"
"derivation.networkDefault","Network default: {value}","Tsohon ƙimar hanyar sadarwa: {value}","translated"
"derivation.pathDescription","The fixed BIP44 account path used by this wallet.","Kafaffen hanyar account na BIP44 da wannan wallet ke amfani da ita.","translated"
"derivation.pathPreview","Path preview","Samfotin hanya","translated"
"derivation.range","Enter whole numbers from 0 to {max}.","Shigar da cikakkun lambobi daga 0 zuwa {max}.","translated"
"derivation.required","{field} is required.","Ana buƙatar {field}.","translated"
"derivation.usuallyZero","Usually 0","Yawanci 0","translated"
"derivation.walletNetwork","Wallet network","Hanyar sadarwar wallet","translated"
"derivation.walletNetworkDescription","Choose whether this wallet connects to live funds on Mainnet or test funds on Chipnet.","Zaɓi kuɗin gaske a Mainnet ko kuɗin gwaji a Chipnet.","translated"
"desktopMenu.about","About OPTN Wallet","Game da OPTN Wallet","translated"
"desktopMenu.cannotExport","This wallet cannot be exported.","Ba za a iya fitar da wannan walat ba.","translated"
"desktopMenu.exported","Wallet exported.","An fitar da walat.","translated"
"desktopMenu.exportFailed","Could not export the wallet.","An kasa fitar da walat.","translated"
"desktopMenu.exportWallet","Export Wallet…","Fitar da walat…","translated"
"desktopMenu.file","File","Fayil","translated"
"desktopMenu.help","Help","Taimako","translated"
"desktopMenu.history","Transaction History","Tarihin ma’amaloli","translated"
"desktopMenu.importNewWallet","Import New Wallet","Shigo da sabon walat","translated"
"desktopMenu.invalidWalletFile","That is not a valid OPTN wallet file.","Wannan ba ingantaccen fayil ɗin walat na OPTN ba ne.","translated"
"desktopMenu.lockWallet","Lock Wallet","Kulle walat","translated"
"desktopMenu.noSavedWallets","No saved wallets","Babu walat da aka ajiye","translated"
"desktopMenu.openWallet","Open Wallet","Buɗe walat","translated"
"desktopMenu.openWalletFile","Open Wallet File…","Buɗe fayil ɗin walat…","translated"
"desktopMenu.quit","Quit","Fita","translated"
"desktopMenu.receive","Receive","Karɓa","translated"
"desktopMenu.refreshWallet","Refresh Wallet","Sabunta walat","translated"
"desktopMenu.send","Send","Aika","translated"
"desktopMenu.settings","Settings","Saituna","translated"
"desktopMenu.toggleTheme","Toggle Theme","Canza jigo","translated"
"desktopMenu.view","View","Duba","translated"
"desktopMenu.wallet","Wallet","Walat","translated"
"desktopSecurity.authenticating","Authenticating…","Ana tantancewa…","translated"
"desktopSecurity.biometricFailed","Biometric unlock failed. Use your password.","Buɗewar biometric ta kasa. Yi amfani da kalmar sirri.","translated"
"desktopSecurity.confirmPassword","Confirm password","Tabbatar da kalmar sirri","translated"
"desktopSecurity.continue","Continue","Ci gaba","translated"
"desktopSecurity.enterPassword","Enter your password to unlock.","Shigar da kalmar sirri don buɗewa.","translated"
"desktopSecurity.forgotPassword","Forgot your password? Remove the wallet and re-import your seed phrase.","Ka manta kalmar sirri? Cire walat sannan ka sake shigo da jumlar dawo da walat.","translated"
"desktopSecurity.incorrect","Incorrect passphrase. Please try again.","Kalmar sirri ba daidai ba ce. Sake gwadawa.","translated"
"desktopSecurity.loading","Loading wallet…","Ana loda walat…","translated"
"desktopSecurity.mismatch","Passphrases do not match.","Kalmomin sirri ba su yi daidai ba.","translated"
"desktopSecurity.password","Password","Kalmar sirri","translated"
"desktopSecurity.passwordNeverStored","Your password is never stored — it derives your encryption key locally.","Ba a taɓa ajiye kalmar sirri ba — ana samar da maɓallin ɓoyewa a gida.","translated"
"desktopSecurity.passwordPlaceholder","Password (or leave blank)","Kalmar sirri (ko bar ta a sarari)","translated"
"desktopSecurity.saveFailed","Failed to save passphrase. Please try again.","Ajiye kalmar sirri ya kasa. Sake gwadawa.","translated"
"desktopSecurity.secureWallet","Secure your wallet","Kare walat ɗinka","translated"
"desktopSecurity.securing","Securing…","Ana karewa…","translated"
"desktopSecurity.setupDescription","Set a password to encrypt your wallet. You'll need it every time you open the app. Leave blank to use OS-account protection only.","Saita kalmar sirri don ɓoye walat. Za ka buƙace ta duk lokacin da ka buɗe manhajar. Bar ta a sarari don amfani da kariyar asusun OS kawai.","translated"
"desktopSecurity.unlock","Unlock","Buɗe","translated"
"desktopSecurity.unlockFailed","Unlock failed. Please try again.","Buɗewa ta kasa. Sake gwadawa.","translated"
"desktopSecurity.unlocking","Unlocking…","Ana buɗewa…","translated"
"desktopSecurity.useBiometric","Use {label}","Yi amfani da {label}","translated"
"desktopSecurity.walletLocked","Wallet locked","An kulle walat","translated"
"desktopWallet.addAnother","Add another wallet","Ƙara wani wallet","translated"
"desktopWallet.alreadyOpen","That wallet is already open in another window.","An riga an buɗe wannan wallet a wata taga.","translated"
"desktopWallet.backToWallets","Back to wallets","Koma wallets","translated"
"desktopWallet.biometricFailed","Biometric unlock failed: {message}","Buɗewar biometric ta gaza: {message}","translated"
"desktopWallet.biometricUnlock","Biometric unlock","Buɗewar biometric","translated"
"desktopWallet.cancel","Cancel","Soke","translated"
"desktopWallet.delete","Delete","Share","translated"
"desktopWallet.deleteConfirm","Delete “{name}” ({network}, #{id})? Its saved .optn file is kept, so you can re-import it later.","Share “{name}” ({network}, #{id})? Za a riƙe fayil ɗin .optn da aka ajiye domin ka sake shigo da shi daga baya.","translated"
"desktopWallet.deleteLabel","Delete {name}","Share {name}","translated"
"desktopWallet.deleting","Deleting…","Ana sharewa…","translated"
"desktopWallet.device","Device","Na’ura","translated"
"desktopWallet.filePasswordDescription","Enter this wallet file's password.","Shigar da kalmar sirrin wannan fayil ɗin wallet.","translated"
"desktopWallet.hardwareDescription","It will be used automatically to sign sends from software wallets while connected. Standalone hardware-only wallets with their own receive addresses are not supported yet.","Za a yi amfani da ita kai tsaye wajen sa hannu kan aikawa daga software wallets idan an haɗa ta. Hardware-only wallets masu adireshin karɓa nasu ba su goyan baya tukuna.","translated"
"desktopWallet.hardwareTitle","Connect Hardware Wallet","Haɗa hardware wallet","translated"
"desktopWallet.importFailed","Could not import this wallet file.","An kasa shigo da wannan fayil ɗin wallet.","translated"
"desktopWallet.incorrectFilePassword","Incorrect password for this wallet file.","Kalmar sirrin wannan fayil ɗin wallet ba daidai ba ce.","translated"
"desktopWallet.open","Open","Buɗe","translated"
"desktopWallet.openButton","Open","Buɗe","translated"
"desktopWallet.openFailed","Could not open this wallet. Please try again.","An kasa buɗe wannan wallet. Sake gwadawa.","translated"
"desktopWallet.openFile","Open “{name}”","Buɗe “{name}”","translated"
"desktopWallet.opening","Opening…","Ana buɗewa…","translated"
"desktopWallet.password","Password","Kalmar sirri","translated"
"desktopWallet.unlock","Unlock","Buɗe kulle","translated"
"desktopWallet.unlocking","Unlocking…","Ana buɗe kulle…","translated"
"desktopWallet.useBiometric","Use {label}","Yi amfani da {label}","translated"
"desktopWallet.walletNumber","Wallet #{id}","Wallet #{id}","stable-term"
"desktopWallet.yourWallets","Your wallets","Wallets ɗinka","translated"
"error.somethingWrong","Something went wrong.","Wani abu ya faru ba daidai ba.","translated"
"experimental.cashFusionDescription","CashFusion is a non-custodial privacy protocol that combines your UTXOs with those of other users in a way that breaks transaction history linkage. Connect to a CashFusion server to participate. Your funds are never at risk — the protocol is trustless.","CashFusion yarjejeniya ce ta sirri marar riƙon kuɗi wadda ke haɗa UTXO ɗinka da na wasu don karya alaƙar tarihin ciniki. Haɗa CashFusion server don shiga. Kuɗinka ba sa cikin haɗari — yarjejeniyar ba ta buƙatar amincewa.","translated"
"experimental.cashFusionWarning","Requires an active CashFusion server connection. Coming soon — toggle currently reserved.","Ana buƙatar haɗin CashFusion server mai aiki. Zai zo nan gaba — an ajiye wannan sauyawa a yanzu.","translated"
"experimental.description","These features are under active development. Enable them to test new capabilities — they may change or be incomplete in future updates.","Ana ci gaba da haɓaka waɗannan fasaloli. Kunna su don gwada sabbin iko — za su iya canja ko su kasance ba su cika ba a sabuntawa na gaba.","translated"
"experimental.disable","Disable","Kashe","translated"
"experimental.enable","Enable","Kunna","translated"
"experimental.features","Experimental Features","Fasalolin gwaji","translated"
"experimental.privacy","Privacy","Sirri","translated"
"experimental.quantumDescription","Quantumroot vaults protect funds with a quantum-resistant Schnorr LM-OTS scheme. Enabled by default. Turn off to hide Quantumroot from the wallet if you don't use it.","Quantumroot vaults suna kare kuɗi da tsarin Schnorr LM-OTS mai jure quantum. A kunne ta tsohuwa. Kashe don ɓoye Quantumroot idan ba ka amfani da shi.","translated"
"experimental.quantumSafe","Quantum-safe","Amintacce ga quantum","translated"
"experimental.rpaBadge","BCH RPA","BCH RPA","stable-term"
"experimental.rpaDescription","Generates a static paycode (paycode:q...) that you can share publicly. Senders derive a unique one-time address for each payment via ECDH — no notification transaction, no chain bloat. Received stealth funds appear separately as 'Stealth BCH'. Scanning requires a Fulcrum-RPA capable server.","Yana ƙirƙirar Paycode na dindindin (paycode:q...) da za ka iya raba a fili. Masu aikawa suna samo adireshi na sau ɗaya na musamman ga kowane biyan kuɗi ta ECDH — babu cinikin sanarwa ko kumburin sarka. Kuɗin ɓoye da aka karɓa suna bayyana daban a matsayin “BCH na ɓoye”. Dubawa na buƙatar server mai Fulcrum-RPA.","translated"
"experimental.rpaTitle","Reusable Payment Addresses (RPA)","Adireshin biyan kuɗi da za a sake amfani (RPA)","translated"
"experimental.rpaWarning","Sending to paycodes requires signature grinding (not yet implemented). Receiving and scanning are available.","Aika zuwa Paycode yana buƙatar signature grinding (ba a aiwatar ba tukuna). Karɓa da dubawa suna samuwa.","translated"
"faucet.captcha","Answer the captcha question","Amsa tambayar captcha","translated"
"faucet.clickLink","Click the Chipnet Faucet link","Danna hanyar Chipnet Faucet","translated"
"faucet.copyAddress","Copy a BCH Chipnet address","Kwafi adireshin BCH na Chipnet","translated"
"faucet.getCoins","Press ""Get Coins""","Danna “Get Coins”","translated"
"faucet.instructions","Instructions","Umurni","stable-term"
"faucet.name","Chipnet Faucet","Chipnet Faucet","stable-term"
"faucet.pasteAddress","Paste your address","Manna adireshinka","translated"
"faucet.selectNetwork","Select ""chipnet"" in the NETWORK box","Zaɓi “chipnet” a akwatin NETWORK","translated"
"faucet.tooltip","Get Chipnet BCH","Samo BCH na Chipnet","translated"
"fusion.addPlaceholder","Add server — host:port (e.g. fusion.example.com:8789)","Ƙara server — host:port (misali fusion.example.com:8789)","translated"
"fusion.autoTry","Auto — try each until one responds","Kai tsaye — gwada kowane ɗaya har sai ya amsa","translated"
"fusion.busy","A fusion round is already running for this wallet.","Akwai zagayen Fusion da ke gudana tuni ga wannan wallet.","translated"
"fusion.choose","Choose how to fuse:","Zaɓi yadda za a haɗa:","translated"
"fusion.coinjoinAnyNetwork","Both the server path and P2P Fusion run real CoinJoins on any network. Some wallet-hardening items are still pending, but each round verifies your own outputs before signing, so it fails safely.","Hanyar server da P2P Fusion duk suna gudanar da CoinJoin na gaske a kowace hanyar sadarwa. Wasu abubuwan ƙarfafa wallet har yanzu ana jira, amma kowane zagaye yana tabbatar da fitarwarka kafin sa hannu, don haka yana ƙare lafiya idan akwai kuskure.","translated"
"fusion.coinjoinBoth","Both run a real CoinJoin.","Dukansu suna gudanar da CoinJoin na gaske.","translated"
"fusion.componentFeeRate","Component fee rate","Adadin kuɗin abu","translated"
"fusion.componentsPlayer","Components / player","Abubuwa / ɗan wasa","translated"
"fusion.connectingTor","Connecting via Tor{port}.","Ana haɗawa ta Tor{port}.","translated"
"fusion.cooldown","Waiting for the auto-fusion cooldown.","Ana jiran lokacin hutun haɗawa kai tsaye.","translated"
"fusion.disable","Disable","Kashe","translated"
"fusion.donation","Donation","Gudummawa","translated"
"fusion.enable","Enable","Kunna","translated"
"fusion.enabled","CashFusion Enabled","CashFusion yana kunne","translated"
"fusion.enableP2p","Enable P2P Fusion","Kunna P2P Fusion","translated"
"fusion.enableServer","Enable Server Fusion","Kunna Fusion ta server","translated"
"fusion.excessFeeRange","Excess fee range","Rangwamen ƙarin kuɗi","translated"
"fusion.experimentalPending","Experimental — still pending: {items}.","Na gwaji — har yanzu ana jira: {items}.","translated"
"fusion.failed","Failed ✗","Ya gaza ✗","translated"
"fusion.fewServers","CashFusion intentionally has few public servers — a larger anonymity set on fewer servers is better than being spread thin. Add your own or a community server above.","CashFusion yana da ƴan public servers da gangan — babban rukunin ɓoyewa a kan ƴan servers ya fi rarrabawa sosai. Ƙara server ɗinka ko na al’umma a sama.","translated"
"fusion.fused","Fused ✓ — txid {txid}","An haɗa ✓ — txid {txid}","translated"
"fusion.fusing","Fusing…","Ana haɗawa…","translated"
"fusion.handshakeOk","Handshake OK ✓","An kulla haɗi ✓","translated"
"fusion.handshaking","Handshaking…","Ana kulla haɗi…","translated"
"fusion.hide","Hide","Ɓoye","translated"
"fusion.howWorks","How does it work?","Yaya yake aiki?","translated"
"fusion.mobileUnsupported","CashFusion needs a raw TCP connection, which a mobile/web browser cannot open. Available in the desktop app.","CashFusion yana buƙatar haɗin TCP na asali wanda mobile/web browser ba zai iya buɗewa ba. Yana samuwa a manhajar kwamfuta.","translated"
"fusion.more","more","ƙari","translated"
"fusion.noEligibleCoins","No coins are eligible to fuse right now.","Babu tsabar da ta dace da haɗawa yanzu.","translated"
"fusion.now","Fuse Now","Haɗa yanzu","translated"
"fusion.nowDescription","CoinJoin via the server configured in Servers. Needs Tor + at least 2 players in a tier.","CoinJoin ta server da aka saita a Servers. Yana buƙatar Tor da aƙalla masu wasa 2 a rukuni ɗaya.","translated"
"fusion.openWallet","Open a wallet to run a P2P round.","Buɗe wallet don gudanar da zagayen P2P.","translated"
"fusion.or","or","ko","translated"
"fusion.p2pMode","P2P Fusion","P2P Fusion","stable-term"
"fusion.p2pModeDescription","Serverless — peers over Nostr + Tor. Auto-fuses when on. Turning this on turns Server Fusion off.","Babu server — peers ta Nostr + Tor. Yana haɗawa kai tsaye idan yana kunne. Kunna wannan yana kashe Fusion ta server.","translated"
"fusion.p2pModeLabel","P2P Fusion","P2P Fusion","stable-term"
"fusion.poolTiers","Pool tiers","Matakan pool","translated"
